cluster_ID	value
0	Archaeocytes_1
1	Archaeocytes_2
2	Archaeocytes_3
3	Archaeocytes_4
4	Archaeocytes_5
5	Archaeocytes_4
6	Cluster_6
7	Cluster_7
8	Cluster_8
9	Myopeptidocytes
10	Cluster_10
11	Cluster_11
12	Cluster_12
13	Cluster_13
14	Metabolocytes
15	Myopeptidocytes
16	Cluster_16
17	Pinacocytes
18	Cluster_18
19	Cluster_19
20	Cluster_20
21	Archaeocytes_6
22	Cluster_22
23	Archaeocytes-like
24	Myopeptidocytes
25	Choanocytes/-blasts
26	Cluster_26
27	Cluster_27
28	Cluster_28
29	Cluster_29
30	Sclerocytes
31	Amoebocytes/Neuroid
32	Cluster_32
33	Cluster_33
34	Cluster_34
35	Basopinacocytes
36	Mesocytes
37	Granulocytes-like
38	Cluster_38
39	Cluster_39
40	Cluster_40
41	Mesocytes
42	Cluster_42
