phase,geneID,modified,NCBI
G2/M,WBGene00006974,2024-07-04,Cele_NP.001360082.1
G2/M,WBGene00000257,2024-07-04,Cele_NP.001379525.1
G2/M,WBGene00000405,2024-07-04,Cele_NP.001022747.1
G2/M,WBGene00000099,2024-07-04,Cele_NP.491714.1
S,WBGene00011912,2024-07-04,Cele_NP.492187.2
S,WBGene00004338,2024-07-04,Cele_NP.500069.1
S,WBGene00004297,2024-07-04,Cele_NP.001023465.1
S,WBGene00003154,2024-07-04,Cele_NP.001022416.1
S,WBGene00013241,2024-07-04,Cele_NP.499560.1
S,WBGene00009372,2024-07-04,Cele_NP.497756.2
S,WBGene00000382,2024-07-04,Cele_NP.491343.1
S,WBGene00003418,2024-07-04,Cele_NP.491202.1
S,WBGene00003156,2024-07-04,Cele_NP.490962.1
S,WBGene00009287,2024-07-04,Cele_NP.493627.1
S,WBGene00022141,2024-07-04,Cele_NP.490901.2
S,WBGene00000794,2024-07-04,Cele_NP.491168.1
S,WBGene00022455,2024-07-04,Cele_NP.491532.3
