phase,geneID,modified,NCBI
G2/M,FBgn0000063,9/13/17,Dmel_NP.001262677.1
G2/M,FBgn0000147,9/13/17,Dmel_NP.476749.1
G2/M,FBgn0000405,9/13/17,Dmel_NP.726244.1
G2/M,FBgn0001086,9/13/17,Dmel_NP.477501.1
G2/M,FBgn0002673,9/13/17,Dmel_NP.476633.1
G2/M,FBgn0003041,9/13/17,Dmel_NP.523965.2
G2/M,FBgn0003346,9/13/17,Dmel_NP.476712.1
G2/M,FBgn0003525,9/13/17,Dmel_NP.524547.1
G2/M,FBgn0003545,9/13/17,Dmel_NP.611260.1
G2/M,FBgn0003607,9/13/17,Dmel_NP.476755.1
G2/M,FBgn0004106,9/13/17,Dmel_NP.476797.1
G2/M,FBgn0004378,9/13/17,Dmel_NP.476818.1
G2/M,FBgn0005683,9/13/17,Dmel_NP.001260348.1
G2/M,FBgn0011692,9/13/17,Dmel_NP.477025.1
G2/M,FBgn0015391,9/13/17,Dmel_NP.723996.1
G2/M,FBgn0027948,9/13/17,Dmel_NP.001247129.1
G2/M,FBgn0029881,9/13/17,Dmel_NP.001284949.1
G2/M,FBgn0029970,9/13/17,Dmel_NP.572415.1
G2/M,FBgn0030082,9/13/17,Dmel_NP.572521.2
G2/M,FBgn0031091,9/13/17,Dmel_NP.001259741.1
G2/M,FBgn0031696,9/13/17,Dmel_NP.001285621.1
G2/M,FBgn0033845,9/13/17,Dmel_NP.001286388.1
G2/M,FBgn0034282,9/13/17,Dmel_NP.001163184.1
G2/M,FBgn0034657,9/13/17,Dmel_NP.726114.1
G2/M,FBgn0035769,9/13/17,Dmel_NP.648109.1
G2/M,FBgn0037613,9/13/17,Dmel_NP.001262383.1
G2/M,FBgn0037675,9/13/17,Dmel_NP.649878.1
G2/M,FBgn0039019,9/13/17,Dmel_NP.651093.1
G2/M,FBgn0039680,9/13/17,Dmel_NP.651709.1
G2/M,FBgn0040232,9/13/17,Dmel_NP.524993.3
G2/M,FBgn0040233,9/13/17,Dmel_NP.001027247.1
G2/M,FBgn0261385,9/13/17,Dmel_NP.724582.1
G2/M,FBgn0263855,9/13/17,Dmel_NP.477382.1
G2/M,FBgn0264291,9/13/17,Dmel_NP.650608.1
G2/M,FBgn0264848,9/13/17,Dmel_NP.648582.1
G2/M,FBgn0278608,6/29/18,Dmel_NP.001138203.1
G2/M,FBgn0284220,6/29/17,Dmel_NP.001260580.1
S,FBgn0002906,9/13/17,Dmel_NP.524319.2
S,FBgn0003479,9/13/17,Dmel_NP.524583.1
S,FBgn0005655,9/13/17,Dmel_NP.476905.1
S,FBgn0010382,9/13/17,Dmel_NP.001246037.1
S,FBgn0011704,9/13/17,Dmel_NP.525111.1
S,FBgn0011762,9/13/17,Dmel_NP.523972.2
S,FBgn0013548,9/13/17,Dmel_NP.524871.1
S,FBgn0014861,9/13/17,Dmel_NP.477121.1
S,FBgn0015546,9/13/17,Dmel_NP.001246031.1
S,FBgn0015553,9/13/17,Dmel_NP.477145.1
S,FBgn0015929,9/13/17,Dmel_NP.001286160.1
S,FBgn0017577,9/13/17,Dmel_NP.524308.2
S,FBgn0024920,9/13/17,Dmel_NP.477367.1
S,FBgn0025815,9/13/17,Dmel_NP.511065.1
S,FBgn0025832,9/13/17,Dmel_NP.523765.1
S,FBgn0026143,9/13/17,Dmel_NP.569880.1
S,FBgn0028476,9/13/17,Dmel_NP.001263061.1
S,FBgn0032635,9/13/17,Dmel_NP.609837.1
S,FBgn0032698,9/13/17,Dmel_NP.609895.2
S,FBgn0032813,9/13/17,Dmel_NP.609994.1
S,FBgn0032906,9/13/17,Dmel_
S,FBgn0033526,9/13/17,Dmel_NP.610589.2
S,FBgn0034495,9/13/17,Dmel_NP.611466.2
S,FBgn0035918,9/13/17,Dmel_NP.648247.1
S,FBgn0041186,9/13/17,Dmel_NP.477480.1
S,FBgn0052251,9/13/17,Dmel_NP.001286934.1
S,FBgn0259113,9/13/17,Dmel_NP.536736.2
S,FBgn0260985,9/13/17,Dmel_NP.523915.1
