phase,geneID,modified,NCBI
G2/M,ENSG00000010292,9/13/17,Hsap_NP.055680.3
G2/M,ENSG00000011426,9/13/17,Hsap_XP.006715809.1
G2/M,ENSG00000013810,9/13/17,Hsap_XP.005247986.1
G2/M,ENSG00000072571,9/13/17,Hsap_NP.001136028.1
G2/M,ENSG00000075218,9/13/17,Hsap_XP.047297347.1
G2/M,ENSG00000080986,9/13/17,Hsap_NP.006092.1
G2/M,ENSG00000087586,9/13/17,Hsap_NP.001411347.1
G2/M,ENSG00000088325,9/13/17,Hsap_NP.036244.2
G2/M,ENSG00000089685,9/13/17,Hsap_NP.001012271.1
G2/M,ENSG00000092140,9/13/17,Hsap_NP.060239.2
G2/M,ENSG00000094916,9/13/17,Hsap_NP.036249.1
G2/M,ENSG00000100401,9/13/17,Hsap_XP.005261752.1
G2/M,ENSG00000102974,9/13/17,Hsap_NP.006556.1
G2/M,ENSG00000111665,9/13/17,Hsap_NP.112589.1
G2/M,ENSG00000112742,9/13/17,Hsap_XP.011534401.1
G2/M,ENSG00000113810,9/13/17,Hsap_XP.011510613.1
G2/M,ENSG00000114346,9/13/17,Hsap_NP.001336023.1
G2/M,ENSG00000115163,9/13/17,Hsap_NP.001800.1
G2/M,ENSG00000117399,9/13/17,Hsap_NP.001246.2
G2/M,ENSG00000117650,9/13/17,Hsap_NP.002488.1
G2/M,ENSG00000117724,9/13/17,Hsap_NP.057427.3
G2/M,ENSG00000120802,9/13/17,Hsap_NP.003267.1
G2/M,ENSG00000123485,9/13/17,Hsap_NP.060880.3
G2/M,ENSG00000123975,9/13/17,Hsap_NP.001818.1
G2/M,ENSG00000126787,9/13/17,Hsap_NP.055565.3
G2/M,ENSG00000129195,9/13/17,Hsap_NP.001182157.1
G2/M,ENSG00000131747,9/13/17,Hsap_NP.001058.2
G2/M,ENSG00000134222,9/13/17,Hsap_NP.001350238.1
G2/M,ENSG00000134690,9/13/17,Hsap_NP.001243804.1
G2/M,ENSG00000136108,9/13/17,Hsap_NP.001091995.1
G2/M,ENSG00000137804,9/13/17,Hsap_XP.006720622.1
G2/M,ENSG00000137807,9/13/17,Hsap_NP.001354734.1
G2/M,ENSG00000138160,9/13/17,Hsap_NP.004514.2
G2/M,ENSG00000138182,9/13/17,Hsap_NP.001271188.1
G2/M,ENSG00000138778,9/13/17,Hsap_NP.001804.2
G2/M,ENSG00000139354,9/13/17,Hsap_XP.047284686.1
G2/M,ENSG00000142945,9/13/17,Hsap_NP.006836.2
G2/M,ENSG00000143228,9/13/17,Hsap_XP.024305880.1
G2/M,ENSG00000143401,9/13/17,Hsap_XP.005245570.1
G2/M,ENSG00000143815,9/13/17,Hsap_NP.919424.1
G2/M,ENSG00000148773,9/13/17,Hsap_NP.002408.3
G2/M,ENSG00000157456,9/13/17,Hsap_NP.004692.1
G2/M,ENSG00000158402,9/13/17,Hsap_NP.001274512.1
G2/M,ENSG00000164104,9/13/17,Hsap_NP.002120.1
G2/M,ENSG00000169607,9/13/17,Hsap_NP.689728.3
G2/M,ENSG00000169679,9/13/17,Hsap_NP.004327.1
G2/M,ENSG00000170312,9/13/17,Hsap_NP.001307847.1
G2/M,ENSG00000173207,9/13/17,Hsap_NP.001817.1
G2/M,ENSG00000175063,9/13/17,Hsap_NP.008950.1
G2/M,ENSG00000175216,9/13/17,Hsap_NP.001008938.1
G2/M,ENSG00000178999,9/13/17,Hsap_NP.001271455.1
G2/M,ENSG00000184661,9/13/17,Hsap_NP.689775.2
G2/M,ENSG00000188229,9/13/17,Hsap_NP.006079.1
G2/M,ENSG00000189159,9/13/17,Hsap_NP.001002032.1
S,ENSG00000012963,9/13/17,Hsap_NP.786924.2
S,ENSG00000049541,9/13/17,Hsap_NP.852136.1
S,ENSG00000051180,9/13/17,Hsap_XP.011520159.2
S,ENSG00000073111,9/13/17,Hsap_NP.004517.2
S,ENSG00000075131,9/13/17,Hsap_NP.001385210.1
S,ENSG00000076003,9/13/17,Hsap_NP.005906.2
S,ENSG00000076248,9/13/17,Hsap_NP.550433.1
S,ENSG00000077514,9/13/17,Hsap_NP.006582.1
S,ENSG00000092470,9/13/17,Hsap_NP.079184.2
S,ENSG00000092853,9/13/17,Hsap_NP.071394.2
S,ENSG00000093009,9/13/17,Hsap_XP.047297490.1
S,ENSG00000094804,9/13/17,Hsap_XP.011523844.1
S,ENSG00000095002,9/13/17,Hsap_NP.001393603.1
S,ENSG00000100297,9/13/17,Hsap_NP.006730.2
S,ENSG00000101868,9/13/17,Hsap_NP.001317289.1
S,ENSG00000104738,9/13/17,Hsap_NP.005905.2
S,ENSG00000111247,9/13/17,Hsap_XP.047284041.1
S,ENSG00000112312,9/13/17,Hsap_XP.005249216.1
S,ENSG00000117748,9/13/17,Hsap_NP.001284487.1
S,ENSG00000118412,9/13/17,Hsap_NP.036247.1
S,ENSG00000119969,9/13/17,Hsap_NP.001275996.1
S,ENSG00000129173,9/13/17,Hsap_NP.001243301.1
S,ENSG00000131153,9/13/17,Hsap_NP.057179.1
S,ENSG00000132646,9/13/17,Hsap_NP.002583.1
S,ENSG00000132780,9/13/17,Hsap_XP.005270945.1
S,ENSG00000136492,9/13/17,Hsap_XP.011523635.1
S,ENSG00000136982,9/13/17,Hsap_NP.076999.2
S,ENSG00000143476,9/13/17,Hsap_NP.057532.4
S,ENSG00000144354,9/13/17,Hsap_NP.114148.3
S,ENSG00000151725,9/13/17,Hsap_XP.005263275.2
S,ENSG00000156802,9/13/17,Hsap_NP.054828.2
S,ENSG00000159259,9/13/17,Hsap_NP.005432.1
S,ENSG00000162607,9/13/17,Hsap_NP.001017415.1
S,ENSG00000163950,9/13/17,Hsap_NP.006518.1
S,ENSG00000167325,9/13/17,Hsap_NP.001024.1
S,ENSG00000168496,9/13/17,Hsap_NP.004102.1
S,ENSG00000171848,9/13/17,Hsap_NP.001159403.1
S,ENSG00000174371,9/13/17,Hsap_XP.047290060.1
S,ENSG00000175305,9/13/17,Hsap_XP.016869447.1
S,ENSG00000176890,9/13/17,Hsap_NP.001062.1
S,ENSG00000197299,9/13/17,Hsap_NP.001274175.1
S,ENSG00000198056,9/13/17,Hsap_NP.000937.1
S,ENSG00000276043,9/13/17,Hsap_NP.037414.3
