cluster_ID	value
0	Uncertain_0
1	Unknown_1
2	Uncertain_2
3	Uncertain_3
4	Uncertain_4
5	Choanocytes-like_1
6	Unknown_6
7	Uncertain_7
8	Uncertain_8
9	Uncertain_9
10	Uncertain_10
11	Unknown_11
12	Choanocytes-like_2
13	Choanocytes-like_2
14	Unknown_14
15	Metabolocyte-like_choanocytes
16	Unknown_16
17	Oocytes/early_embryos
18	Unknown_18
19	Oocytes/early_embryos
20	Uncertain_20
21	Myopeptidocyte-like_choanocytes
22	Uncertain_22
23	Unknown_23
24	Oocytes/early_embryos
25	Sclerocytes
26	Choanocytes-like_2
27	Oocytes/early_embryos
28	Uncertain_28
29	Choanocytes-like_2
30	Choanocytes-like_pinacocytes-like
31	Uncertain_31
32	Oocytes/early_embryos
