	Aque_Archaeo_1	Aque_Archaeo_2	Aque_Aspcinzin	Aque_Bactericidal	Aque_Choano_to_pinaco	Aque_Choanocytes_1	Aque_Choanocytes_2	Aque_Collagen	Aque_Pinaco_1	Aque_Pinaco_2	Aque_Sperm	Aque_Unk_1	Aque_Unk_2	Slac_0	Slac_1	Slac_10	Slac_11	Slac_12	Slac_13	Slac_14	Slac_15	Slac_16	Slac_17	Slac_18	Slac_19	Slac_2	Slac_20	Slac_21	Slac_22	Slac_23	Slac_24	Slac_25	Slac_26	Slac_27	Slac_28	Slac_29	Slac_3	Slac_30	Slac_31	Slac_32	Slac_33	Slac_34	Slac_35	Slac_36	Slac_37	Slac_38	Slac_39	Slac_4	Slac_40	Slac_41	Slac_42	Slac_5	Slac_6	Slac_7	Slac_8	Slac_9	Scil_0	Scil_1	Scil_10	Scil_11	Scil_12	Scil_13	Scil_14	Scil_15	Scil_16	Scil_17	Scil_18	Scil_19	Scil_2	Scil_20	Scil_21	Scil_22	Scil_23	Scil_24	Scil_25	Scil_26	Scil_27	Scil_28	Scil_29	Scil_3	Scil_30	Scil_31	Scil_32	Scil_4	Scil_5	Scil_6	Scil_7	Scil_8	Scil_9
Aque_Archaeo_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5389521375503472	0.4649849848355688	0.057956054572297036	0.34537045793899135	0.06696746763408191	0.10168737080860064	0.007757371740004464	0.00016059574017260385	0.10922127609081018	0.021212622765830056	0.015407437507579327	0.18038063896336481	0.5311643243849137	0.09650293026013	0.47269597333075514	0.03766640022768679	0.3276156206708395	0.0008587178404774606	0.000489732914161084	0.33810225607814404	0.2084892020912555	0.2528350429270432	0.324017063340776	0.49559997351590035	0.009083349728267274	0.019680527943516386	0.001872651739101589	0.3067491152339204	0.10909700525449499	0.006325795672492691	0.03608615862472127	0.025023578334466473	0.036907746027110645	0.12640891814143873	0.0521975500078807	0.002181780015581453	0.0	0.12760760958897846	0.5404932863059002	0.524374071674097	0.08226453100118394	0.033141731111680964	0.01061316812803925	0.35422211804745535	0.04473006048639931	0.2558045355092426	0.07382242848546322	0.13233911900680484	0.058278133067560044	0.06779604433080376	0.0	0.0400736607976912	0.07503001645906952	0.08223666376025918	0.266646939069337	0.22637290546935293	0.0632772181097441	0.012979048299780558	0.055982122885780236	0.021296219269978444	0.37630573949885465	0.001984113080194481	0.021290523347155258	0.2817329723439702	0.004409431150566961	0.012035149705088578	0.2265931680720421	0.028109324225696158	0.07851066536738913	0.6353414755450271	0.3207021701498517	0.36435187564408755	0.1641477583623295	0.06359557753832204	0.2375358591224673	0.2235673439108888
Aque_Archaeo_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5278619479897749	0.6434983092419666	0.06769943288505134	0.4150254722725041	0.3258640186194014	0.24288525523250487	0.0069662798720120656	0.00033611314343011286	0.3974150987272268	0.07217353609426523	0.00019326423512985245	0.33181901504314537	0.6060526398710664	0.15295323247796083	0.31913646234734916	0.1162355569839136	0.23373910881874022	0.0006458521476439505	0.0	0.2781926927093455	0.33821148283940883	0.33259063531747624	0.37581910113525885	0.4245978960082636	0.017179158924903654	0.03229442504303779	0.0035635461171305985	0.3417196745774461	0.15680336476583684	0.009772504305205557	0.036501067984766225	0.0535905985841883	0.12177830483033525	0.18492623768390742	0.03360408206378714	0.0019461203022080817	0.0	0.22806440371127445	0.4844603793472557	0.6024433183534951	0.3551495575983025	0.0657811526215751	0.0011161524701359688	0.4382694608558914	0.08175200939053054	0.3266410955962205	0.17862232527852057	0.24067566125460976	0.12183229443050436	0.1389759295892351	0.0	0.08784785650621221	0.1537664226205843	0.11274616575853565	0.014354754340912662	0.3301211180187348	0.13173518900074835	0.00014735903025389535	0.16071123317143898	0.020893714464027803	0.0018616800195240036	0.0022764835187448888	0.00403894144456324	0.09612994670381163	0.0009034555983750616	0.01753030958956973	0.32909444452679637	0.03480982671944554	0.08733914566022159	0.31645994373597197	0.3295551239893248	0.3204554701266845	0.30917793713561625	0.18410437770061858	0.29292826463461163	0.35417967509632564
Aque_Aspcinzin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14783942918962584	0.42851348022384544	0.19249087788001332	0.20711161235318715	0.360331295928008	0.25348293818988277	0.01560435187343979	0.016712815641943924	0.38499679708399426	0.0825377340735342	0.06404824866019851	0.28336922781872415	0.3236558879348642	0.1387462318099219	0.031485037784993106	0.20131395301392735	0.10185687636140502	0.03505966732856207	0.0028208711112645206	0.07325777640742305	0.0901297698913366	0.18628891226410088	0.1518705886103706	0.2367627563424098	0.01141159182950049	0.061799567988623384	0.06674013204840915	0.14573676196480986	0.03981462042926184	0.041746475553538664	0.009380245921718369	0.0451602242548361	0.08416784099275207	0.05382553344176551	0.3371764492712858	0.0710318203556129	0.11938758798843441	0.03062340069491489	0.08558451252958835	0.23143456461873627	0.4169435390848769	0.33422512691619366	0.22794182271270774	0.27905554565214985	0.3949568218009578	0.2078319160773568	0.35061676056379143	0.28128727296649114	0.3412726772097733	0.1120069354995901	0.0	0.17439183558778137	0.009276810251955465	0.07583438586789747	0.007784807566640954	0.5285261967774562	0.1209436336685411	0.0	0.033374773789771564	0.07222412845763518	0.0002799658043856397	0.0	0.0	0.007367591822825656	0.1211924436570569	0.05634855391312704	0.46007288545397407	0.005439374326337753	0.036424343898585954	0.026542778701706383	0.29184849172503624	0.37195146110705457	0.42294675196525705	0.4885600801374378	0.12990121363121004	0.1665726284188174
Aque_Bactericidal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02609264146645209	0.0016254177267533882	0.000985328281958498	0.0007924390294440436	0.00027220593584189836	0.005174531828905168	0.00048040531701650944	0.0012541207545736098	0.0021137801893546513	0.003909330567338948	0.0	0.0032074216894851294	0.003390912258910463	0.000710568516079517	0.0023375408191388704	0.00453129244906386	0.0004076200868291291	0.0	0.0021550140612978386	0.0003748034451910928	0.005517321810825351	0.0	0.0010661542460035285	0.0	0.0	0.4301116728886584	0.00129665468103798	0.0029109985207252985	0.0002606302220843721	0.0	0.004546538919507889	0.04030266889799507	0.0011550708704611626	0.0	0.006823110341452219	0.0	0.0	0.0	0.0002641015911864896	0.0056681666165042345	0.001351885854487766	0.007585539101745528	0.0058761936144753005	0.006592468019523792	0.003974973728703552	0.0014306200707068042	0.0007355785352728426	0.0	0.0015229681315549858	0.0017748287628070382	0.0	0.0007784233862790648	0.0031015627679978606	0.0011539922797537605	0.0	0.01124209202693534	0.0012814454526172325	0.06991123205490009	0.0007611159026321925	0.0002936119845607394	0.0	0.027679191945613614	0.007038863569050259	0.001234083990145623	0.0	0.0	0.006211519698076244	0.0009887788346247027	0.0	0.010684809306524757	0.0029566149285554276	0.00018457400969350697	0.003280658103453433	0.003582354923440998	0.0005175850590789786	0.001821357483246249
Aque_Choano_to_pinaco	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0028226297610075826	0.019740901421659733	0.04084467863114537	0.009353324699964822	0.0030302607416763604	0.030803756340541937	0.023707460461983028	0.6991502719785307	0.04083102030494683	0.18242081354386935	0.003425620114570991	0.0015149678482487508	0.008119777983245787	0.005352727971612305	0.00017804841178408438	0.1492398964561678	0.0020236129497760804	0.801934609308413	0.013728376764952407	0.0012690714190057286	0.0012836829698812738	0.0031162350264092075	0.0022766700715006515	0.0011006579704240429	0.0003906819650564649	0.015504378018258744	0.471563399994759	0.00193076610812514	0.000635404386178137	0.0233148525772889	0.0390295938663988	0.05014330443830685	0.0028020260889925403	0.0005239950419009654	0.0008041232362462607	0.12667399159857082	0.005018572729206504	0.0	0.0019773482488410635	0.006354523568535509	0.014197357221504895	0.3559256681522481	0.5890093551739551	0.04411697971119506	0.055863241453493105	0.02232437857029424	0.046913813298314774	0.025208861985721177	0.029848274509938117	0.0201651414074377	0.07987390326696907	0.027013962855927786	0.0	0.0181030129261176	0.0	0.043166319068362005	0.00957129425649728	0.07809939937319467	0.002267937123631474	0.011418848985601278	0.0	0.013439409397061567	0.07925111063919418	0.0	0.00038071228992686703	0.004378395141179365	0.054085575323519576	0.012637678833330798	0.00047079072006371667	0.0	0.0275337078884821	0.018938129593231882	0.05214415751204736	0.02768035974423399	0.012355360355442681	0.02388687165783637
Aque_Choanocytes_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02810008442232419	0.042514325158451424	0.17275371127117828	0.04714877407577672	0.08691207308714677	0.03903915169338936	0.04048523010827554	0.29539689900174493	0.0748366551237629	0.051019536584369606	0.1580999152811795	0.06297300665558883	0.0351161476169266	0.08385916022283686	0.014549949351778793	0.05166476448528993	0.015906939746730926	0.2464189434528706	0.657608572635284	0.016066616301647015	0.00875667017399957	0.007773787405614238	0.009276381266546941	0.0247688053575654	0.12385821936667867	0.12779754701183252	0.051384839834148655	0.01188262547652231	0.01659662320221239	0.021397972001712454	0.018227258029889483	0.03381365058640074	0.038726233376343566	0.003743653626995345	0.2978907223403807	0.047754248820647965	0.05653819784372225	0.0035520666284428173	0.023807634259814227	0.04199832954550118	0.15677507449299455	0.2926639807575829	0.31686855138016307	0.4589116573115254	0.5451173697948537	0.25709823022566874	0.18744321319050572	0.24385009736407826	0.30552496086863207	0.1382035026338509	0.009105847001344333	0.11090793817143882	0.003034998795628322	0.22956826791417165	0.0	0.41843339225757836	0.2145175768343172	4.40732925282181e-05	0.06733621019881772	0.09543029461258107	0.0	0.0	0.0	0.0007680829033005429	0.103124276358593	0.07842086509802865	0.44009054917155305	0.005391097414623595	0.035386367773244	0.004071901112820497	0.35260320236646103	0.06666797900269447	0.3330896442787065	0.22719922591458447	0.14893943664545597	0.22765863952002752
Aque_Choanocytes_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03093881176068606	0.03598472490567483	0.22830796047560495	0.027922531936722127	0.06340276661192087	0.02700887182972126	0.009767506615018835	0.6383724246816436	0.057276188319750454	0.0806719070735133	0.2520310996755316	0.044235706696062804	0.03116599504790517	0.09994209922466125	0.0012443956692406951	0.07796869525959729	0.011106615684666055	0.4124040907838262	0.7795868950185472	0.005438151052269905	0.022950137981705622	0.008879211453467682	0.010556571530855647	0.020484980773551206	0.4841268875527362	0.12479647290655405	0.19874810432295112	0.009249748806396858	0.02588052337191323	0.0436947709558385	0.03288707611452694	0.05264876188667824	0.05273283234191993	0.0027292863106294857	0.3705128271972843	0.13384131174221034	0.13961214409864794	0.0	0.006397914068125054	0.030565089744914765	0.11138073437573806	0.37675111130847705	0.6201434927573062	0.3816402604989641	0.656013866792583	0.19966137648689325	0.3665226253376387	0.34052076817569105	0.4149005873867438	0.22638796779022638	0.001371597607340529	0.3526427890257985	0.020336216308526507	0.1538561059500419	0.0002471594634349988	0.43588996576862427	0.29219976413125986	0.0006705951893630946	0.0526664880359999	0.15092708941998664	0.0	0.0003033327449128487	0.003994394726003077	0.0010294138219793002	0.05404591221313393	0.1501986570630865	0.47362706330134197	0.005466929407652446	0.013935183350069453	0.0054036267476779785	0.2663045447267919	0.07825251962301587	0.4066957682923074	0.48646321391207775	0.1536378009476687	0.24336408086918176
Aque_Collagen	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08643442339467125	0.3127346261005616	0.0459345249982636	0.06984213442404287	0.023202520977047645	0.02943532503776074	0.007489514930915065	0.0016930745852554898	0.08025052226937579	0.0008833126256272654	0.003142287605553315	0.030387956031584486	0.28309205928960457	0.046943599022868446	0.018420904601493628	0.0007352450311442542	0.01679634111466969	0.0	0.0	0.02410079720435613	0.020526609999103163	0.035477908580274796	0.032231498565656755	0.06675953103682966	0.00039905350196456433	0.0010747455033395547	0.0	0.029822000348918083	0.009873295452048937	0.0	0.0015450315745212965	0.00015811038822922545	0.008549894221466707	0.0031063008629563576	0.009293608292339333	0.0	0.0	0.0007693621434275947	0.08010003126957757	0.2489376766136707	0.04971490571423813	0.009824921018128421	0.0003361543095260389	0.12206876849815904	0.002077471189617244	0.03946442555314134	0.0012283891507180963	0.016180543888142274	0.006068354013382176	0.01124613358845591	0.00963587157849353	0.0	0.0013125622309478654	0.00351702476388733	0.0003970583692883869	0.08814902477525086	0.00988397585371505	0.0	0.012681306851464772	0.0031850369652563445	0.0	0.0	0.0	0.0	0.0005997266223760798	0.002395238867007714	0.04547595047635668	0.0010500285187150632	0.00979014797678101	0.002208508125874683	0.029916259639913456	0.0561291680304755	0.02689857075416402	0.0035606783744925297	0.02605826147198224	0.06873304759995139
Aque_Pinaco_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016008943608354476	0.04773975078389705	0.5465050057149581	0.020391864037481153	0.04784779794534774	0.5280674768587065	0.910355313819761	0.4777759322656941	0.4306125277294968	0.6713774640496831	0.4568905371055492	0.04415752533688191	0.007645876227661929	0.4168946698566717	0.0013652060750662122	0.5916258413729256	0.0008248263634505487	0.0976118516187757	0.014140078532302166	0.0	0.2137739019593717	0.0009464217182923388	0.010519815636351269	0.00422435280979153	0.0013531107737945111	0.10114019390366273	0.5060541061662578	0.013297178206160188	0.005145336998493544	0.11388268988018413	0.024930148767906325	0.10699227337029946	0.007587866625800181	0.0006872088591820853	0.03221064227416564	0.1335509092647074	0.010836115504395224	0.0	0.00943153916526922	0.05391237654014688	0.11466911135172472	0.6519032641759723	0.6360083923440532	0.036194273891724624	0.0241656155613913	0.016835414403277797	0.08469063076136725	0.030946276201525947	0.033465435839254445	0.02544789196128246	0.845824689529511	0.05852204036753981	0.19204911174034234	0.01021416245510705	0.0422047914982218	0.04756022555333984	0.0050311407980494546	0.5571886668756301	0.0034204470412223333	0.00834166269870349	0.09194858637121353	0.47639778030874397	0.1727062130883225	0.0451289753040333	0.00038746689834138353	0.004755424285750935	0.04371239020884277	0.2824426186267835	0.0017399258077385887	0.009024102635496576	0.0165680161501375	0.022359782389588405	0.03460656253943297	0.07316181400772571	0.013565888795581547	0.01669106440880031
Aque_Pinaco_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13315269707865268	0.08234122960955519	0.4524518528759686	0.025169460520972055	0.021128606156655596	0.5288952647272526	0.2706218892496462	0.017424747385395643	0.09040977491062126	0.17361418012339241	0.23445826089254798	0.01617391696260598	0.07167875534889988	0.27003656080044747	0.20385933274919849	0.06879532378504241	0.010935767116708794	0.007246459407519846	0.0	0.01408931568218846	0.16846089505366324	0.06031617800993784	0.026880804912849603	0.1305158072776974	0.0007261150887967399	0.017507747718983745	0.00932211100452605	0.017589668402143786	0.008815334761061683	0.25478512694219846	0.01655261749410315	0.006927571206672999	0.005163824349488181	0.0076524102185146214	0.011161839936535927	0.005746081956242792	0.0020258794831150098	0.00792745179649201	0.14021524535550997	0.07219664891507226	0.01968532123733526	0.130144544382001	0.057113739996693	0.019409074845370532	0.01058226494204423	0.00745081181831069	0.056646019378392184	0.013755396209721962	0.0053214779833114885	0.04042365191940425	0.5497402934938704	0.025652665900684934	0.16072240952304853	0.008340760635790066	0.37961371043717423	0.012483450739797602	0.004607349536846347	0.04211583447246629	0.00155735678134818	0.0064037989123241126	0.3019001538555229	0.011108739037849789	0.031007920228303336	0.34357175494341746	0.0018103287105132072	0.005947993333398673	0.014435861865073351	0.02712287200375723	0.005320677420180567	0.2830606380107304	0.009681245774926244	0.03985876071748604	0.01755933921394455	0.006928186014578114	0.024573463621368686	0.00912863481578115
