	Aque_Archaeo_1	Aque_Archaeo_2	Aque_Aspcinzin	Aque_Bactericidal	Aque_Choano_to_pinaco	Aque_Choanocytes_1	Aque_Choanocytes_2	Aque_Collagen	Aque_Pinaco_1	Aque_Pinaco_2	Aque_Sperm	Aque_Unk_1	Aque_Unk_2	Slac_0	Slac_1	Slac_10	Slac_11	Slac_12	Slac_13	Slac_14	Slac_15	Slac_16	Slac_17	Slac_18	Slac_19	Slac_2	Slac_20	Slac_21	Slac_22	Slac_23	Slac_24	Slac_25	Slac_26	Slac_27	Slac_28	Slac_29	Slac_3	Slac_30	Slac_31	Slac_32	Slac_33	Slac_34	Slac_35	Slac_36	Slac_37	Slac_38	Slac_39	Slac_4	Slac_40	Slac_41	Slac_42	Slac_5	Slac_6	Slac_7	Slac_8	Slac_9
Aque_Archaeo_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49503793493452497	0.4191722262170834	0.04209631293290268	0.3509028186709088	0.06499330172954906	0.09427564750640015	0.00820124947116073	0.0	0.12139793194420252	0.025882053350632074	0.0025853419828569956	0.17744884820360807	0.4592731206737752	0.08475789484556305	0.46648637065172294	0.03947837649087847	0.32084262615373804	0.0007324882505948875	0.00027390762121250824	0.304156595719363	0.22316884498672995	0.27215757050026085	0.336794964841355	0.4856386311728871	0.02884430954495786	0.021061780151212108	0.0021035261233610446	0.3270983987943931	0.13099571496166312	0.003131694107906238	0.03944486664941453	0.03465010767755071	0.035204910957254795	0.14607362636896815	0.02810486117190173	0.0026106966610256323	0.0022137413684264196	0.16352697466042793	0.5384640799420074	0.4674481808064632	0.09187667353456354	0.03369557586300537	0.010547713071250091
Aque_Archaeo_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49206428102194427	0.549590896398384	0.057634084624903346	0.3606763451136154	0.32011402358431457	0.2166109542088988	0.004625882613591722	8.948390823952429e-05	0.35816989241075803	0.05906153509499353	8.1530209970439e-05	0.29773520352925786	0.5108567316727533	0.10944338652381098	0.21127634117370614	0.07939110866957094	0.16195609076884604	0.00024852976801149315	0.00014843582769388658	0.2225544027262416	0.27128789559734356	0.29213051665347256	0.31506335660861223	0.37997966797644345	0.042197620779348785	0.014444302931024134	0.0011478227158370742	0.3031517441815916	0.1633925235850589	0.008253559174611107	0.014649375129517259	0.04437047229438053	0.11124939242547993	0.15479820529078328	0.03118354015201726	0.0005552469505987537	0.0	0.16021946604734935	0.42081265740267665	0.5079085799198828	0.3263701907293497	0.056447912585470515	0.0009415629990508392
Aque_Aspcinzin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1605913228075075	0.342698965658476	0.1795958367942474	0.23900872741931364	0.43614434660764995	0.26159312613638547	0.015525545212082978	0.01344567652728483	0.3621908979255988	0.08707789110157316	0.013688158413965446	0.32941738352182537	0.2519465013836302	0.1070990614497006	0.013962408358697678	0.2149980537659415	0.12254632876020906	0.035314527160886906	0.0036131019073926815	0.08515176061939392	0.10342841378032344	0.1528293515463382	0.12294334143759116	0.20289930530395067	0.011518278703124891	0.09439199800571267	0.06204234836484135	0.11253179950560607	0.03829585722127203	0.04395038478093366	0.013372824370282654	0.042676194576767475	0.07507231377144606	0.04123802272989687	0.36684310496672634	0.06899590646751125	0.1475318265738556	0.047222677889643044	0.09516062233301623	0.22810674500442335	0.43309503682113604	0.36832682326640376	0.23113866015583584
Aque_Bactericidal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02448682252783472	0.0019013683725626926	0.0009681734729462876	0.00047990345785513705	0.0005115050594766746	0.007276171211047874	0.0011046206013947289	0.0	0.0019034905118184796	0.00427560768372259	0.00022214770673970114	0.005338109237293478	0.004174499577518561	0.0016578467240310993	0.0059586684772509535	0.00559916481527138	0.0009911571382124353	0.0	0.00274163832714165	0.0005873072542660777	0.006237242365053673	0.00020296361457591573	0.0013420721659913935	0.0	0.0036457269118569903	0.41937931612851787	0.0010808574320936546	0.001521646581062183	0.0008258083659852634	0.0	0.0008620129591592809	0.0344719450610851	0.0018165226907663526	0.00018313627469867372	0.003257015424201861	0.00029398220577995024	0.0	0.001039253107168801	0.000417606433452878	0.007924877168651211	0.0006186283486624859	0.012788941672203966	0.007493642004353688
Aque_Choano_to_pinaco	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005446635392335806	0.012899223286153717	0.06013044114238427	0.0037938636079591095	0.0038127458494136893	0.04106828476828882	0.027003593498720956	0.6601427897230712	0.04194923341027458	0.31103753571654214	0.004846798908460781	0.0011114049908102649	0.003320543433195638	0.007295488506059687	0.00017797179305170384	0.23802421438045268	0.0	0.7407492124623463	0.012842123608080467	0.0	0.000831845500839621	0.0015734823125901375	0.001449188162822085	0.00031886182280610643	0.003508208896244233	0.01481144021950832	0.4972152863910737	0.001021113011389221	0.00937566396897999	0.01895177847407333	0.020084302988324226	0.05621927839275061	0.0024059930051416037	0.00018938039539108327	0.0006804585692652942	0.12655927674462658	0.006920683750962826	0.0	0.00014708630982799347	0.005290840237289506	0.00982879889893026	0.42145520998659014	0.6011575666314317
Aque_Choanocytes_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.031722261711912766	0.039467748859514575	0.3496990632140885	0.03261984462811007	0.10344206353453626	0.08090322053032384	0.03197498219953399	0.38094293201903423	0.09991967146257982	0.08736239796747398	0.3130068433433192	0.07294279245923543	0.030086674629782283	0.18312765715606227	0.015157056412482495	0.05652465963291131	0.015400109129906234	0.3901150804887994	0.6082673245976077	0.014930648963293	0.010255027512293801	0.010506104499048449	0.010283022936202778	0.02436666782901957	0.12565575288534558	0.18739726550885283	0.06832134910696702	0.012862373063584212	0.014290420362250294	0.044637203592313525	0.01987235950361036	0.03251597821326614	0.0440221411591128	0.0034909334305361097	0.2761106008711879	0.06749006224421226	0.1533626908632606	0.0072895608145359895	0.018778027014226505	0.040565078477827546	0.1337432006852321	0.3892430179415823	0.42179985775219037
Aque_Choanocytes_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029273616975729534	0.03477662205378529	0.31827543223752575	0.03218979579527987	0.06565731669130223	0.08637644296097388	0.006300249521938857	0.5790943810284633	0.07561615863525405	0.17940037268454226	0.3449673550629171	0.04653831891870731	0.027696320856072452	0.19150234089984877	0.001788134765927575	0.14325101271774596	0.013002604077083816	0.4665711243516982	0.8125613634172263	0.006865133445645452	0.020533300114725837	0.008605719903256573	0.008480854222936034	0.014582225654630954	0.38756273497310334	0.1331819868435668	0.26053194834448373	0.007179615661461016	0.01442433379659878	0.05394774926884075	0.027519660368237258	0.06813230225411832	0.0512111225734984	0.0014228887421191111	0.35567530853725315	0.1452789486095774	0.053075521430822684	0.0	0.005588657703166887	0.026672519124461207	0.11890439494080392	0.4507535104849115	0.6128436381450834
Aque_Collagen	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025600722501541717	0.24882565844594712	0.05588589479157684	0.056482822489887764	0.023786379157907465	0.043884306184447566	0.013018171378539625	0.0019316819567208813	0.06746169384565275	0.0014219806809804632	0.006197703993022866	0.01288266078838295	0.20148362806030606	0.04100533686339426	0.009287467212193612	0.0	0.0074051155376979915	0.0	0.0	0.02021622282434788	0.006671077821247283	0.026456289438817986	0.024170750652357596	0.058338977306886475	0.00011808598984063936	0.00041968830322421785	0.0	0.03087372837470293	0.004250960144100776	0.001333432878686806	0.002453138745966939	0.00019026904066297515	0.00717637941660845	0.0017607845931199427	0.01150830329771521	0.0	0.0	0.0	0.06041047956618008	0.2100481250959383	0.02976661706683702	0.007665866852140035	4.198557179176071e-05
Aque_Pinaco_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023641118159821353	0.050378197331490196	0.3674676087217502	0.018607950488491544	0.023705212129551255	0.4275693751186872	0.9170886909449465	0.29352508947393774	0.3857554074753816	0.603275373365027	0.22551803791647948	0.0456571324376643	0.011800813032173976	0.2213857125684345	0.0009991219720922643	0.5770767438449775	0.0004359800309109427	0.03738777783354493	0.009721889613297664	0.0	0.20637637448127988	0.0014921912452236547	0.004469710626544408	0.00448542133324454	0.007459727945240231	0.06114506795888317	0.37190387283253973	0.009135061778012748	0.014623182198959802	0.10338146893625011	0.02814577105314575	0.06270957684777914	0.0054436958105619415	0.0002535517959804316	0.041043943108136645	0.07147856432480978	0.0025177413679234833	0.0	0.007876646315842239	0.03868482445470331	0.11851594226936221	0.6547868658785482	0.586027264013887
Aque_Pinaco_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14852959624324039	0.0936634223253478	0.39802838561820375	0.0239673517166617	0.014815180558473287	0.5256904546589	0.23509367254609712	0.016244487718448407	0.06778307141576843	0.16143250980082552	0.11076361986670351	0.022695799769498724	0.07970605854404762	0.22084579130104212	0.2166519351468701	0.06283600316948815	0.02017351169494926	0.005764572638482173	0.0005253332786252535	0.017053504432676333	0.16172639545724143	0.07788087894657103	0.02377355826023826	0.13990160122209497	0.002676990434397173	0.009468068208220133	0.008713989694974533	0.015496965265698371	0.016097638763401752	0.3222857326751064	0.005683098191713787	0.003080767656676568	0.0017669033557808432	0.005332677169200177	0.010324415923380677	0.002896226314235285	0.0008827224505683851	0.022086090442454877	0.12978525180615555	0.07267370913364489	0.01821218219783077	0.10669573521434225	0.03670748262500024
