	Scil_0	Scil_1	Scil_10	Scil_11	Scil_12	Scil_13	Scil_14	Scil_15	Scil_16	Scil_17	Scil_18	Scil_19	Scil_2	Scil_20	Scil_21	Scil_22	Scil_23	Scil_24	Scil_25	Scil_26	Scil_27	Scil_28	Scil_29	Scil_3	Scil_30	Scil_31	Scil_32	Scil_4	Scil_5	Scil_6	Scil_7	Scil_8	Scil_9	Slac_0	Slac_1	Slac_10	Slac_11	Slac_12	Slac_13	Slac_14	Slac_15	Slac_16	Slac_17	Slac_18	Slac_19	Slac_2	Slac_20	Slac_21	Slac_22	Slac_23	Slac_24	Slac_25	Slac_26	Slac_27	Slac_28	Slac_29	Slac_3	Slac_30	Slac_31	Slac_32	Slac_33	Slac_34	Slac_35	Slac_36	Slac_37	Slac_38	Slac_39	Slac_4	Slac_40	Slac_41	Slac_42	Slac_5	Slac_6	Slac_7	Slac_8	Slac_9
Scil_0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4384165972485158	0.3511972120617758	0.09152241577714233	0.150576799591681	0.23781746961949296	0.10509107930365338	0.020985331059079355	0.01048690176624318	0.17730928340452487	0.03612059595399898	0.010534377958229499	0.1975417373560115	0.26577585646446317	0.09092294182703364	0.138421508504705	0.0770216110407013	0.06989694114422841	0.002817833289620559	0.026480887677805383	0.10699051179330943	0.11761821117952256	0.11597443856488865	0.15524681881953734	0.3377775318917602	0.23248431250676044	0.037334022486414854	0.015431902901775398	0.12609167968089643	0.09163647679638084	0.030555289403291552	0.014234929802257143	0.021419519278676236	0.05908926632244477	0.06550519571002641	0.3622931198350319	0.00165878332866933	0.007483365090120977	0.07119486271699303	0.20574262985890185	0.2605700243976949	0.2745459558101384	0.1305966452864926	0.04400787553991222
Scil_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09530309142642354	0.12726354052379332	0.08709095456329849	0.11933946730154985	0.0722712358111529	0.058409160583931474	0.02034023024667795	0.0829532056111451	0.047381294583746805	0.015370534708097738	0.08383811234945822	0.03295026471213365	0.09421763259332319	0.06781303342333374	0.028058217973603777	0.034050195559343445	0.10849287156816283	0.002062703734167928	0.038892809968630024	0.03790670748549625	0.031973127411432115	0.040481529281642364	0.027818206735971972	0.12853934117889662	0.054156890200347495	0.019360283255788525	0.018082332028616144	0.025524754309538635	0.03098111298823363	0.10963026597240119	0.012552551294868241	0.014802269727348877	0.010662731697586199	0.011088790879382748	0.28344703161530915	0.01948035772969709	0.0017090075486069646	0.0180949919863941	0.05055589273437987	0.05131045171567533	0.12086937782717055	0.08481292110360636	0.0970780347253008
Scil_10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18988684337835662	0.2625409715812096	0.039528768808584566	0.12551643770104304	0.06669147508917685	0.05617766434471856	0.013962458511504707	0.0023406410035206157	0.08325996447698121	0.011231256353722694	0.0050174414576092995	0.05032728702330404	0.207338416484031	0.037028421530585956	0.10602245933233143	0.021075867974917225	0.08482406325135992	0.00028293872385712706	0.007247844447923113	0.10197903636035292	0.05024334054551516	0.1298681312613259	0.12388588434031496	0.3459091889468086	0.039744389393455086	0.018406562752070272	0.002739221371453039	0.1262727439208368	0.04034975963429968	0.03252125313258099	0.02485792541987957	0.014886108221438177	0.02611597512512224	0.0676478441007359	0.07000788463439232	0.0017710352416381923	0.012268116896157793	0.03934926457076057	0.26517926255203705	0.22202239026195128	0.07158663478102674	0.04373548719811239	0.0056317619197280705
Scil_11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0942960271652028	0.29725797532822007	0.13715508601685827	0.18519918081096934	0.2792355892985867	0.16276971802988532	0.003273355684239569	0.004947144405852919	0.18497871488885914	0.023532495300033825	0.018275429972644607	0.08844349403901779	0.25047277030504056	0.0988513938088021	0.00865868942875466	0.016382124763289332	0.02129627751182055	0.0007766734486655593	0.012402984460232799	0.08010216103834579	0.027072294045192215	0.06909874224503375	0.08749052422639349	0.2618197263857727	0.019371159440559175	0.028494494439833977	0.001474604938948184	0.0913045880522194	0.03281048233435941	0.03157598249018606	0.002545023266690008	0.03362579869404555	0.023885763272465894	0.0257980427552398	0.3391843632964361	0.0018572090333692213	0.0	0.0	0.2509748438710635	0.28454341871330346	0.3245099072725888	0.1117574222109187	0.029605873569243997
Scil_12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12910808953604186	0.17692551020520444	0.04352543672689875	0.08122159116690132	0.08023210319444132	0.05124784823813274	0.006263696413745666	0.015608122914443533	0.05566238724452073	0.018061794760316906	0.005717787454635123	0.05665181981643809	0.09779508394777642	0.02991156752200076	0.05631411336019372	0.0238547162220269	0.059175858430577946	0.004410022295663389	0.017891792510645592	0.055854660299264336	0.036663592052353755	0.05934189273732465	0.05912649567781908	0.23513285418195967	0.03408137097008786	0.016812708060150377	0.0062076230986451795	0.05417780665156243	0.02286592818342032	0.04745179705976563	0.010943003749964757	0.015866027487243188	0.016407067751707655	0.02773594917061422	0.2431135564120579	0.009092525912107487	0.0006015982792127509	0.028260226001009102	0.08548437027930453	0.08665521582076827	0.125613976253012	0.045378848445223136	0.029701565813048947
Scil_13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09047897526210638	0.1240558869979802	0.057564174018198376	0.05163562722328434	0.05345276114461952	0.06487063554371944	0.01779686859874036	0.012502874564141526	0.053548545501035064	0.009030436869145989	0.02080446102148646	0.03613830256719151	0.09192690438381422	0.05305947462743789	0.02696431696450503	0.04268764294926429	0.039884415299233374	0.002067986962778008	0.013526962797441719	0.03057153591070959	0.048994784089864726	0.04155210099624474	0.03331665839974562	0.12401349100212736	0.06797908084741747	0.00940571553643533	0.010657956098541805	0.03318994945780958	0.02928677144476504	0.1633912244694183	0.011419784803164594	0.010144517018572784	0.012037417768341512	0.012671870596419211	0.18881279274898188	0.007107706159978001	0.01996086300073381	0.010451961512007049	0.049737912522371405	0.060435419484388395	0.0980757481197221	0.05472796848722393	0.033551431825860664
Scil_14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10198092377734433	0.12587018977147424	0.02444069682342192	0.023323995360153872	0.03675613991028257	0.025898504324551395	0.0004895896529944104	0.002512416873318899	0.04079607575302953	0.004164362546901201	0.0070717499771768555	0.02020341346125921	0.09005114868157829	0.024145770695021947	0.010130443629402113	0.006941166680274098	0.008108159648772335	0.0003749886514187367	0.0005474669074402733	0.006318449457272575	0.018858584069128402	0.020046119980125204	0.012996697538096045	0.11039654264187544	0.03082215950857341	0.004367447333989169	0.0018054997457123973	0.014174512849303711	0.005719856957310169	0.015838034018165296	0.0014448985268479164	0.003344762277785894	0.0062145716463161095	0.0037352389897912543	0.057819921536677775	0.0013348420547629218	0.03930104099839995	0.001992665783234203	0.06046810140499008	0.048236646888623065	0.04364404714130872	0.020133830784444053	0.10442346357612034
Scil_15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.12323200328943e-05	0.0	0.17554700751583394	0.0	0.00024453088914494866	0.19260722095123686	0.9985476532870148	0.04430753898530784	0.023195443821021906	0.05179883460847089	0.04008192278933649	0.0	0.0	0.02931511768419496	0.0	0.031254930928514134	0.0	0.010099921067578687	0.016741266692437747	0.0	0.00038212291617424144	0.0	0.0	0.0	0.0	0.001683606520040782	0.006995569104858787	0.0001524628922058776	0.0	0.05148252496435648	0.02278846586250158	0.010568223166502497	0.0	0.0	0.0004486139850995801	0.0	0.0	0.0	0.0	7.826557269355895e-05	0.0008738726017260336	0.19905092883335268	0.1730246625159142
Scil_16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04494469423617884	0.1991098824032497	0.04694335467748388	0.11934894462541071	0.14508113687326188	0.07713346453548874	0.0010919909593288298	0.004828475619418955	0.11317408845277081	0.014522667247668144	0.002223810339354614	0.0397860840500547	0.15793509700723565	0.026876410780775933	0.0020717664238439726	0.012233121039275317	0.010690722945564796	0.00223416836386555	0.020612061885189367	0.040361555869452295	0.01391384700998625	0.03772927438432761	0.038989074205828714	0.10605483367025521	0.017342671669790605	0.020628244669119427	0.00120077769208741	0.04011449040350278	0.011680051665317713	0.012885287581383575	0.0003808708776676634	0.013485673143075246	0.010681712127722696	0.009577397939226805	0.14629542064732548	0.0025341729829408467	0.0	0.0	0.14923305657089053	0.19108641978251367	0.15595372780218242	0.10079344875877436	0.02718725341568328
Scil_17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009081010566768858	0.4773233243466759	0.0002659855281938552	0.24041847516282963	0.4551124485491325	0.003958318415924219	0.6685037776311834	0.1882258069691753	0.3125395893194362	0.2550583375366318	0.020156362630163842	0.01168682776624137	0.22196980728729257	0.0	0.3141243724995837	0.0	0.372372440928486	0.4041774549883056	0.0001244622997424376	0.010311238215755737	0.0	0.0001546671629408624	0.0	0.0006515514042643927	0.09942400516373366	0.46946902120452744	0.0	0.0038363733418317566	0.04008288865285987	0.015724673520587876	0.027237264604310123	0.004980532468405697	0.0	0.2634489631742184	0.20977899093616442	0.0	0.0	0.0	0.04400607425183993	0.058810129963670785	0.6122937570977026	0.6893721625134517
