	Aque_Archaeo_1	Aque_Archaeo_2	Aque_Aspcinzin	Aque_Bactericidal	Aque_Choano_to_pinaco	Aque_Choanocytes_1	Aque_Choanocytes_2	Aque_Collagen	Aque_Pinaco_1	Aque_Pinaco_2	Aque_Sperm	Aque_Unk_1	Aque_Unk_2	Slac_0	Slac_1	Slac_10	Slac_11	Slac_12	Slac_13	Slac_14	Slac_15	Slac_16	Slac_17	Slac_18	Slac_19	Slac_2	Slac_20	Slac_21	Slac_22	Slac_23	Slac_24	Slac_25	Slac_26	Slac_27	Slac_28	Slac_29	Slac_3	Slac_30	Slac_31	Slac_32	Slac_33	Slac_34	Slac_35	Slac_36	Slac_37	Slac_38	Slac_39	Slac_4	Slac_40	Slac_41	Slac_42	Slac_5	Slac_6	Slac_7	Slac_8	Slac_9	Scil_0	Scil_1	Scil_10	Scil_11	Scil_12	Scil_13	Scil_14	Scil_15	Scil_16	Scil_17	Scil_18	Scil_19	Scil_2	Scil_20	Scil_21	Scil_22	Scil_23	Scil_24	Scil_25	Scil_26	Scil_27	Scil_28	Scil_29	Scil_3	Scil_30	Scil_31	Scil_32	Scil_4	Scil_5	Scil_6	Scil_7	Scil_8	Scil_9
Aque_Archaeo_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.737378414822494	0.5409788291447748	0.052906690884337026	0.4198801851677693	0.13764821666482713	0.10840793908614628	0.006633469369168213	0.000880207659392572	0.16364545817331544	0.039779831607437546	0.004567564633225805	0.32760994952960043	0.6143901393055843	0.09897612776452519	0.6785513020073646	0.04516056089271338	0.4089267529404528	0.0018310586534290684	0.0008850257240320583	0.43494082384506455	0.319767162204064	0.3651261719240452	0.4074537159407388	0.5592732898353152	0.006350874992476906	0.03642396787362084	0.004608575691161656	0.4098422466129403	0.1176667642737651	0.009417655254838415	0.04443689395163144	0.04373668841141125	0.05182851850203017	0.17798954725080518	0.0740731221450423	0.007351480059660444	0.0019750590425582234	0.22409715169244313	0.7074686811066003	0.622403576377671	0.12801669764917623	0.05307120694645886	0.02133459930989643	0.6965258936688961	0.11690314653575067	0.642223104445212	0.07099718394463937	0.2858198918063743	0.1915603973657296	0.27205885182417483	0.00011378392490901889	0.01629688958816354	0.06501601167947159	0.14909885671728812	0.6435968496423036	0.5812649639788487	0.22126954271627602	0.0021362213754447176	0.04404193398167582	0.04622616109264952	0.7383055517504418	0.0008257922389724717	0.03742790766345589	0.6291381021869898	0.01509487776775018	0.004513838623387579	0.6153658435603278	0.0221721011460615	0.1860817681662916	0.7349350995913189	0.5813096594203817	0.7290414486906912	0.3151263538690837	0.21258339409918076	0.6004233799505467	0.4634716166397279
Aque_Archaeo_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6099971813899145	0.4678183982350562	0.07354459968139014	0.3248445150366732	0.34915076434167464	0.22742783385226475	0.009807095117859944	0.0	0.32690564492372604	0.05539715483387649	0.0020584334443393614	0.38784107801460177	0.5083315290974088	0.16696042392977217	0.35332797868266963	0.1350476188310739	0.23483824476924622	0.002398644795650713	0.0	0.21652098524986707	0.40454124840464917	0.32883632677494823	0.3088223175649237	0.4298317089840764	0.032789012097853856	0.03416702048375136	0.003797458194493381	0.32525062553041917	0.1407046004938321	0.00989393837614291	0.036358134421714976	0.04930507788768129	0.08865354644930803	0.1562357634152278	0.02131714599124644	0.002731685717042087	0.0	0.21813818093036152	0.49297439746212185	0.5360340166484734	0.3154925948376503	0.0693736797190823	0.0003333323327567911	0.33139523825833134	0.1265918685665029	0.17280907795857953	0.19297452366317033	0.1368420163789131	0.10328565243104453	0.13266729904247213	0.0	0.02991084682118452	0.1262178847597908	0.10021259510918071	0.19679241032221623	0.30113644886021035	0.08480071848214034	0.009609529255397722	0.05181310812467431	0.06109228050090272	0.321254986953285	0.0013493164366490903	0.03717170590568544	0.14496357409003793	0.015561236685731982	0.037442724207261316	0.24486876219012768	0.03588037121012667	0.05567023347089399	0.2168735203536117	0.2111235627092698	0.3016961697014329	0.16199396121259818	0.2011708482167768	0.18225543638168318	0.27167617463476235
Aque_Aspcinzin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0847600149620018	0.3095411644802185	0.18342103908444032	0.16420538737719903	0.3400127125268996	0.2224840537635046	0.009892888471423462	0.01846987499937456	0.3524260525271958	0.08071960596689877	0.01817190750765301	0.21528932332987177	0.2399305381593888	0.164476461712506	0.007968367267592289	0.18180372045571488	0.048753834976940635	0.044522581909006216	0.005772066510151787	0.035657524991027305	0.05747759461335208	0.1305668303646219	0.12704976615024027	0.21298327362253605	0.009573589633224959	0.15763422556267317	0.055760523086337666	0.11051043562675422	0.0822551568622236	0.03527856760761313	0.013420168856313659	0.038466404452560526	0.07031288979028166	0.03887179184808562	0.26472850507089796	0.05694931961971007	0.12902593914962737	0.010908895100170221	0.06341316702093923	0.2217358181432762	0.3446729727309107	0.39740220738547366	0.23514035370184075	0.3362551334292377	0.16328790027696088	0.295421579788781	0.1075070599683442	0.16730768632314025	0.13988983548001363	0.043809804067828875	0.0	0.036916366379716944	0.21873122567789482	0.1313246708064236	0.036146454820037435	0.2286074156115748	0.07824018987268119	0.0002745795434539697	0.04576607445895034	0.11636712117191436	0.038615386124341795	0.001038832710512295	0.00011186009122724358	0.03161778673631149	0.011260883592602194	0.02211349099809789	0.32247240624453344	0.007909594053682452	0.025195364486515277	0.006971228265847366	0.32191184903251696	0.12326311366776732	0.10448984354165092	0.1232309756623506	0.17229816717451604	0.19723254765784634
Aque_Bactericidal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03358482128984196	0.001985801341522009	0.0025003926312582437	0.004402483591502448	0.0007665290728316265	0.009282474501185009	0.00040167134032208777	0.0011102235246872678	0.002854304290932974	0.014120305534113486	0.00037291353030029966	0.005736608642602461	0.003267174332975934	0.0021034468584031395	0.009276321517399941	0.005673466529452344	0.0014469176128316615	0.0	0.0007214972244403633	0.0002913895384828591	0.0063755202255254525	0.0008250389104201512	0.0010229144725975138	0.0	0.0020923028028843613	0.32268658846471837	0.001704835612790485	0.00029690857033638296	0.00028706782362672813	0.0	0.002803171101881176	0.028638331405546107	0.0009562132757325014	0.0	0.005713408454510687	0.0	0.0	0.0	0.00033705697125604875	0.0066527967020242025	0.001994871480600975	0.007197653511283937	0.010877223115201892	0.021388096232364234	0.00039786037737289524	0.002753985173173611	0.00707423111885982	0.0013800347112149862	0.0015210098680007872	0.0014041272859571568	0.0034169408945033198	0.003809340509471501	0.0014230538762691665	0.0018442303188143585	0.03359010463689289	0.011562731383178822	0.0005057188805146811	0.04512345315932049	0.0012571906753491664	0.00024158059565855655	0.0007893340312677104	0.025370580334654075	0.012646967879897341	0.01771615898756222	0.0	0.00022302995905778048	0.004493337658604107	0.003196373757143119	0.0	0.016203226628792946	0.007057634297535471	0.0014030846419105488	0.007119027117883259	0.0034908160917270516	0.0028391783609356324	0.005247055250621468
Aque_Choano_to_pinaco	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012782897989029245	0.09280972472842648	0.0023874220373447286	0.00038755791684742054	0.06443479759924968	0.06657298209090454	0.617114055130957	0.05314183673901009	0.37743964176039035	0.007917386606212192	0.0013341971706166953	0.0006166189262692431	0.009388679974936653	0.00015479310742968312	0.23390684023146555	0.0	0.6761459179046713	0.013786926497861085	0.0	0.0007134039866817266	0.0003012073486494573	0.0002484716428240046	0.0	0.001541725310282829	0.01925292293514303	0.43569240457797526	0.0006826872393713828	0.00034780426380082543	0.012210724270264154	0.018130690252942137	0.06056523458111209	0.0029884811157658026	0.0	0.0004610456241494631	0.10596674917476656	0.001377314140007199	0.0	0.0	0.004423789116455855	0.004500079480013764	0.42747639596646103	0.5796846225101948	0.045482160955218225	0.018691095130780738	0.009632529777395598	0.016072528881142363	0.008861828934632459	0.009349126665565293	0.005820060254821711	0.44107795004339917	0.008921330007591637	0.0006532903647033884	0.0041382939880607985	0.0	0.028948115890622537	0.00701372434954624	0.07506255481657678	0.0023569520704283487	0.004635929574774332	0.0	0.13600447690862796	0.008362710101862483	0.0	0.00031154535575324965	0.0017793743036001273	0.025231657928046693	0.1214189498975176	0.0008199345931304205	0.0	0.01517200218530029	0.00585148012754887	0.025575195902987697	0.014843393033934397	0.014974624248360277	0.01551156129887345
Aque_Choanocytes_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043076770332556774	0.05097485605086245	0.28538850216031797	0.033457837798310006	0.08512074807355234	0.11315550270906809	0.03066746224740441	0.21185159084992805	0.10524634412173825	0.06914504916438675	0.2335301477028287	0.056644672728930215	0.035015106222595474	0.1700900117885846	0.028540505303354214	0.050546205224404304	0.01868986805265996	0.4600842980958495	0.5291626473410173	0.01831525926295687	0.012150321929330177	0.014683955280824945	0.015607124285840596	0.02409128986669277	0.1442378019920275	0.1575104141879565	0.028726970699213917	0.014519378628954343	0.016389941311323247	0.022206852059902395	0.018582786860210594	0.01622599152520391	0.042647950390766354	0.003099631590548854	0.20922038124545966	0.0403984292575829	0.07629185035779548	0.009068206129543751	0.025655799424437582	0.043813677876889424	0.12298713527481478	0.31897325770585183	0.2837478808020498	0.18909331677786909	0.5228997498435709	0.1035860906364043	0.07402689768663188	0.10830424196076087	0.1160904695059614	0.1539456571801348	0.02700007599633759	0.03629600551423753	0.015624399340100468	0.08643336114918543	0.003982133247054627	0.17834295209991788	0.07870153668592188	0.0035213005953880203	0.03450284196472864	0.0490098278964319	0.007000914939122911	0.07211362062189289	0.0868808565154413	0.003440425282434636	0.1102418700041572	0.025434702719318185	0.185189701544316	0.010303357644773019	0.013803794983743917	0.0	0.11644903012580503	0.07631543775411243	0.1067423796717694	0.16352059337801936	0.08656091834051978	0.10441024954703496
Aque_Choanocytes_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02914467615696672	0.043392031545057254	0.3581373924822046	0.027472844525695473	0.07454866868970675	0.11740074341385517	0.008319846128592288	0.6530075274216477	0.06376091689341551	0.3051286503073351	0.3822366378501671	0.04255118713796676	0.02557381030124219	0.20490042738549574	0.0024036013089745963	0.12891152715528173	0.006625069708910911	0.6545167655465768	0.8092489113701168	0.0036279918842141634	0.017870694748690193	0.005836294236129344	0.006125722659765655	0.011515578457658548	0.3235041866126543	0.1424723903681821	0.3623654711235529	0.005022867270718439	0.01150402484792817	0.07297557915997521	0.01807272036014667	0.12161077997232084	0.06386741652271988	0.0017926710143758816	0.42088818329948186	0.21569988931668913	0.08718442680017884	0.0	0.0035559873549201398	0.026017386169145694	0.14297315616720763	0.5125843912459387	0.6400525692261048	0.4401499798303791	0.7348549384784454	0.30002645226531	0.5470316802601669	0.3781953319870259	0.483234487824971	0.2949432203901673	0.029859976807515332	0.4998189310584655	0.0489902704388643	0.32911453608233565	0.032549738922414355	0.5194643849908862	0.39229415010409935	0.02343415627205219	0.14845346754003208	0.3190660160498379	0.0032536087301675946	0.12460656242159754	0.11235845850699563	0.008532529444904118	0.19498566410936663	0.2653113867671348	0.4701013536406363	0.09803141909031376	0.027906983585587047	0.003714436315038506	0.3969179612716295	0.1941487067773488	0.4152537048854805	0.5168333435700102	0.2800581253847943	0.4033190668666782
Aque_Collagen	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018226901224491245	0.2262553448458695	0.03254139044466904	0.04734887940132254	0.0290342157199781	0.0444167800445977	0.003458703776296932	0.0036753761301756907	0.05745300910848346	0.0006871821607351757	0.002816166947563297	0.010930438875961243	0.16626944376417185	0.02517241264457651	0.009512265379285845	0.00024241997395479673	0.00397193916133644	0.0	0.0	0.019317777227519272	0.008666402778514623	0.02553913444316263	0.01839437601002084	0.054194429980432925	0.0	0.0008303341634446623	0.0	0.02395761415313093	0.007575244173868763	0.0007108341194580582	0.002549550544460775	0.0	0.010174754395121624	0.0015976004927177457	0.013548473868608715	0.0	0.0	0.0	0.06480215161056643	0.20206227251662273	0.032654042256773944	0.01050911387061932	0.0004421863576448211	0.0315413764163513	0.004782033865418688	0.04871119077411624	0.014766504805640146	0.0025045133262716463	0.0029099629237733958	0.002815350650282097	0.009294098883423342	0.0007393507719077009	0.0010331561196053466	0.011018104412040057	0.00209967053768823	0.020012733086890742	0.011121789904833127	0.0	0.014199198796422303	0.0010233557103301529	0.0	0.0	0.0	0.0011522521668055634	0.00010652683002997611	0.004054255060276089	0.033843912890302294	0.002264098844905007	0.0001447424080199957	0.0014840036098829755	0.0036465505232782776	0.041887375904864924	0.023586630742416785	0.0005986876876268408	0.021591733801048372	0.04905421607257736
Aque_Pinaco_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01679918942733699	0.08090676274700312	0.38954027295720206	0.04444145555493627	0.06721604333003485	0.3943345270209771	0.8742806473940317	0.2223162921726572	0.36569035927535354	0.4256207372535969	0.28198074726658817	0.06225823574174556	0.01253321875842971	0.2691161254176281	0.0021838483076431314	0.5144504385127338	0.0013617441624685556	0.01865048108123315	0.009233216685541957	0.0003977568246787891	0.19956955274760343	0.0058913768910121974	0.009489445526618585	0.0036062134029167512	0.008527433722390771	0.06258346575472014	0.33790166026283885	0.01498432923539334	0.004697112321764657	0.08626584854927723	0.014394597488782935	0.04062087097022828	0.0067104590779855176	0.0004300573410781098	0.0657113543494148	0.04468207156355648	0.015998042040270166	0.0	0.010531915009839743	0.05456116849638022	0.1694985797083422	0.5848133360549626	0.5085173552047688	0.14309945542474525	0.02976596331165805	0.02255701499858135	0.0500187478905547	0.02240383692690561	0.028583240890437567	0.032085710999800086	0.8465954922551692	0.017642425522404213	0.012317011220053999	0.011162436299671459	0.007684729890662661	0.10224652781095052	0.011090889291083206	0.505541819340982	0.00705466124614372	0.01078971080286673	0.030757531645372087	0.06377195410865735	0.142148986633961	0.01151595505432658	0.001713714011777517	0.010164048604091248	0.06974836902006369	0.17255807123262928	0.010711595312110394	0.0	0.05677840373195575	0.02757376536012504	0.07805830516951362	0.09468274220780096	0.049265558739250204	0.03274006703183365
Aque_Pinaco_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17827909022391725	0.11134998729057163	0.3373269390700267	0.02481700082729728	0.029437732695330288	0.3917377465463235	0.26898377252414996	0.027171458274314116	0.08594882310431583	0.16595240438451525	0.13737640807184165	0.012696547842112788	0.07101766381328144	0.16699065647577277	0.22191236465198477	0.07045311671494059	0.015174274175227825	0.0031042108795746584	0.0002477758910193685	0.005765723405908689	0.13048505711807165	0.07286370519891805	0.014830196470051774	0.14918172059205553	0.0008475639835129327	0.009689405540011905	0.0059862416698593535	0.011809227248802252	0.015986204868767374	0.23553501917263925	0.013332750027597592	0.005674475100847392	0.0044455144155802154	0.004523871863439208	0.030934994088130406	0.0007721802853626859	0.004114571445277498	0.008341141253585224	0.15131391148204143	0.07567207252989486	0.03619945764035333	0.10627705583261363	0.036515021980875195	0.04593845134744479	0.011676676649155945	0.010596125849058216	0.013903734549450725	0.009247197312589935	0.006436244087615878	0.013011922897978445	0.5737147712195853	0.0042887433597969	0.04297754080655192	0.007119255053618221	0.09796108168715868	0.024118007205504912	0.0030887613505021384	0.019323141503155224	0.00194622788147425	0.003213661902486592	0.3265543390768442	0.01082700838395281	0.026135432294483146	0.13645593146248913	0.0004340036754463477	0.0004158256090495533	0.027822581946175484	0.0662042394278789	0.0029150336033962653	0.027349525850340395	0.022006797006603136	0.01346801104918931	0.013819665149917702	0.017366040662123446	0.015076689555712291	0.005594458698977585
