	Aque_0	Aque_1	Aque_10	Aque_11	Aque_12	Aque_13	Aque_14	Aque_15	Aque_16	Aque_17	Aque_18	Aque_19	Aque_2	Aque_20	Aque_21	Aque_22	Aque_23	Aque_24	Aque_25	Aque_26	Aque_3	Aque_4	Aque_5	Aque_6	Aque_7	Aque_8	Aque_9	Slac_0	Slac_1	Slac_10	Slac_11	Slac_12	Slac_13	Slac_14	Slac_15	Slac_16	Slac_17	Slac_18	Slac_19	Slac_2	Slac_20	Slac_21	Slac_22	Slac_23	Slac_24	Slac_25	Slac_26	Slac_27	Slac_28	Slac_3	Slac_4	Slac_5	Slac_6	Slac_7	Slac_8	Slac_9	Scil_0	Scil_1	Scil_10	Scil_11	Scil_12	Scil_13	Scil_14	Scil_15	Scil_16	Scil_17	Scil_18	Scil_19	Scil_2	Scil_20	Scil_21	Scil_22	Scil_23	Scil_24	Scil_25	Scil_26	Scil_27	Scil_28	Scil_29	Scil_3	Scil_30	Scil_31	Scil_32	Scil_33	Scil_34	Scil_35	Scil_36	Scil_37	Scil_38	Scil_4	Scil_5	Scil_6	Scil_7	Scil_8	Scil_9
Aque_0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3601178000618733	0.028882879575814806	0.012490097494199532	0.0002895346451168054	0.0	0.01853234316651551	0.0	0.0	0.000364540624719768	0.0057730754236505755	0.01884833202069771	0.0005417107655616505	0.0	0.5851773631915883	0.47964975069067395	0.12738494151888913	0.1471035968544888	0.0	0.013997273077996048	0.004160913587289412	0.0009389075991373232	0.0009436760834909654	0.16623073518843937	0.0011554498207314754	0.0	0.00036441024266540997	0.2554868591142688	0.023920724788950472	0.0007768287099767384	0.011275794891685124	0.0006479145926198826	0.0015645236131475878	0.04605382613428084	0.03971981976349396	0.18360380660620773	0.00559764396629307	0.0033708605865330164	0.009015381241072302	0.01181108889103735	0.009921223025889093	0.022383318665868634	0.1428214594080512	0.012330105519034091	0.056783431552489196	0.005882860058810281	0.0	0.0	0.04197291017602982	0.00039320184524293145	0.0	0.00034068327641923667	0.0011058638899558062	0.14695731115911528	0.007940678659263123	0.06715876882257316	0.08274277436938354	0.0	0.0	0.0	8.652046728673283e-05	0.09848387094852767	0.000818915086401263	0.011313114916271714	0.014830321447585509	0.00416002537061228	0.02098878205814276	0.010335898849954608	0.06002574107890727
Aque_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6051581277794792	0.005088999690277391	0.6839917060871781	0.0	0.03401155876918339	0.0018524134242387425	0.0	0.0	0.005529672928598939	0.08400031994089577	0.055164238595478185	8.819846974864138e-05	0.0	0.5513452154700854	0.5591894741877709	0.19236206089528185	0.04877906657801516	0.0007440397173107242	0.4816034925004228	0.006592033232711539	0.0	0.049431581398440186	0.08574565953670321	0.0	0.0	0.0	0.07921435670826057	0.014979230179718403	0.0	0.2547794243338134	0.0	0.00010399814328830015	0.36997006905197105	0.34112794076054753	0.4055881488514915	0.0013432565339609411	0.0006910504339588305	0.415241283810062	0.15796543191467902	0.2619817068318443	0.0	0.7716384460060097	0.005322179599865702	0.14581549113930375	0.0014590804408388116	0.0	0.0	0.018683427876435496	0.09597358523150744	0.024310869585514053	0.01957066725835325	0.06097964254733722	0.5320691553344201	0.0194936565613622	0.0008125862799608719	0.0237161545193025	0.0	0.0	0.0	0.0	0.04027066433868797	0.0	0.5731359478514151	0.007212914903925903	0.27703450518154915	0.013435590546837985	0.15612123357688454	0.5728218302268199
Aque_10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012486008861666547	0.19394799491887935	0.0009263157232218243	0.04647296234082087	0.003454621919960872	0.08753104831326261	0.011611400948368449	0.053018202251554625	0.0	0.008296755198257727	0.0	0.0640032950310206	0.07898721940787198	0.0	0.0	0.006118801025670643	0.0022566842394155643	0.0	0.00038334248880971726	0.0	0.0	0.0	0.0	0.07962071398419387	0.20941050198963249	0.013225842290795906	0.015768452661644127	0.0	0.17898900823623487	0.0	0.015054484355227587	0.06359260385379294	0.0013018155007795782	0.0	0.005044771618439381	0.012946590872115402	0.002908633944061769	0.0	0.0021468866370648694	0.017366960734707705	0.047672747044704436	0.0	0.0	0.01258992490237068	0.00424550804280106	0.08020519966004673	0.2026381034506915	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029287594920667424	0.006443592204622381	0.014968829163591147	0.2220906329352957	0.0	0.0	0.004405824039085324	7.445091868500504e-05	0.018880116504515623	0.0	0.025366927264546153	0.00041475463053109753	0.0014779200980209913
Aque_11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6503729536767333	0.013477838022282463	0.04903897996101889	0.0	0.0	0.0018192679753041394	0.0	0.0	0.05071604069705067	0.002124052502467201	0.4230458807990135	0.0	0.0	0.029261605795315226	0.7376330840912957	0.0003396042818319559	0.011185295022157834	0.0	0.017509250151933657	0.01582805631551249	0.00128490504674004	0.0012152771823592929	0.0018695459203514268	0.0	0.0	0.0	0.009927538522815863	0.0007793901379513377	0.00015479310742968312	0.016793690279967306	0.0	0.00027696008219021116	0.02493925604394388	0.01674188656716026	0.0038213655564593475	0.0003830460244722578	0.0005850089513554419	0.00829238930586569	0.0024675635875980894	0.0041622587398784956	0.0	0.020363770250063064	0.5606366498480067	0.018525110733761948	0.0007182810156553004	0.0	0.0	0.02573427668597849	0.0049199147330600546	0.0007426674722605608	0.060337453029900734	0.0009103700555402322	0.02264136372142868	0.001750460999893485	0.14378425482208773	0.004245383334745381	0.0	5.672323981960277e-05	0.0001992219695912618	0.0	0.0	0.0	0.003757174939064052	0.005324797326528205	0.008277209565217379	0.0019340607702311014	0.0027291361055733912	0.025496097709964693
Aque_12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08077756793338153	0.06604570314979036	0.007152538798864687	0.005634286089633576	0.0012750212422184561	0.021553703114215443	0.0	0.0	0.31105552499017464	0.07845501688597659	0.12802045298458117	0.013169213802654544	0.003005115448373779	0.003807511740765432	0.0	0.0002528953314416318	0.0016928338039169145	0.2572811553939207	0.0006376380493622574	0.0103937495704911	0.21130216527500228	0.001624328636881453	0.06049749272102865	0.1009380809587019	0.0019509569850992277	0.0027883317497976673	0.42078473155541696	0.00935690028910451	0.030261709730345025	0.006106773174940858	0.000504396191374116	0.00206138643814161	0.000740855131694712	0.0029197248487584015	0.002210103290937685	0.0028318302239838224	0.0017130513951079027	0.00037884908142634077	0.00014577584058830294	0.0009491989472474446	0.006970273411671722	0.0	0.43894700729535785	0.0023629599286932373	0.0021800193672277786	0.027635911547787866	0.05284744392582248	0.0003852482301510486	8.315546072334347e-05	0.00043803734215429357	0.003793823227198448	0.001331804151473443	0.0022301829918235424	0.0023708237865026323	0.0001224703107704194	0.004561037052975801	0.01493478214647068	0.0005463918696675263	0.0014557432076564528	0.0	0.0	0.0	0.0005771509356344701	0.0004577924461429591	0.0	0.00010585179945511685	0.0033270171272451543	0.00022233360486010237
Aque_13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00214903265124924	0.4260626423144325	0.0	0.2246055330076569	0.0	0.1814472454168639	0.08354532561756922	0.3521888180851548	0.0	0.0	0.0	0.11911205689723223	0.47264988517065587	0.0	0.0	0.0040175792159041525	0.004098322916778448	0.0	0.0	0.0	0.0	0.0	0.003279950424880942	0.4583102813186513	0.5750440737820258	0.21342938679418227	0.0203178284958211	0.01633604095747785	0.25103376431899665	0.0	0.206708373176096	0.2807553102753408	0.0	0.0	0.0	0.06777370715904017	0.17434155270143464	0.0	0.029457009605496264	0.0	0.05076379033047089	0.0	0.0	0.11471477508135464	0.1023969073080365	0.007327483045247633	0.0698888891998655	0.024368742870578435	0.0	0.0	0.0	0.0	0.00034149794444057936	0.0	0.0	0.0018542437297884924	0.0	0.02743279720528342	0.03759335697916506	0.002686553401952685	0.0	0.007970916622687545	0.0	0.2458171576314855	0.0	0.39818476825247795	0.0009655469772463394	0.0
Aque_14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00016739509462785292	0.019822522196242327	0.003633025426557189	0.003921806564882834	0.37686537692103456	0.0036287808614156743	0.004395664078218674	0.0035037519382675	0.00021947309878256473	0.009406219154989598	0.0024951937986274616	8.872665397344825e-05	0.012524240003498801	0.001425007172901575	0.0	0.0011686116473428126	0.005140055048871002	0.0027401355255081395	0.00019290342806632554	0.0	0.0	0.0	0.836059398548076	0.03296600229497718	0.09381538963520282	0.017535844338902852	0.005530664440800371	0.47918727875391554	0.0033183991722892095	0.0035333813162006567	0.0022540832604426085	0.13791780635267642	0.022232743208739133	0.0033196504712706882	0.0095519054181966	0.003543528385210528	0.0013093621646569297	0.00025405180216858724	0.007230716055979176	0.02588743759207479	0.026557399974070334	0.0	0.00017037638585720607	0.017996714185049594	0.005869329880957086	0.007945842182821811	0.0	0.03872016281651504	0.00021133496965654335	0.00027085041714197255	0.0008072399859996131	0.03012757031926211	0.0006702307855120196	0.12260769223387893	0.0	0.00027098401200340586	0.017416616642969996	0.039746109884499684	0.0014959762990303881	0.013635444270115505	0.00040332573635116413	0.0013378748098419476	0.0009936720381128188	0.006093385167334106	0.0047851280020467886	0.009917548357012777	0.027037960677657458	0.012330244457620437
Aque_15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011066823033942413	0.02594370225821575	0.0	0.030478808883273933	0.0	0.004980648334404722	0.01590122967511213	0.018819848831443144	0.0	0.01676475982619856	0.0003997126633816306	0.0012960035755842669	0.10434659964994966	0.0	0.0	0.0	0.0015176332255374373	0.01857944132164593	0.0	0.0	0.0	0.0016255815665387123	0.0	0.2267076649835134	0.06324796015949077	0.03909516951907373	0.040577913500576414	0.0033335129507723986	0.024468779819514452	0.0	0.043157061402537375	0.011977596807546679	0.002817479640916494	0.031701351253825186	0.0	0.015575270026009969	0.026353837381144506	0.0	0.0031009520222793742	0.0010687595817744288	0.010569019982817502	0.0	0.0018588282789815502	0.007268338731540039	0.018303983040892466	0.048320703587716604	0.2702065357797066	0.0	0.0	0.0	0.0003560492976293247	0.0	0.0	0.0	0.0	0.0008919260314173888	0.0005229478516667034	0.000551755936412873	0.007529727562593498	0.0	0.0	0.0012738623235895568	0.0	0.012497781677006837	0.0	0.0	0.0008545751272440748	0.0
Aque_16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001406369907542487	0.027329751278661968	0.007764633734870084	0.004488087314360978	0.0014099252935354909	0.0021438952724544486	0.0	0.5856726666138662	0.00019965607844958183	0.027940056663935824	0.0011824887445368382	0.00039554232087895565	0.0002133875946373327	0.0	0.0	0.0008118229184280434	0.0002799473133612448	0.10217222379353641	0.0003127982183558913	0.0027149011022602155	0.001261179995288781	0.0009163986608512252	0.003134708160616748	0.03142313385226225	0.0025316391086993113	0.003689284951660736	0.026142200144462602	0.0006734576047513262	0.0019142545189977911	0.0	0.0005528681097357047	0.0	0.008782512886880318	0.0	0.0051562832983378685	0.0017967091886549353	0.0011683848128666995	0.0	0.012233092173673504	0.003041712921095538	0.007514950645921496	0.0	0.0019067466852209745	0.0019132263507979255	0.020571100863824094	0.0	0.007001037380263568	0.0001267738449852957	4.489190785055545e-05	0.0	0.0027260135114079527	0.0	0.0008523068172367502	0.0003748586416125848	0.0	0.0	0.022313765704135652	0.0	0.0061271769715625654	0.0	0.0	0.0	8.760085047685234e-05	0.005187372285136063	0.001456135588813852	0.0014009301851641194	0.01518483051264087	0.0
Aque_17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011259875588437532	0.0	0.0002704982935162716	0.02097917207271813	0.00164134717449839	0.0010110013360689742	0.0028469785293717244	0.0	5.307853874566612e-05	0.0006589330409725109	0.0010988607030584874	0.0013070835008518582	0.001278448410622095	0.000377761740877414	0.0	0.00022712393170043493	0.0	0.00010602468818635638	0.0	0.0	0.0	0.5300388646209099	0.009205974134918509	0.0019645016551561216	0.001127645729003548	0.00474680249929926	0.4296422464283314	0.0199852642242196	0.0005205845640427781	0.0009238025608900143	0.0564111743085168	0.0007129814591836983	0.0031186954973940707	0.04490647050757689	0.0009596950632753145	0.007298818852873969	0.00029457556499655637	0.0028705967562662055	0.03289984913309152	0.0034586650776433185	0.0005736921912922728	0.00040577853065752457	0.0804105029533905	0.0016528501706750721	0.012659343747180783	0.00010189456697589968	0.007358150447268288	0.0	0.0006283583626970267	0.0	0.2417297602461279	0.0002892532728859098	0.02180602817119029	0.0	0.0	0.00021936321751213927	0.06462557791360281	0.0	0.19322722979028786	0.0	0.0	0.0005893699415372875	0.004280711959779521	0.01279320134228699	0.03593180945037352	0.0010622585314420507	0.024210389716801138
