Aque_Archaeo_1;Scil_0	Aque_Archaeo_1;Scil_0_pval1	Aque_Archaeo_1;Scil_0_pval2	Aque_Archaeo_1;Scil_10	Aque_Archaeo_1;Scil_10_pval1	Aque_Archaeo_1;Scil_10_pval2	Aque_Archaeo_1;Scil_2	Aque_Archaeo_1;Scil_2_pval1	Aque_Archaeo_1;Scil_2_pval2	Aque_Archaeo_1;Scil_3	Aque_Archaeo_1;Scil_3_pval1	Aque_Archaeo_1;Scil_3_pval2	Aque_Archaeo_1;Scil_32	Aque_Archaeo_1;Scil_32_pval1	Aque_Archaeo_1;Scil_32_pval2	Aque_Archaeo_1;Scil_4	Aque_Archaeo_1;Scil_4_pval1	Aque_Archaeo_1;Scil_4_pval2	Aque_Archaeo_1;Scil_5	Aque_Archaeo_1;Scil_5_pval1	Aque_Archaeo_1;Scil_5_pval2	Aque_Archaeo_1;Scil_8	Aque_Archaeo_1;Scil_8_pval1	Aque_Archaeo_1;Scil_8_pval2	Aque_Archaeo_1;Scil_9	Aque_Archaeo_1;Scil_9_pval1	Aque_Archaeo_1;Scil_9_pval2	Aque_Choano_to_pinaco;Scil_15	Aque_Choano_to_pinaco;Scil_15_pval1	Aque_Choano_to_pinaco;Scil_15_pval2	Aque_Choanocytes_1;Scil_1	Aque_Choanocytes_1;Scil_1_pval1	Aque_Choanocytes_1;Scil_1_pval2	Aque_Choanocytes_2;Scil_0	Aque_Choanocytes_2;Scil_0_pval1	Aque_Choanocytes_2;Scil_0_pval2	Aque_Choanocytes_2;Scil_1	Aque_Choanocytes_2;Scil_1_pval1	Aque_Choanocytes_2;Scil_1_pval2	Aque_Choanocytes_2;Scil_11	Aque_Choanocytes_2;Scil_11_pval1	Aque_Choanocytes_2;Scil_11_pval2	Aque_Choanocytes_2;Scil_13	Aque_Choanocytes_2;Scil_13_pval1	Aque_Choanocytes_2;Scil_13_pval2	Aque_Choanocytes_2;Scil_16	Aque_Choanocytes_2;Scil_16_pval1	Aque_Choanocytes_2;Scil_16_pval2	Aque_Choanocytes_2;Scil_2	Aque_Choanocytes_2;Scil_2_pval1	Aque_Choanocytes_2;Scil_2_pval2	Aque_Choanocytes_2;Scil_20	Aque_Choanocytes_2;Scil_20_pval1	Aque_Choanocytes_2;Scil_20_pval2	Aque_Choanocytes_2;Scil_3	Aque_Choanocytes_2;Scil_3_pval1	Aque_Choanocytes_2;Scil_3_pval2	Aque_Choanocytes_2;Scil_6	Aque_Choanocytes_2;Scil_6_pval1	Aque_Choanocytes_2;Scil_6_pval2	Aque_Choanocytes_2;Scil_7	Aque_Choanocytes_2;Scil_7_pval1	Aque_Choanocytes_2;Scil_7_pval2	Aque_Pinaco_1;Scil_15	Aque_Pinaco_1;Scil_15_pval1	Aque_Pinaco_1;Scil_15_pval2	Aque_Pinaco_1;Scil_21	Aque_Pinaco_1;Scil_21_pval1	Aque_Pinaco_1;Scil_21_pval2	Aque_Pinaco_2;Scil_15	Aque_Pinaco_2;Scil_15_pval1	Aque_Pinaco_2;Scil_15_pval2
Aque_Aqu2.1.09762-001;Scil_g3084	2.728546897831895e-124	8.613399630843172e-08	Aque_Aqu2.1.23385-001;Scil_g11542	1.9931173808228414e-49	1.506806940604678e-07	Aque_Aqu2.1.42554-001;Scil_g7027	1.8699626977627877e-30	5.3535399237929684e-05	Aque_Aqu2.1.22535-001;Scil_g7553	7.166399470023436e-67	9.669343562528572e-07	Aque_Aqu2.1.23379-001;Scil_g11542	5.755589128320401e-26	9.048617806278154e-34	Aque_Aqu2.1.09762-001;Scil_g3084	2.728546897831895e-124	8.488743128598577e-22	Aque_Aqu2.1.09762-001;Scil_g3084	2.728546897831895e-124	2.1164977796425206e-71	Aque_Aqu2.1.09762-001;Scil_g3084	2.728546897831895e-124	1.6680726027748166e-14	Aque_Aqu2.1.28647-001;Scil_g9720	1.7976193812861958e-143	1.1983466869899071e-05	Aque_Aqu2.1.39905-001;Scil_g2366	2.6940656038742403e-30	1.7299228423533633e-176	Aque_Aqu2.1.44140-001;Scil_g4190	1.646659288707431e-78	1.747451935930376e-16	Aque_Aqu2.1.31386-001;Scil_g6171	1.9939436211890793e-10	1.0056964963507036e-19	Aque_Aqu2.1.44140-001;Scil_g4190	3.48170003993214e-101	1.747451935930376e-16	Aque_Aqu2.1.31386-001;Scil_g6171	1.9939436211890793e-10	3.414303279797964e-27	Aque_Aqu2.1.44140-001;Scil_g4190	3.48170003993214e-101	0.0007256594354911057	Aque_Aqu2.1.31386-001;Scil_g6171	1.9939436211890793e-10	3.5760048483348027e-12	Aque_Aqu2.1.31388-001;Scil_g6171	0.009425638668166618	0.0001969678383639993	Aque_Aqu2.1.44140-001;Scil_g4190	3.48170003993214e-101	0.002892026978861563	Aque_Aqu2.1.27307-001;Scil_g7553	1.9463641251616724e-12	9.669343562528572e-07	Aque_Aqu2.1.31386-001;Scil_g6171	1.9939436211890793e-10	2.4314907110224978e-20	Aque_Aqu2.1.44140-001;Scil_g4190	3.48170003993214e-101	4.08487956467953e-15	Aque_Aqu2.1.28223-001;Scil_g49	1.3844036382592803e-13	4.143112174747816e-191	Aque_Aqu2.1.34429-001;Scil_g10557	1.1816821128964614e-53	4.274304976553866e-107	Aque_Aqu2.1.42554-001;Scil_g7027	3.840681526736188e-28	3.048418473498984e-19
Aque_Aqu2.1.34429-001;Scil_g1131	7.854915848010625e-74	1.1327367313214687e-167	Aque_Aqu2.1.09762-001;Scil_g3084	2.728546897831895e-124	0.0015932217832790715	Aque_Aqu2.1.28647-001;Scil_g9720	1.7976193812861958e-143	0.00022214843175045722	Aque_Aqu2.1.27307-001;Scil_g7553	5.4316044416240484e-21	9.669343562528572e-07	Aque_Aqu2.1.24541-001;Scil_g5248	2.344168441479099e-143	6.945787077049318e-31	Aque_Aqu2.1.33740-001;Scil_g9293	1.0543340401031923e-102	3.596945899188211e-28	Aque_Aqu2.1.33740-001;Scil_g9293	1.0543340401031923e-102	4.527283219803815e-81	Aque_Aqu2.1.33740-001;Scil_g9293	1.0543340401031923e-102	9.858524612877466e-18	Aque_Aqu2.1.24541-001;Scil_g5248	2.344168441479099e-143	3.303744377122232e-10	Aque_Aqu2.1.39671-001;Scil_g1581	4.793950567183939e-08	3.690890937832459e-10	Aque_Aqu2.1.37599-001;Scil_g537	1.1252913100245482e-175	7.247804808704448e-176	Aque_Aqu2.1.31388-001;Scil_g5475	0.009425638668166618	8.67769501557812e-118	Aque_Aqu2.1.33559-001;Scil_g7993	4.711929758987128e-54	4.148241164101908e-198	Aque_Aqu2.1.31388-001;Scil_g6171	0.009425638668166618	3.414303279797964e-27	Aque_Aqu2.1.28489-001;Scil_g4190	4.787491920802856e-09	0.0007256594354911057	Aque_Aqu2.1.42574-001;Scil_g1335	2.1922039600546434e-108	9.6376394827521e-49	Aque_Aqu2.1.31386-001;Scil_g6171	1.9939436211890793e-10	0.0001969678383639993	Aque_Aqu2.1.33559-001;Scil_g7993	4.711929758987128e-54	2.3270235935664417e-11	Aque_Aqu2.1.33559-001;Scil_g7993	4.711929758987128e-54	9.855663219097565e-23	Aque_Aqu2.1.31388-001;Scil_g6171	0.009425638668166618	2.4314907110224978e-20	Aque_Aqu2.1.28489-001;Scil_g4190	4.787491920802856e-09	4.08487956467953e-15	Aque_Aqu2.1.42554-001;Scil_g7027	8.872578751386659e-17	3.048418473498984e-19	Aque_Aqu2.1.20935-001;Scil_g13349	3.0542012146660946e-19	9.650136350047642e-07	Aque_Aqu2.1.34429-001;Scil_g10557	4.114553893179646e-74	5.981302157001797e-14
Aque_Aqu2.1.33740-001;Scil_g9293	1.0543340401031923e-102	2.994790881698525e-10	Aque_Aqu2.1.37079-001;Scil_g9293	6.987535709667499e-114	2.0327085962972233e-06	Aque_Aqu2.1.26684-001;Scil_g9100	5.16651150424784e-114	1.6023523160337718e-14	Aque_Aqu2.1.22535-001;Scil_g512	7.166399470023436e-67	0.004585823521383508	Aque_Aqu2.1.33740-001;Scil_g9293	1.0543340401031923e-102	1.9689172488968712e-29	Aque_Aqu2.1.28647-001;Scil_g9720	1.7976193812861958e-143	4.066775141441044e-46	Aque_Aqu2.1.42554-001;Scil_g7027	1.8699626977627877e-30	1.4560165118980953e-31	Aque_Aqu2.1.37079-001;Scil_g9293	6.987535709667499e-114	9.858524612877466e-18	Aque_Aqu2.1.37818-001;Scil_g5248	1.1042169105070999e-65	3.303744377122232e-10	Aque_Aqu2.1.44140-001;Scil_g4190	8.885562534779468e-10	2.899251819478398e-05	Aque_Aqu2.1.33559-001;Scil_g7993	8.571368772036795e-50	4.148241164101908e-198	Aque_Aqu2.1.31388-001;Scil_g6171	0.009425638668166618	1.0056964963507036e-19	Aque_Aqu2.1.28489-001;Scil_g4190	4.787491920802856e-09	1.747451935930376e-16	Aque_Aqu2.1.31965-001;Scil_g8416	8.676398325265147e-133	5.485112243567353e-44	Aque_Aqu2.1.33559-001;Scil_g7993	4.711929758987128e-54	0.0003626372378897042	Aque_Aqu2.1.31388-001;Scil_g6171	0.009425638668166618	3.5760048483348027e-12	Aque_Aqu2.1.31388-001;Scil_g5475	0.009425638668166618	1.5012911483680183e-08	Aque_Aqu2.1.28489-001;Scil_g4190	4.787491920802856e-09	0.002892026978861563	Aque_Aqu2.1.27307-001;Scil_g512	1.9463641251616724e-12	0.004585823521383508	Aque_Aqu2.1.44140-001;Scil_g4190	3.48170003993214e-101	0.006700570719412081	Aque_Aqu2.1.33559-001;Scil_g7993	4.711929758987128e-54	0.0001544882307408425	Aque_Aqu2.1.41892-001;Scil_g49	5.2142493076430264e-14	4.143112174747816e-191	Aque_Aqu2.1.34429-001;Scil_g1131	1.1816821128964614e-53	2.859045437336428e-17	Aque_Aqu2.1.41248-001;Scil_g168	1.7758796050423134e-70	1.6332715625246172e-155
Aque_Aqu2.1.28647-001;Scil_g9720	1.7976193812861958e-143	3.6322791017014053e-40	Aque_Aqu2.1.40739-001;Scil_g2647	1.6754096759265384e-122	2.8404688120166507e-05	Aque_Aqu2.1.31383-001;Scil_g5475	9.523828346058124e-51	1.5012911483680183e-08	Aque_Aqu2.1.27307-001;Scil_g512	5.4316044416240484e-21	0.004585823521383508	Aque_Aqu2.1.12657-001;Scil_g9127	2.9043498226616313e-98	1.2498917498109795e-31	Aque_Aqu2.1.33925-001;Scil_g8322	4.33182089821621e-115	2.130969061808333e-20	Aque_Aqu2.1.23385-001;Scil_g11542	1.9931173808228414e-49	3.8677566988318815e-89	Aque_Aqu2.1.23385-001;Scil_g11542	1.9931173808228414e-49	2.2916690810336528e-14	Aque_Aqu2.1.31383-001;Scil_g5475	9.523828346058124e-51	9.733826605182648e-13	Aque_Aqu2.1.41049-001;Scil_g13539	1.7843460525969402e-71	9.049282398468563e-116	Aque_Aqu2.1.33558-001;Scil_g7993	7.66292357396136e-06	4.148241164101908e-198	Aque_Aqu2.1.27307-001;Scil_g7553	1.9463641251616724e-12	9.133444795757553e-80	Aque_Aqu2.1.37599-001;Scil_g537	4.0684665683260758e-143	7.247804808704448e-176	Aque_Aqu2.1.44140-001;Scil_g4190	3.48170003993214e-101	2.641206431320204e-10	Aque_Aqu2.1.36142-001;Scil_g11399	4.0505981920120795e-12	0.002690086203710056	Aque_Aqu2.1.31965-001;Scil_g8416	8.676398325265147e-133	1.0927396024211622e-42	Aque_Aqu2.1.44140-001;Scil_g4190	3.48170003993214e-101	0.004623551817919833	Aque_Aqu2.1.36142-001;Scil_g11399	4.0505981920120795e-12	6.663999859790667e-06				Aque_Aqu2.1.27307-001;Scil_g7553	1.9463641251616724e-12	0.002413224741641516	Aque_Aqu2.1.36142-001;Scil_g11238	4.0505981920120795e-12	5.636016498434139e-19	Aque_Aqu2.1.34429-001;Scil_g10557	1.1816821128964614e-53	5.981302157001797e-14	Aque_Aqu2.1.41892-001;Scil_g4792	5.2142493076430264e-14	2.7116418518025155e-120	Aque_Aqu2.1.28223-001;Scil_g49	0.0001247782164728605	4.143112174747816e-191
Aque_Aqu2.1.37079-001;Scil_g9293	6.987535709667499e-114	2.994790881698525e-10	Aque_Aqu2.1.25682-001;Scil_g12596	1.2153315557323154e-117	2.1531978088550084e-07	Aque_Aqu2.1.42789-001;Scil_g6184	5.664896642085612e-163	1.9002527119876296e-28				Aque_Aqu2.1.27559-001;Scil_g13584	3.744327577318277e-75	1.317978231665591e-32	Aque_Aqu2.1.37079-001;Scil_g9293	6.987535709667499e-114	3.596945899188211e-28	Aque_Aqu2.1.28647-001;Scil_g9720	1.7976193812861958e-143	3.2500005883871665e-80	Aque_Aqu2.1.15787-001;Scil_g8438	7.592400004336438e-49	2.820227672992253e-17	Aque_Aqu2.1.34429-001;Scil_g1131	7.854915848010625e-74	1.1116103555945793e-11	Aque_Aqu2.1.41049-001;Scil_g130	1.7843460525969402e-71	6.028113154288905e-97	Aque_Aqu2.1.36142-001;Scil_g11399	4.114280874411444e-54	2.894138951045003e-212	Aque_Aqu2.1.27307-001;Scil_g12359	1.9463641251616724e-12	3.252766774038796e-25	Aque_Aqu2.1.10425-001;Scil_g8416	4.63879348899057e-125	2.19091511370846e-58	Aque_Aqu2.1.42574-001;Scil_g1335	2.1922039600546434e-108	2.441753790448205e-65	Aque_Aqu2.1.37297-001;Scil_g11399	0.0038503850914560953	0.002690086203710056	Aque_Aqu2.1.44140-001;Scil_g4190	3.48170003993214e-101	1.0746376997004295e-07	Aque_Aqu2.1.27307-001;Scil_g7553	1.9463641251616724e-12	2.1075774114314473e-16	Aque_Aqu2.1.37297-001;Scil_g11238	0.0038503850914560953	4.659083286567402e-06				Aque_Aqu2.1.28489-001;Scil_g4190	4.787491920802856e-09	0.006700570719412081	Aque_Aqu2.1.36142-001;Scil_g11399	4.0505981920120795e-12	3.2374574464357077e-19	Aque_Aqu2.1.33443-001;Scil_g49	4.986367745258103e-05	4.143112174747816e-191	Aque_Aqu2.1.40997-001;Scil_g8299	3.831716522362373e-96	5.716139425277669e-91	Aque_Aqu2.1.20356-001;Scil_g3529	3.2873756922537983e-45	2.0052521073704953e-62
Aque_Aqu2.1.40739-001;Scil_g2647	1.6754096759265384e-122	5.11267528625326e-07	Aque_Aqu2.1.43341-001;Scil_g4752	5.594181239016693e-111	4.26187740825989e-06	Aque_Aqu2.1.41892-001;Scil_g7730	8.326661223111995e-07	2.012373021293519e-12				Aque_Aqu2.1.23385-001;Scil_g11542	1.9931173808228414e-49	9.048617806278154e-34	Aque_Aqu2.1.23385-001;Scil_g11542	1.9931173808228414e-49	8.184790961571908e-28	Aque_Aqu2.1.40739-001;Scil_g2647	1.6754096759265384e-122	4.4997904434986604e-86	Aque_Aqu2.1.18283-001;Scil_g8502	8.281858889981098e-97	3.900938968952003e-14	Aque_Aqu2.1.26684-001;Scil_g9100	5.16651150424784e-114	3.309555973941859e-08	Aque_Aqu2.1.43551-001;Scil_g6719	0.0005635633996396587	4.667795661516825e-163	Aque_Aqu2.1.36142-001;Scil_g11238	4.114280874411444e-54	1.9394489459032613e-89	Aque_Aqu2.1.27307-001;Scil_g512	1.9463641251616724e-12	9.045393593074876e-46	Aque_Aqu2.1.31965-001;Scil_g8416	8.676398325265147e-133	2.19091511370846e-58	Aque_Aqu2.1.10425-001;Scil_g8416	4.63879348899057e-125	5.485112243567353e-44				Aque_Aqu2.1.10425-001;Scil_g8416	4.63879348899057e-125	1.0927396024211622e-42	Aque_Aqu2.1.28489-001;Scil_g4190	4.787491920802856e-09	0.004623551817919833	Aque_Aqu2.1.37297-001;Scil_g11399	0.0038503850914560953	6.663999859790667e-06				Aque_Aqu2.1.27307-001;Scil_g12359	1.9463641251616724e-12	5.515179856479624e-10	Aque_Aqu2.1.37297-001;Scil_g11238	0.0038503850914560953	5.636016498434139e-19	Aque_Aqu2.1.39905-001;Scil_g2366	1.4006866036488385e-125	1.7299228423533633e-176	Aque_Aqu2.1.28223-001;Scil_g4792	1.3844036382592803e-13	2.7116418518025155e-120	Aque_Aqu2.1.43276-001;Scil_g9800	1.2417305666889384e-72	1.5307012038912084e-30
Aque_Aqu2.1.34429-001;Scil_g10557	7.854915848010625e-74	1.0540628639714142e-38	Aque_Aqu2.1.34429-001;Scil_g10557	7.854915848010625e-74	5.239645872190315e-06	Aque_Aqu2.1.28570-001;Scil_g9100	6.837768357397875e-22	1.6023523160337718e-14				Aque_Aqu2.1.25682-001;Scil_g12596	1.2153315557323154e-117	1.091899954061848e-29	Aque_Aqu2.1.37818-001;Scil_g5248	1.1042169105070999e-65	4.1374492819070456e-42	Aque_Aqu2.1.25682-001;Scil_g12596	1.2153315557323154e-117	1.732496458595204e-84	Aque_Aqu2.1.28647-001;Scil_g9720	1.7976193812861958e-143	4.83772709568078e-31	Aque_Aqu2.1.41892-001;Scil_g7730	8.326661223111995e-07	4.879729328153165e-13	Aque_Aqu2.1.42574-001;Scil_g1335	3.41041782586475e-12	9.334077000617351e-19	Aque_Aqu2.1.27322-001;Scil_g7993	2.337178416522055e-06	4.148241164101908e-198	Aque_Aqu2.1.31388-001;Scil_g6478	0.009425638668166618	3.3570174565474045e-45	Aque_Aqu2.1.19199-001;Scil_g8416	2.3543543443084444e-88	2.19091511370846e-58	Aque_Aqu2.1.28489-001;Scil_g4190	4.787491920802856e-09	2.641206431320204e-10				Aque_Aqu2.1.19199-001;Scil_g8416	2.3543543443084444e-88	1.0927396024211622e-42	Aque_Aqu2.1.27307-001;Scil_g12359	1.9463641251616724e-12	2.144445648866892e-09	Aque_Aqu2.1.36142-001;Scil_g11238	4.0505981920120795e-12	4.659083286567402e-06							Aque_Aqu2.1.37297-001;Scil_g11399	0.0038503850914560953	3.2374574464357077e-19	Aque_Aqu2.1.41892-001;Scil_g6719	5.2142493076430264e-14	4.667795661516825e-163	Aque_Aqu2.1.14505-001;Scil_g9294	4.1608280773534837e-17	6.872848653790563e-14	Aque_Aqu2.1.42703-001;Scil_g307	1.5499114342658717e-08	5.240464452601041e-35
Aque_Aqu2.1.18283-001;Scil_g8502	8.281858889981098e-97	0.0001125842595486595	Aque_Aqu2.1.34429-001;Scil_g1131	7.854915848010625e-74	1.4833213940135408e-07	Aque_Aqu2.1.31383-001;Scil_g6171	9.523828346058124e-51	0.0001969678383639993				Aque_Aqu2.1.34429-001;Scil_g5447	7.854915848010625e-74	4.1444850591191857e-35	Aque_Aqu2.1.40739-001;Scil_g2647	1.6754096759265384e-122	4.187849062456835e-24	Aque_Aqu2.1.43309-001;Scil_g2223	1.4807065078763136e-142	1.493607232972802e-74	Aque_Aqu2.1.40739-001;Scil_g2647	1.6754096759265384e-122	1.3628695456863562e-18	Aque_Aqu2.1.41635-001;Scil_g12565	1.35534995308407e-94	0.0025143107571829297	Aque_Aqu2.1.44280-001;Scil_g11800	3.113278684368793e-07	4.294439928570776e-56	Aque_Aqu2.1.37297-001;Scil_g11238	1.461101636464387e-07	1.9394489459032613e-89				Aque_Aqu2.1.36142-001;Scil_g11399	4.0505981920120795e-12	2.894138951045003e-212	Aque_Aqu2.1.19199-001;Scil_g8416	2.3543543443084444e-88	5.485112243567353e-44				Aque_Aqu2.1.28489-001;Scil_g4190	4.787491920802856e-09	1.0746376997004295e-07	Aque_Aqu2.1.36142-001;Scil_g11238	4.0505981920120795e-12	0.0008881357174513891	Aque_Aqu2.1.37599-001;Scil_g537	4.0684665683260758e-143	0.0003227670011408377							Aque_Aqu2.1.04817-001;Scil_g1572	2.5806510890960834e-15	2.202975058363325e-13	Aque_Aqu2.1.28223-001;Scil_g6719	1.3844036382592803e-13	4.667795661516825e-163	Aque_Aqu2.1.33443-001;Scil_g4792	4.986367745258103e-05	2.7116418518025155e-120	Aque_Aqu2.1.39919-001;Scil_g2615	8.838572398383237e-31	2.131626370260261e-24
Aque_Aqu2.1.24541-001;Scil_g5248	2.344168441479099e-143	8.405721108634551e-46	Aque_Aqu2.1.23379-001;Scil_g11542	5.755589128320401e-26	1.506806940604678e-07	Aque_Aqu2.1.23412-001;Scil_g10318	1.0708553104955673e-10	9.273405062181472e-07				Aque_Aqu2.1.38191-001;Scil_g1960	5.740348681209968e-44	4.195846293458743e-28	Aque_Aqu2.1.23379-001;Scil_g11542	5.755589128320401e-26	8.184790961571908e-28	Aque_Aqu2.1.37079-001;Scil_g9293	6.987535709667499e-114	4.527283219803815e-81	Aque_Aqu2.1.23379-001;Scil_g11542	5.755589128320401e-26	2.2916690810336528e-14	Aque_Aqu2.1.37762-001;Scil_g10909	1.6015037883301053e-113	6.232732040339726e-06	Aque_Aqu2.1.40997-001;Scil_g8299	3.056879980995244e-05	1.469427077049009e-12	Aque_Aqu2.1.19199-001;Scil_g8416	1.4936963311969493e-103	2.19091511370846e-58				Aque_Aqu2.1.36142-001;Scil_g11238	4.0505981920120795e-12	1.9394489459032613e-89	Aque_Aqu2.1.04817-001;Scil_g1572	2.5806510890960834e-15	6.942133508358538e-10							Aque_Aqu2.1.27307-001;Scil_g512	1.9463641251616724e-12	9.263761439545393e-05													Aque_Aqu2.1.40997-001;Scil_g8299	3.831716522362373e-96	1.469427077049009e-12	Aque_Aqu2.1.37082-001;Scil_g9294	1.421056760183191e-45	6.872848653790563e-14	Aque_Aqu2.1.28223-001;Scil_g6719	0.0001247782164728605	4.667795661516825e-163
Aque_Aqu2.1.23385-001;Scil_g11542	1.9931173808228414e-49	3.3880829309015886e-09	Aque_Aqu2.1.33740-001;Scil_g9293	1.0543340401031923e-102	2.0327085962972233e-06	Aque_Aqu2.1.22535-001;Scil_g10318	7.166399470023436e-67	9.273405062181472e-07				Aque_Aqu2.1.44118-001;Scil_g12540	1.4817066870190888e-117	3.463639262302927e-29	Aque_Aqu2.1.44138-001;Scil_g7102	8.430793710552281e-94	8.619838140574781e-27	Aque_Aqu2.1.43341-001;Scil_g4752	5.594181239016693e-111	3.7700902563568666e-87	Aque_Aqu2.1.34429-001;Scil_g1131	7.854915848010625e-74	5.951152287863651e-39	Aque_Aqu2.1.42789-001;Scil_g6184	5.664896642085612e-163	8.849958966415947e-13	Aque_Aqu2.1.41482-001;Scil_g5780	2.2364060071655327e-10	4.438340479347271e-14	Aque_Aqu2.1.10425-001;Scil_g8416	1.7884504694520865e-31	2.19091511370846e-58				Aque_Aqu2.1.37297-001;Scil_g11238	0.0038503850914560953	1.9394489459032613e-89										Aque_Aqu2.1.37297-001;Scil_g11238	0.0038503850914560953	0.0008881357174513891													Aque_Aqu2.1.33443-001;Scil_g6719	4.986367745258103e-05	4.667795661516825e-163	Aque_Aqu2.1.43995-001;Scil_g7247	1.2817282397478916e-13	1.0299157039374261e-43	Aque_Aqu2.1.39740-001;Scil_g5976	2.860462552437996e-15	8.416891860372864e-07
Aque_Aqu2.1.23379-001;Scil_g11542	5.755589128320401e-26	3.3880829309015886e-09	Aque_Aqu2.1.28647-001;Scil_g9720	1.7976193812861958e-143	6.137569233927377e-16	Aque_Aqu2.1.33693-001;Scil_g3594	2.272650030560976e-17	0.0012435836311851885				Aque_Aqu2.1.09762-001;Scil_g3084	2.728546897831895e-124	3.243320324773127e-24	Aque_Aqu2.1.15787-001;Scil_g8438	7.592400004336438e-49	3.3000588504902226e-27	Aque_Aqu2.1.23379-001;Scil_g11542	5.755589128320401e-26	3.8677566988318815e-89	Aque_Aqu2.1.42554-001;Scil_g7027	1.8699626977627877e-30	1.5807883100323112e-17	Aque_Aqu2.1.28570-001;Scil_g9100	6.837768357397875e-22	3.309555973941859e-08	Aque_Aqu2.1.21078-001;Scil_g119	1.2081164684569569e-05	8.183093804898087e-34	Aque_Aqu2.1.31965-001;Scil_g8416	5.978261534384289e-50	2.19091511370846e-58				Aque_Aqu2.1.37297-001;Scil_g11399	0.0038503850914560953	2.894138951045003e-212										Aque_Aqu2.1.31388-001;Scil_g6478	0.009425638668166618	2.0713961228819185e-07													Aque_Aqu2.1.39671-001;Scil_g1581	5.6277730716785066e-24	3.690890937832459e-10	Aque_Aqu2.1.39671-001;Scil_g1581	5.6277730716785066e-24	3.9616243298317514e-63	Aque_Aqu2.1.40413-001;Scil_g7126	1.0846582125047793e-30	3.229961612740437e-165
Aque_Aqu2.1.15787-001;Scil_g8438	7.592400004336438e-49	1.482202537003268e-12	Aque_Aqu2.1.30395-001;Scil_g3084	6.234964103978512e-06	0.0015932217832790715	Aque_Aqu2.1.22535-001;Scil_g7553	7.166399470023436e-67	2.1075774114314473e-16				Aque_Aqu2.1.44167-001;Scil_g6323	2.4503567949267662e-116	8.43118350918693e-31	Aque_Aqu2.1.27559-001;Scil_g13584	3.744327577318277e-75	1.0189556894392329e-25	Aque_Aqu2.1.32585-001;Scil_g3331	3.4239698025737356e-115	2.4001510602405676e-73	Aque_Aqu2.1.32585-001;Scil_g3331	3.4239698025737356e-115	2.909172164830507e-10	Aque_Aqu2.1.40224-001;Scil_g11001	3.315866519983422e-112	0.0074227933324055384	Aque_Aqu2.1.30867-001;Scil_g5780	8.811394793769746e-08	4.438340479347271e-14	Aque_Aqu2.1.37297-001;Scil_g11399	1.461101636464387e-07	2.894138951045003e-212				Aque_Aqu2.1.04817-001;Scil_g1572	2.5806510890960834e-15	1.2927991012931955e-28																									Aque_Aqu2.1.42703-001;Scil_g307	1.4754696956545303e-15	5.240464452601041e-35	Aque_Aqu2.1.44221-001;Scil_g10508	5.994069235373014e-92	1.172101711968211e-118	Aque_Aqu2.1.39905-001;Scil_g2366	3.4174332022971364e-10	1.7299228423533633e-176
