	Aque_Archaeo_1	Aque_Archaeo_2	Aque_Aspcinzin	Aque_Bactericidal	Aque_Choano_to_pinaco	Aque_Choanocytes_1	Aque_Choanocytes_2	Aque_Collagen	Aque_Pinaco_1	Aque_Pinaco_2	Aque_Sperm	Aque_Unk_1	Aque_Unk_2	Slac_0	Slac_1	Slac_10	Slac_11	Slac_12	Slac_13	Slac_14	Slac_15	Slac_16	Slac_17	Slac_18	Slac_19	Slac_2	Slac_20	Slac_21	Slac_22	Slac_23	Slac_24	Slac_25	Slac_26	Slac_27	Slac_28	Slac_29	Slac_3	Slac_30	Slac_31	Slac_32	Slac_33	Slac_34	Slac_35	Slac_36	Slac_37	Slac_38	Slac_39	Slac_4	Slac_40	Slac_41	Slac_42	Slac_5	Slac_6	Slac_7	Slac_8	Slac_9
Aque_Archaeo_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7660857053764788	0.5683669552738857	0.05362203891580408	0.4331239738000329	0.1053796659853157	0.12671497437781176	0.00696517985657758	0.0	0.15429468821127706	0.03445370071532156	0.0036804135584650372	0.3196913523034474	0.6422497625918749	0.12841893361232376	0.6812422727090761	0.0436974611543051	0.4376318690423145	0.0007128600494674529	0.0002926618515379267	0.45218772181342637	0.30099563067476276	0.3918460421833382	0.4444225359611493	0.602091660629804	0.018919987949526637	0.03251669588450186	0.002207064821096238	0.461753444412255	0.14402078306681776	0.00416049191885403	0.04953256108379429	0.047907046653859156	0.04624587810801416	0.18856959070781237	0.03066799368436387	0.0036660391341924955	0.0025236176365392455	0.1896870122544323	0.7398497545662873	0.6651424093569622	0.1154779086680554	0.0467245480214355	0.011578414840886765
Aque_Archaeo_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5415084451731202	0.47638263485673543	0.05795633487766412	0.31232335449699566	0.3449824858263776	0.19753373137406213	0.004341456746168671	9.078821573249609e-05	0.34787371429381864	0.04714252358467055	0.0011587962156185416	0.3274904110641689	0.4960590318183799	0.1170361183624139	0.20885225736339524	0.09128376824400361	0.15569787188952994	0.0014095883121702881	0.0001625465115257085	0.19290548877211067	0.31033552489787664	0.28772091484441187	0.2780158998057737	0.3858235455193949	0.047207122707916084	0.021356679216683352	0.0019928349649258716	0.2923513780060271	0.11484228030601287	0.010540344558535007	0.028143991853141863	0.04458253497435319	0.0940553486621992	0.14159707270809269	0.030605651807504318	0.0005918620297150456	0.0	0.1813829527676019	0.4360502507019426	0.5292034549543093	0.32961725939915076	0.06352348946258754	0.0006327105559776991
Aque_Aspcinzin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14148132742502956	0.29539617274885654	0.17626320827740058	0.262513900206205	0.44473217435636386	0.21286237923013882	0.016934887067320655	0.012655149708629937	0.33115116887854296	0.07694435033600208	0.014709759618818189	0.3161180898285387	0.22899772824008183	0.12292416095677064	0.019602230964549057	0.18448552796312487	0.1251304921788714	0.0333945309949069	0.003962414295438995	0.08429467229070339	0.0856638399502073	0.1381236783495821	0.11498010692012021	0.19956266492208413	0.010187879572190741	0.08405984481503621	0.05577729718931553	0.10818117874720326	0.06683606091958869	0.04522823807192945	0.003951068335369233	0.03403628389290024	0.07269022596045752	0.03755144846859129	0.3505621431897349	0.06793343806828457	0.14558353208238878	0.03604716492955433	0.0994917662207193	0.24424012052737512	0.43639444310695996	0.3578132355147419	0.22872024732079463
Aque_Bactericidal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03865848160782097	0.002534790743825348	0.0008941643340947593	0.0010651474948718334	0.00027363831923957167	0.008075043731719913	0.0010352117040570092	0.00034981426388409247	0.0020485082627105006	0.003744508610236627	0.00014149035474496672	0.008218568585421917	0.010543947667534076	0.0025050930397496566	0.017236461574233784	0.005392535752130305	0.0024833019970365152	0.0	0.0020102539146755667	0.0003472752194211713	0.007230361110547682	0.0010478293888657065	0.0019194663194944295	0.0018030967225441553	0.0028411658409678462	0.40622376267617744	0.0012701180220970512	0.0005488029985186724	0.0003349652284649323	0.00016475495192956157	0.002288110049001695	0.031237566508924654	0.001641767828917611	0.0003215345448222134	0.0034173715536784436	0.00032415893609416617	0.0	0.0	0.002909018069777062	0.008598468280927255	0.0006121884170658319	0.010821100582757249	0.0071502130712949264
Aque_Choano_to_pinaco	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00027466316874038253	0.020828859130047846	0.07947075792551694	0.004728825730333509	0.0039532011393171775	0.04396212415883675	0.046810972373876436	0.6612579010901454	0.04264692591654665	0.31929533243823705	0.002811494741836318	0.0018064050342719083	0.004139387483291965	0.007131482452417522	0.0001722539735536261	0.22842925097983935	0.0	0.741385840983159	0.014141403237264785	0.0	0.00022841882135339023	0.0023389754095053295	0.0014110859785288223	0.00030668708788799624	0.002131677979772635	0.01554444253325068	0.4935571548647104	0.0014859207682200552	0.001157608597742766	0.020839611364570104	0.020534694445809	0.06090769419302616	0.0036783756133330256	0.00033700229918542533	0.0011716438194002243	0.12796721253056664	0.0058192152652502774	0.0	0.0002975874249824545	0.006940911209462946	0.010184517390622963	0.4212898038860497	0.607645133736636
Aque_Choanocytes_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0367371423450778	0.052271604212053235	0.3444807146567134	0.034596707359870756	0.10088439814606975	0.11251073287972106	0.033060503494048904	0.3473404362467235	0.11284219687830806	0.08258596648921153	0.30839727137569295	0.06754572026088132	0.036771618803921026	0.18080886356472753	0.03059297687380997	0.053876363206679545	0.020055451882025732	0.3954162402287685	0.6136031811332868	0.019418262108312764	0.009409072603870751	0.012465122502486218	0.014905535636325868	0.029548324901092986	0.13143470627568238	0.18598300607221246	0.06029546545275164	0.015796622792999496	0.01605467993831901	0.03793982702636528	0.016647010117768524	0.02832064132500873	0.062235918498259254	0.004565530376765684	0.24145650062228258	0.07152629866522954	0.1551927667987661	0.007987693711868308	0.024990323185466644	0.05181293779212579	0.14085493846499686	0.3660362913575205	0.38734740739031615
Aque_Choanocytes_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027760857723490982	0.04307079310390716	0.3836633625325957	0.02637752502866119	0.07462099115279562	0.11792538273656036	0.008507172682826188	0.5987391422957995	0.072694981598365	0.24389820666213727	0.40761306814427734	0.044714324717986725	0.027907317104284568	0.22102542680026568	0.002532381570719191	0.15689165740225908	0.010466682273538414	0.5118789452392914	0.8182986546043727	0.004539544888559461	0.017643133449506777	0.010880454981218084	0.0080669942342463	0.012066093421014853	0.37903831847096614	0.14691542012377914	0.27401189810747495	0.007387256613809607	0.010148575343707769	0.06019384952812636	0.029619960644032807	0.07462885775527181	0.05110792759446027	0.0022057115983485183	0.3779925936090076	0.15088980191495388	0.05644250340972734	0.0	0.004877060464821496	0.030133513792114142	0.13696882192743987	0.478220499299659	0.6307016170104305
Aque_Collagen	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02416444370303295	0.2596880741087082	0.029512079892656102	0.056063073411329954	0.025938448780583788	0.037886902724952896	0.012489488586899704	0.0019907769624249875	0.0708089666493531	0.0013321663454925665	0.0027743038753917483	0.0141630834542084	0.19538481739585462	0.02238461142056637	0.006454732540004444	8.781453530090386e-05	0.0058409111977385615	0.0	0.0	0.01958424806729568	0.010391916067551115	0.02880388299505603	0.023327170940476462	0.053785648814093326	8.426155927093909e-05	0.00043328194285877054	0.0	0.030520069113287862	0.00620686198948107	0.0013273392739849537	0.002746198420449688	0.0	0.007736271553546306	0.002480888277104609	0.011571633210295373	0.0	0.0	0.0	0.059862117919622634	0.22838206081205442	0.035627031724549854	0.008985916775370008	8.760877683355251e-05
Aque_Pinaco_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02081390121252021	0.05772568560362827	0.3940264843437764	0.02810329669136192	0.02815974214288249	0.44298115410559075	0.9123719652714755	0.28182687312675603	0.3736536909721194	0.572938094646	0.26318396719623494	0.04445108335062706	0.013714577842971688	0.25353092371772323	0.0019763826746880733	0.5624453200450411	0.0010639317102796465	0.036758933302112315	0.010526600295280058	0.0	0.23584491075276953	0.0023359593468025063	0.004507983563013925	0.0007326626400378766	0.0052108943304425195	0.05841035299843028	0.367967947582104	0.009792502159798936	0.008271232400862106	0.10517454753977815	0.009842847458976626	0.05931348009787087	0.005926688137849509	0.0008106439043213967	0.02722362107243436	0.0685671162286782	0.0025462774918822866	0.0005667095489914957	0.007759332696434548	0.049095562866430444	0.13391715132340928	0.6337312071467156	0.5709773590077551
Aque_Pinaco_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18244580252057213	0.09969549036008561	0.32828250423458377	0.02365699035098624	0.017294092370128238	0.43319377867154485	0.2514302912225033	0.015051862838836444	0.077889966797742	0.16997643082479993	0.11534192522902423	0.014828407100563124	0.07465171820070829	0.16225181638581387	0.19367088383857106	0.06848061457306107	0.0088147588507078	0.001967054264234811	0.00047552155055964363	0.008455665222339358	0.1519376320414674	0.07998965941618259	0.01719818719587303	0.12249812357494747	0.0005452908881484563	0.004959508632674984	0.0053248573984798	0.011393641196380195	0.011542166705517606	0.37031087428154963	0.003714501451983934	0.00465809135870117	0.0038919525991570323	0.0021095202055948182	0.01831441630947176	0.00022681181190082732	0.0005128128401889476	0.009795620642976097	0.13197798884630949	0.07593642741204931	0.023862747964364772	0.09114880775910314	0.027533525803468593
