	Aque_0	Aque_1	Aque_10	Aque_11	Aque_12	Aque_13	Aque_14	Aque_15	Aque_16	Aque_17	Aque_18	Aque_19	Aque_2	Aque_20	Aque_21	Aque_22	Aque_23	Aque_24	Aque_25	Aque_26	Aque_3	Aque_4	Aque_5	Aque_6	Aque_7	Aque_8	Aque_9	Slac_0	Slac_1	Slac_10	Slac_11	Slac_12	Slac_13	Slac_14	Slac_15	Slac_16	Slac_17	Slac_18	Slac_19	Slac_2	Slac_20	Slac_21	Slac_22	Slac_23	Slac_24	Slac_25	Slac_26	Slac_27	Slac_28	Slac_3	Slac_4	Slac_5	Slac_6	Slac_7	Slac_8	Slac_9
Aque_0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2760978214016999	0.033516785455968985	0.013498232289242759	5.2567753750999835e-05	0.0	0.02939694608285519	0.0	0.0	0.00018663498149672317	0.008891437961962144	0.021112397602945965	0.0011233097098290368	0.0	0.6456584240155298	0.3938313875886924	0.11271761997392457	0.1635942614806001	0.0	0.00485562627030098	0.005421028218099946	0.00396418587076734	0.00182612548648193	0.19104240196424715	0.0	0.0	0.00014128365096735264	0.29997235018844837	0.0469293306131961	0.0008225585518186425
Aque_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5303363990624544	0.008663266646924028	0.6698991426271598	5.2453808802849e-05	0.010625198375212603	0.0021586537901109584	9.4211499025397e-05	0.0	0.006762656598306037	0.07195002333656259	0.03932429552481018	0.0	0.0	0.69899027342021	0.38094431802929263	0.21415321884106317	0.0646400499921868	0.0002114492435132456	0.2795522710192643	0.016098574242515096	0.014498661067363878	0.04359153303069138	0.09718529368045778	0.0	0.0	0.0001707072226167989	0.08643265182635748	0.020380070717994067	0.0
Aque_10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00035498008564928684	0.238788736501821	0.0001413945567531818	0.02676596678400095	0.002192414138961859	0.12881893682168016	0.008868319511105739	0.0295328633181768	0.0	0.0023320799890018708	0.0	0.0583753905822512	0.05030240366467307	0.0	0.0	0.002526444901779595	0.0	0.0	0.000667024064223547	0.0008441847642352227	0.0	0.00046281974764862503	0.0	0.06686313570912868	0.2207778987460581	0.0072283694234081	0.001128124795165199	0.009869307817518972	0.18465330994774137
Aque_11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6889097852833543	0.008403629605242716	0.08200441290545832	0.0	0.0	0.006078058619846837	0.0	0.0	0.0294989770935715	0.0028276057664668804	0.35544763321265005	0.0	0.0	0.03347981305573107	0.7790986843508092	0.00034762108425715735	0.008336237437591347	0.0	0.03817131970084938	0.013909327981035394	0.004501189569869233	0.000510966631964264	0.0017272627025082508	0.0	0.0	0.0	0.009956713764528191	0.00140047636172583	0.0006550342059448093
Aque_12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.044495929863773896	0.057071865956549075	0.02386386572175855	0.002888361642682251	0.0016592193576923033	0.023154071126007467	0.0	0.0	0.269839513865764	0.11076628953201587	0.14698088646638785	0.00878944916675804	0.0009861933102186886	0.003219767188062065	0.0	0.0	0.0024371218255827007	0.20493466071730232	0.0025533123271301124	0.002363660664284509	0.33000887086304254	0.0002315534635040152	0.02706502398741274	0.06528078476025152	0.0009549718075964973	0.001980582678772997	0.3900742822303522	0.007280404427560448	0.020369614811071114
Aque_13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010710681827315323	0.4391148008332051	0.0	0.16988407227003063	0.0	0.16449891694493005	0.08115585958703213	0.3559604305878611	0.0	0.0	0.0	0.14155899119310483	0.487322369270634	0.0	0.0	0.01738035014328533	0.0	0.0	0.0	0.0	0.0	0.0	0.006100400078220166	0.39913913518650385	0.6051667054609087	0.20255103749549538	0.008254092630270642	0.01022126207684241	0.263391509159795
Aque_14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.453281315979148e-05	0.01696214012377567	0.0027613938769139026	0.004377468311037562	0.5115496451326976	0.005101677097478209	0.0010219465338498674	0.0002823497927547542	0.0	0.0019955955784375953	0.0010553533524369284	0.0	0.008958017990811775	0.0006918215507287007	0.0	0.0	0.0048331047691507045	0.00046195574421863925	0.0	0.0	0.0	0.0	0.8554371564317765	0.019720043407902184	0.09335681636268875	0.02375612791168754	0.0	0.5543999780297719	0.0011851384806319018
Aque_15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001003404766302592	0.018840817779927244	0.0015475469294584598	0.0343613327396839	0.0	0.004392717945476625	0.019157284240578977	0.04080478624629421	0.00033620440124184394	0.022412516793182534	0.0002294529028552027	0.001096468633797904	0.09188486718958475	0.0	0.0	0.0074911210469621485	0.0	0.05075907792570714	0.0	0.0	0.0	0.0	0.00042388125335867673	0.23576321213883616	0.0872378165954142	0.041395609214885803	0.06634239341858109	0.0018340019581477448	0.024043284716179145
Aque_16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001232265531005356	0.024284306830599168	0.012877418799198959	0.0011448486344494565	0.0008668998195664297	0.0014582647590841624	0.0	0.4655722443921211	0.001018036379296896	0.05361505663231454	0.0015058030570559225	0.0	0.000986080099469514	0.0	0.0	0.0005766973253521905	0.0	0.24749135367853184	0.0005566199073117476	0.0	0.0021705095831259977	0.0	0.0021627255758325404	0.018437245197790383	0.0015393593236561669	0.0035227352411621262	0.01772241547653059	0.0006435627461357832	0.0025104806438180573
Aque_17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01014196595669789	0.0	0.0007808588536033845	0.047378611451232865	0.002537453714599068	0.0009401078220672952	0.00046872346699394746	0.0	0.00012644714551643282	8.095869327476177e-05	0.0008577060773051731	0.0010209188784304733	0.0004943739288469755	0.0002776085771391054	0.0011193474629988343	0.00016057744354645138	0.0	0.0	0.0	0.0	0.0002189758213644078	0.5216671903801227	0.0027754393487720267	0.0014548645439431968	0.0012925066061246226	0.0021298963513450963	0.5204221913801639	0.012854448995760132
