	Scil_0	Scil_1	Scil_10	Scil_11	Scil_12	Scil_13	Scil_14	Scil_15	Scil_16	Scil_17	Scil_18	Scil_19	Scil_2	Scil_20	Scil_21	Scil_22	Scil_23	Scil_24	Scil_25	Scil_26	Scil_27	Scil_28	Scil_29	Scil_3	Scil_30	Scil_31	Scil_32	Scil_4	Scil_5	Scil_6	Scil_7	Scil_8	Scil_9	Slac_0	Slac_1	Slac_10	Slac_11	Slac_12	Slac_13	Slac_14	Slac_15	Slac_16	Slac_17	Slac_18	Slac_19	Slac_2	Slac_20	Slac_21	Slac_22	Slac_23	Slac_24	Slac_25	Slac_26	Slac_27	Slac_28	Slac_29	Slac_3	Slac_30	Slac_31	Slac_32	Slac_33	Slac_34	Slac_35	Slac_36	Slac_37	Slac_38	Slac_39	Slac_4	Slac_40	Slac_41	Slac_42	Slac_5	Slac_6	Slac_7	Slac_8	Slac_9
Scil_0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5541053412341195	0.27860566451355623	0.10904467381141918	0.10745208139904168	0.3810315831669988	0.08605521224162783	0.02258492047831179	0.07787173248429181	0.17093598436579022	0.053559795565966774	0.0934685008443145	0.18010410986568848	0.26373511875747147	0.09705522693376077	0.08675211705384497	0.06733274896644713	0.052120494393404306	0.04060845345268351	0.38084163989365216	0.0756559179419692	0.08318398072564556	0.11546555511724968	0.12192424916007501	0.15713050144455676	0.5032237790482721	0.055648497041986246	0.010508278400557661	0.11906030186614887	0.09145178183460594	0.015913778725505815	0.02273812783680447	0.04265194484436481	0.06221705994031216	0.042488685619755474	0.39766551715959597	0.005720624534961532	0.1118664097418641	0.054978075682161655	0.17274644276897444	0.2843840824238634	0.3204052297626516	0.12858021271910586	0.1031904042484407
Scil_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24382579595342246	0.14242443937446828	0.1218618341902519	0.1529809412448993	0.038553910800360136	0.11563526965782145	0.006125021040928971	0.2130476588459042	0.08977661130511859	0.05777576456742587	0.06482099841530647	0.04622090490052472	0.06412631952554612	0.08927277020028697	0.015193955516142452	0.10928719780977567	0.12319793965043571	0.050763832887503156	0.1715617366421865	0.08085182107414662	0.07473919570617206	0.12051589612757459	0.021407544740776958	0.06430220048404514	0.03409745991444136	0.039199955600876704	0.054680684902254084	0.02463438362855383	0.008783058016412935	0.3358699501269293	0.06985272754022404	0.011669183296659214	0.00858651143359242	0.00822282715172679	0.14451477378761346	0.10977514817004068	0.11802880277325081	0.027640745007904893	0.09361478808054927	0.06470336800295674	0.05404225308536761	0.20589654190841866	0.15524789843601342
Scil_10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4517259456787882	0.13160141140997528	0.05724373844708086	0.09190286088607157	0.06341659854725347	0.05349116837703386	0.0110183757325364	0.06561215569524852	0.07228963836177285	0.028393979023528963	0.01829192468592234	0.06087693781606794	0.1255113660669988	0.0452613992869781	0.04714840749396085	0.03836750324482424	0.07461214280539522	0.014596256944898134	0.06489201398992603	0.06883161591247042	0.06336216491411069	0.09213978182843711	0.07714337313728577	0.13415980818578738	0.16386620788517528	0.016693698119990937	0.009666537271707869	0.0849056053247699	0.04089290688550704	0.03997309814631903	0.028650791565915275	0.018040060635565014	0.027478479455338066	0.048667132068474325	0.1343894087492177	0.020650007651793874	0.13154064339207822	0.03242652090007419	0.11230192178909051	0.10977570215724056	0.07542960066753786	0.05584471547059473	0.06201683527913101
Scil_11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1564977499678663	0.07040507635294307	0.0746203343870204	0.0605099508470468	0.07706577152831184	0.05471529240502584	0.004290946026676736	0.16269392146327064	0.05230158909906239	0.06721256150795482	0.04342309649617782	0.041168164544338026	0.04889474918050821	0.034265717768461955	0.0015866991904823653	0.06314598690573046	0.0375468566834272	0.018169995154735562	0.09157727042865434	0.024791477030406926	0.03529348270164286	0.047324046171134275	0.020321309467583336	0.04143061856775465	0.0645447573669003	0.015618011762573025	0.1355392931978461	0.018689881453925035	0.007677292191271545	0.11568689931196255	0.012044946691807501	0.013100211724513334	0.006964694636791091	0.007664894876192045	0.15161578878188395	0.028823650502843145	0.027425200310993443	0.0036254180358829763	0.03947618063578804	0.04844137823146043	0.0706838670355089	0.12852985947967382	0.1477226011711509
Scil_12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2629617093098323	0.06060079113297308	0.029026622239076684	0.03404662065618087	0.03805556151586002	0.02594849880052889	0.005033815647425803	0.11783389152237651	0.030793994015590152	0.03779962197995265	0.017526742866446197	0.02932084997279033	0.048417037416957756	0.02155744610607134	0.014748397085192905	0.013568033113743628	0.011838462573628115	0.0199421526791728	0.09019097603493609	0.011648470503913422	0.021159742382122964	0.026966517557597325	0.017920862467382496	0.03438690122398181	0.04895725656744988	0.005959521321519734	0.013234520979641265	0.016151189273556334	0.007320795846466428	0.09788323588835152	0.027518737965595164	0.004831005699672538	0.006528061879691775	0.004421391419589822	0.13647401564263525	0.03801117767832328	0.11556680519492064	0.004559724999833864	0.029684330818504766	0.04703587088753241	0.0459395344029537	0.04749881891098011	0.09826019361790145
Scil_13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.165347874227082	0.07736078460400544	0.03387531814042785	0.06527319996102322	0.03147964937776347	0.02783625258687002	0.011932492617966809	0.20774482000927225	0.03607881239458653	0.033583893645161254	0.023724856372658896	0.022885914698005633	0.04464082307453278	0.017739681377887426	0.007794036732871977	0.03266358152048239	0.04501019636446849	0.03814542852128287	0.09352743822198438	0.03918607523491248	0.025607057538861853	0.031219642287160225	0.017417337658939963	0.03319523153944591	0.04565998181862725	0.01548242491190884	0.03316925747380697	0.019750209999761546	0.004425746795818425	0.10277547158194138	0.02234775401879844	0.006407990208978673	0.005657124621119329	0.0025757587940182813	0.08127644509886761	0.059515151228410966	0.6346318317564085	0.001615632842046176	0.04528021534177322	0.04074303328314866	0.03557818054803697	0.04773443576770051	0.1368298980551872
Scil_14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20609919101180604	0.052808052497925285	0.012159047914086115	0.02276215421559196	0.013833099009821923	0.010728757310360798	0.002094575265916423	0.02509643219658427	0.025865462469158988	0.028638511039259223	0.006063830326524774	0.016213086289831646	0.0490641566688504	0.009116382147658881	0.010867791298553522	0.0164810463514562	0.007158890939722584	0.01363414815994951	0.03178178640514753	0.0054317760883299746	0.020182413402052783	0.010228728418830406	0.016071018716482536	0.00987053704609932	0.04625471757272835	0.0009808087223626219	0.003956707395792383	0.0031887118588104146	0.008441147110253133	0.006033031898110688	0.0042046960163412556	0.0003206164082534161	0.012066932611580311	0.0005935946447265439	0.020889665510173742	0.005624512635939746	0.31816010051627397	0.005931891680253071	0.012402858146419008	0.04806738252559988	0.02630059471263076	0.03570973006251503	0.10736128034688859
Scil_15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01445939281353758	0.2490292188489923	0.0004929820825989631	0.003076128797078085	0.27095921321980343	0.9982874548867136	0.3818988718775202	0.06202455014545903	0.28383957148159694	0.040624800631429175	0.0	0.00015169688923983557	0.07415725158469587	0.0	0.054170994417659935	0.0	0.4357773303221693	0.09418627770915178	0.0	0.001624964036662507	0.0	0.0	0.0	0.00027737715234100806	0.023670538067172925	0.08287475592307204	0.0	0.000520231396582458	0.005820256438649478	0.05909132163116049	0.04754626482935983	0.0002301708552299386	0.0	0.01050085561633152	0.021208244945826668	0.0	0.0	0.0	0.0032217931042538123	0.009648489523607058	0.36684607396131064	0.3909387264611891
Scil_16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04180656712839903	0.02552195958500105	0.020862027407162042	0.020693233586473382	0.018365258539686645	0.022537483194246546	0.0029549097281224334	0.07621214568029651	0.014259986526188378	0.05409575716948676	0.010821226148594225	0.007221275020672803	0.008798108850565147	0.007115357968169399	0.0006470861978050918	0.011866301008807145	0.005343501843194956	0.010498949371459525	0.03813769501815925	0.00270160995304971	0.0068427485425427885	0.013132918317634176	0.0027680746105190838	0.0030279260050536916	0.010016098378258849	0.005228457682259996	0.038225555233074006	0.0012858675495344709	0.00017076535806273901	0.07001313345126456	0.01005670992423369	0.0031752325406214955	0.0019581912497054757	9.091644072947872e-05	0.08767017230809447	0.02138778232327141	0.009144363278328958	0.0	0.00478069871352887	0.012484302991247842	0.0305468882375255	0.07866909648318078	0.09561057059493472
Scil_17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25904236106447287	0.090776999149648	0.046747481649814085	0.04766592457337038	0.299328461974019	0.22770318420527777	0.005223934483271751	0.0	0.03460638476275716	0.015805898459053662	0.01936333739694043	0.1277893733459826	0.24789001914329215	0.07452634416895218	0.13881733208807914	0.05779987329789127	0.06241741000053386	0.0026814101153831956	0.0	0.1384479029778472	0.13438466525537782	0.046514157296246236	0.03184505755340953	0.07547325107754468	0.0015874175070448016	0.00617428972458401	0.003791260946618308	0.0640675784435083	0.03694149352596737	0.00017582516059174116	0.014177275702820383	0.023885514651968337	0.004942595254144723	0.008718864316113677	0.0075283430731945215	0.004622022339874265	0.064609926500417	0.04551393650806086	0.5293743317724047	0.6042509769487169	0.03505894620364225	0.056341300091033164	0.02896035068091829
