	Scil_0	Scil_1	Scil_10	Scil_11	Scil_12	Scil_13	Scil_14	Scil_15	Scil_16	Scil_17	Scil_18	Scil_19	Scil_2	Scil_20	Scil_21	Scil_22	Scil_23	Scil_24	Scil_25	Scil_26	Scil_27	Scil_28	Scil_29	Scil_3	Scil_30	Scil_31	Scil_32	Scil_33	Scil_34	Scil_35	Scil_36	Scil_37	Scil_38	Scil_4	Scil_5	Scil_6	Scil_7	Scil_8	Scil_9	Slac_0	Slac_1	Slac_10	Slac_11	Slac_12	Slac_13	Slac_14	Slac_15	Slac_16	Slac_17	Slac_18	Slac_19	Slac_2	Slac_20	Slac_21	Slac_22	Slac_23	Slac_24	Slac_25	Slac_26	Slac_27	Slac_28	Slac_3	Slac_4	Slac_5	Slac_6	Slac_7	Slac_8	Slac_9
Scil_0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.366018987532231	0.0004684178009882889	0.528955625229443	0.0	0.02696108398590233	0.002965274321864105	0.029701501584303108	0.3047997459005828	0.018712925888918038	0.0	0.04753734326053881	0.3807383691415505	0.0	0.04393421402150271	0.02860239031027567	0.015989887859151078	0.049424299834986224	0.043794509006172745	0.0	0.21074107071930892	0.024059227033925268	0.0010743011716778119	0.002860699170843923	0.13664675774979307	0.0	0.0016246477342795047	0.0
Scil_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01827808436726361	0.6155092774982929	0.0	0.05695378148298511	0.0015277981023023978	0.5015735460317358	0.11053774403747367	0.11231609844603421	0.0004422454665166356	0.0009473989263268512	0.00023396105394674484	0.23355035808163066	0.13676092802541756	0.0	0.0	0.21421386494783615	0.0038416792022528796	0.0	0.0	0.0021768265020720725	0.0005533417054644279	0.002273826306313196	0.0024085592503136377	0.31911502404417147	0.336588349733525	0.035066086311698684	0.04721589489772725	0.033651906258262546	0.7763817275801346
Scil_10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03017993529970429	0.6207722983304859	5.100656119960626e-05	0.0058551360364539964	0.006327807293703325	0.24553882334482027	0.014186753717201295	0.018887669911625063	0.0012383605118169241	0.0	0.0011310650237708292	0.1294937412116747	0.027438366792618463	0.0	0.0	0.06535693077605041	0.02064885430308309	0.0009545062459419415	0.00015018814560635983	0.009385841808849235	0.00039443600373686646	0.0	0.35079872149503716	0.06655874529321693	0.03241667715628062	0.006183539371155919	0.054146919702805496	0.38844158708579923	0.7931909449198599
Scil_11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07310261823386728	0.004459526828583448	0.23278594164795355	0.0	0.35097414288370016	0.00021693447660369475	0.001389151733824921	0.004536587944257384	0.015516315258534589	0.061395095405627695	0.00978554379017344	0.0	0.02363892907594594	0.47311690548757596	0.0034082908903331336	0.2654022409620183	0.016745183465109822	0.000956657667312097	0.008520989366655126	0.010944310382903178	0.00015896391340471414	0.003367821929089892	0.5105048766288159	0.00544169115373251	0.009620723061698993	0.03673953960074028	0.011666744007993373	0.07042434337971315	0.0
Scil_12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17761884482943896	0.11381392121581016	0.3862239668742384	0.11302131434007653	0.01695275628297446	0.07778951268122805	0.004519728152489111	0.001115131174904282	0.021853807329041124	0.014505141591306914	0.0069427383578760295	0.00013592924197243655	0.01759854599071665	0.07529731815993859	0.01393388443281933	0.050758305863346696	0.0012009858812657437	0.015072090573910794	0.00012572043254579002	0.004355554463691833	0.27813499793604124	0.6362350635743337	0.07041614688231605	0.02608574802507415	0.008975855112015266	0.03906763004981378	0.10937490144627293	0.02961715508236863	0.04207979859802529
Scil_13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028009064457358963	0.007825443569911383	0.3315169380552403	0.3385576514726545	0.057694255436877354	0.08531553498426214	0.04710778167959642	0.013979074553833824	0.009542837354898609	0.04858516784041768	0.006181991086120768	0.0	0.04581868318846277	0.005589632809005182	0.002020973567422984	0.00847923198015727	0.00995383519315975	0.06573969735389157	0.0011929405329582942	0.010456398739404994	0.21637456567062746	0.03789668001609765	0.012921287557842004	0.11185187279165083	0.014768445724821149	0.0471217709923635	0.0190739973847037	0.006764379534971022	0.08958509815973896
Scil_14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0871166722058043	0.35187068487957807	0.001008262400132494	0.035228503508706425	0.011091862961094795	0.06191137490748061	0.02049169927794734	0.016422955136255527	0.00020637780965212412	0.000397434291767645	6.509628052611548e-05	0.023751085854338178	0.07813610614977072	0.0003222848343452075	0.0002244552509383524	0.26716882619079485	0.002006750559040853	0.0005124385917417987	0.000471579975975067	0.0007034604209107958	0.001957249027102855	0.00011979856604103951	0.07536191855724143	0.08051548626579283	0.03889571675658848	0.10225657303973575	0.007121373162390675	0.0659873720986507	0.41012066381427675
Scil_15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05539868139066748	0.3879641242529885	0.0001575584413796927	0.05088166398058945	0.004382046620456857	0.2084226448642601	0.008710310798508411	0.007218583826879607	0.0020015244173660638	0.001296115994686562	0.0013353979359333197	0.02116244924647925	0.03535864938453409	0.00014206822694829866	0.0	0.1541052558109517	0.0023344094422516255	0.0013590538489096846	0.00020157308450374575	0.0005028810521261072	0.011709930983214578	0.0007184511567600519	0.018068175844226864	0.06047938195605594	0.03743548376074854	0.007633160401737028	0.02387828880749521	0.051806811971768986	0.5067786507346304
Scil_16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05766692964814577	0.0007030920312687445	0.7398920873000918	0.00013459593127691574	0.1160187914514313	0.0	0.0006180820527917274	0.0032131156731806457	0.005894080802046146	0.0737455792562573	0.001871968858377826	0.0	0.008492488503226337	0.29076048424581885	0.021870062950131698	0.056531288229031716	0.026633557330773723	0.0005919710968711416	0.2889371854478442	0.02867977591803094	0.0	0.0005547635591994925	0.01334394801330853	0.0006251155487356282	0.00013033051685116856	0.03865844144596385	0.001587990355802172	0.0	0.0
Scil_17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0727825638045907	0.1902858840154906	0.13688205618118468	0.01045202336086373	0.03203919638808753	0.01903898847179623	0.0015389594213060143	0.0017471615546988852	0.009491194797965249	0.013376070196903626	0.0029852586155103547	0.0025722228849752193	0.01050790088055682	0.05368348619398997	0.0015403423420089735	0.05980877852948513	0.00037371078658552493	0.003598602975030011	0.0006489853293844863	0.007064939304994441	0.01017525303238074	0.19101023285247754	0.0398446858883086	0.01729359064687013	0.012822183121997798	0.018950234857139748	0.0023531853846668785	0.047998880159059856	0.22275044977832398
