Aque_Archaeo_1;Slac_0	Aque_Archaeo_1;Slac_0_pval1	Aque_Archaeo_1;Slac_0_pval2	Aque_Archaeo_1;Slac_21	Aque_Archaeo_1;Slac_21_pval1	Aque_Archaeo_1;Slac_21_pval2	Aque_Archaeo_1;Slac_3	Aque_Archaeo_1;Slac_3_pval1	Aque_Archaeo_1;Slac_3_pval2	Aque_Archaeo_1;Slac_5	Aque_Archaeo_1;Slac_5_pval1	Aque_Archaeo_1;Slac_5_pval2	Aque_Bactericidal;Slac_31	Aque_Bactericidal;Slac_31_pval1	Aque_Bactericidal;Slac_31_pval2	Aque_Choano_to_pinaco;Slac_15	Aque_Choano_to_pinaco;Slac_15_pval1	Aque_Choano_to_pinaco;Slac_15_pval2	Aque_Choano_to_pinaco;Slac_24	Aque_Choano_to_pinaco;Slac_24_pval1	Aque_Choano_to_pinaco;Slac_24_pval2	Aque_Choano_to_pinaco;Slac_32	Aque_Choano_to_pinaco;Slac_32_pval1	Aque_Choano_to_pinaco;Slac_32_pval2	Aque_Choanocytes_1;Slac_25	Aque_Choanocytes_1;Slac_25_pval1	Aque_Choanocytes_1;Slac_25_pval2	Aque_Choanocytes_2;Slac_25	Aque_Choanocytes_2;Slac_25_pval1	Aque_Choanocytes_2;Slac_25_pval2	Aque_Choanocytes_2;Slac_30	Aque_Choanocytes_2;Slac_30_pval1	Aque_Choanocytes_2;Slac_30_pval2	Aque_Pinaco_1;Slac_14	Aque_Pinaco_1;Slac_14_pval1	Aque_Pinaco_1;Slac_14_pval2	Aque_Pinaco_1;Slac_17	Aque_Pinaco_1;Slac_17_pval1	Aque_Pinaco_1;Slac_17_pval2	Aque_Pinaco_1;Slac_22	Aque_Pinaco_1;Slac_22_pval1	Aque_Pinaco_1;Slac_22_pval2	Aque_Pinaco_1;Slac_8	Aque_Pinaco_1;Slac_8_pval1	Aque_Pinaco_1;Slac_8_pval2	Aque_Sperm;Slac_4	Aque_Sperm;Slac_4_pval1	Aque_Sperm;Slac_4_pval2	Aque_Unk_1;Slac_4	Aque_Unk_1;Slac_4_pval1	Aque_Unk_1;Slac_4_pval2
Aque_Aqu2.1.33572-001;Slac_ENSLPGG00000024781	5.668642400668365e-139	1.5184076603803592e-37	Aque_Aqu2.1.34449-001;Slac_ENSLPGG00000011929	1.3827931758702237e-110	1.0156868344425442e-93	Aque_Aqu2.1.16620-001;Slac_ENSLPGG00000007363	3.397334660599216e-165	7.4723889631911e-42	Aque_Aqu2.1.16620-001;Slac_ENSLPGG00000007363	3.397334660599216e-165	2.824389442390339e-51	Aque_Aqu2.1.44155-001;Slac_ENSLPGG00000013635	1.4465465959207945e-23	1.4068208789999373e-40	Aque_Aqu2.1.43480-001;Slac_ENSLPGG00000022080	2.724952229124618e-25	4.9859575034671734e-24	Aque_Aqu2.1.29479-001;Slac_ENSLPGG00000021520	1.027025061779397e-11	1.1192892414117911e-44	Aque_Aqu2.1.43480-001;Slac_ENSLPGG00000022080	2.724952229124618e-25	0.00048494656273843115	Aque_Aqu2.1.27088-001;Slac_ENSLPGG00000022185	3.4655755261222265e-76	0.001315537537864379	Aque_Aqu2.1.43616-001;Slac_ENSLPGG00000011962	1.0827936749885055e-126	3.211008789355102e-10	Aque_Aqu2.1.23389-001;Slac_ENSLPGG00000025488	1.181117757917774e-23	2.787079609083102e-204	Aque_Aqu2.1.39906-001;Slac_ENSLPGG00000026079	5.695135212169059e-155	9.031003272821954e-99	Aque_Aqu2.1.28495-001;Slac_ENSLPGG00000023963	4.458325986516477e-24	1.9303084155892143e-88	Aque_Aqu2.1.23247-001;Slac_ENSLPGG00000013844	8.210853499627593e-119	3.286329682633253e-39	Aque_Aqu2.1.23247-001;Slac_ENSLPGG00000013844	8.210853499627593e-119	5.095808825073912e-72	Aque_Aqu2.1.39160-001;Slac_ENSLPGG00000010310	3.595877896775303e-08	2.3954450010440036e-45	Aque_Aqu2.1.33761-001;Slac_ENSLPGG00000014308	6.68557162412341e-45	0.0
Aque_Aqu2.1.34449-001;Slac_ENSLPGG00000011929	1.3827931758702237e-110	1.2875693417934236e-267	Aque_Aqu2.1.33572-001;Slac_ENSLPGG00000024781	5.668642400668365e-139	1.9256965339999054e-12	Aque_Aqu2.1.33572-001;Slac_ENSLPGG00000024781	5.668642400668365e-139	6.434947730635945e-19	Aque_Aqu2.1.33572-001;Slac_ENSLPGG00000024781	5.668642400668365e-139	4.085997452647564e-51	Aque_Aqu2.1.16942-001;Slac_ENSLPGG00000016233	0.0003597486957610446	1.6372687329723484e-06	Aque_Aqu2.1.41049-001;Slac_ENSLPGG00000015888	1.7843460525969402e-71	0.0	Aque_Aqu2.1.26998-001;Slac_ENSLPGG00000021520	3.197778486344573e-06	1.1192892414117911e-44	Aque_Aqu2.1.41049-001;Slac_ENSLPGG00000015888	1.7843460525969402e-71	9.16330091270066e-55	Aque_Aqu2.1.23244-001;Slac_ENSLPGG00000012828	5.2814784068730136e-39	1.4139028717394017e-99	Aque_Aqu2.1.43617-001;Slac_ENSLPGG00000011962	3.8762240081940136e-207	3.211008789355102e-10	Aque_Aqu2.1.23389-001;Slac_ENSLPGG00000019084	1.181117757917774e-23	1.26640156087933e-195	Aque_Aqu2.1.39906-001;Slac_ENSLPGG00000026970	5.695135212169059e-155	6.757154788096515e-72	Aque_Aqu2.1.21015-001;Slac_ENSLPGG00000026540	4.488784099627258e-96	5.082599674901194e-269	Aque_Aqu2.1.23245-001;Slac_ENSLPGG00000013844	2.527911622459719e-106	3.286329682633253e-39	Aque_Aqu2.1.23245-001;Slac_ENSLPGG00000013844	2.527911622459719e-106	5.095808825073912e-72	Aque_Aqu2.1.33761-001;Slac_ENSLPGG00000014308	1.7677837593587218e-35	0.0	Aque_Aqu2.1.33761-001;Slac_ENSLPGG00000009166	6.68557162412341e-45	6.764553656032244e-94
Aque_Aqu2.1.33740-001;Slac_ENSLPGG00000014397	1.0543340401031923e-102	0.0	Aque_Aqu2.1.41064-001;Slac_ENSLPGG00000022135	3.157095835580321e-40	7.885328724796863e-32	Aque_Aqu2.1.16620-001;Slac_ENSLPGG00000005401	3.397334660599216e-165	8.12420814480801e-72	Aque_Aqu2.1.32963-001;Slac_ENSLPGG00000006527	4.7320394813194234e-185	7.039833413978473e-42	Aque_Aqu2.1.40994-001;Slac_ENSLPGG00000019726	1.0675747038851589e-17	1.4439776605455897e-21	Aque_Aqu2.1.43482-001;Slac_ENSLPGG00000022080	1.9502722948097634e-26	4.9859575034671734e-24	Aque_Aqu2.1.43480-001;Slac_ENSLPGG00000022080	2.724952229124618e-25	3.545993743594123e-18	Aque_Aqu2.1.28495-001;Slac_ENSLPGG00000009453	3.050594406121623e-25	7.139115142722667e-47	Aque_Aqu2.1.21248-001;Slac_ENSLPGG00000004213	5.582838869151021e-65	2.1937056385199948e-26	Aque_Aqu2.1.23244-001;Slac_ENSLPGG00000012828	1.0885934844745446e-29	1.4139028717394017e-99	Aque_Aqu2.1.23389-001;Slac_ENSLPGG00000025765	1.181117757917774e-23	2.8786681826425163e-147	Aque_Aqu2.1.32110-001;Slac_ENSLPGG00000017549	3.5145414330315455e-44	0.0	Aque_Aqu2.1.21015-001;Slac_ENSLPGG00000018326	4.488784099627258e-96	1.1462170793757774e-39	Aque_Aqu2.1.23247-001;Slac_ENSLPGG00000014386	8.210853499627593e-119	2.553000921593135e-10	Aque_Aqu2.1.31381-001;Slac_ENSLPGG00000022008	4.790282318976761e-30	2.2847279941433917e-49	Aque_Aqu2.1.20539-001;Slac_ENSLPGG00000010310	8.283002901269206e-10	2.3954450010440036e-45	Aque_Aqu2.1.43963-001;Slac_ENSLPGG00000024879	1.5716607462282255e-08	0.0
Aque_Aqu2.1.26386-001;Slac_ENSLPGG00000010983	1.5137191822064672e-111	3.83141568105036e-162	Aque_Aqu2.1.33740-001;Slac_ENSLPGG00000014397	1.0543340401031923e-102	1.1242676194211744e-127	Aque_Aqu2.1.32946-001;Slac_ENSLPGG00000010832	3.198548394219795e-57	5.068057217568435e-28	Aque_Aqu2.1.07543-001;Slac_ENSLPGG00000028683	5.249550863120593e-114	0.0	Aque_Aqu2.1.44155-001;Slac_ENSLPGG00000014432	1.4465465959207945e-23	0.0015960290534054453	Aque_Aqu2.1.29479-001;Slac_ENSLPGG00000021520	1.027025061779397e-11	2.3251872846171974e-12	Aque_Aqu2.1.43482-001;Slac_ENSLPGG00000022080	1.9502722948097634e-26	3.545993743594123e-18	Aque_Aqu2.1.29479-001;Slac_ENSLPGG00000007158	1.027025061779397e-11	4.969353227696443e-20	Aque_Aqu2.1.29887-001;Slac_ENSLPGG00000009790	4.837503841806646e-54	5.8232090697647964e-08	Aque_Aqu2.1.21248-001;Slac_ENSLPGG00000004213	2.1316785119627852e-35	2.1937056385199948e-26	Aque_Aqu2.1.23389-001;Slac_ENSLPGG00000017177	1.181117757917774e-23	5.93110898396368e-142	Aque_Aqu2.1.42602-001;Slac_ENSLPGG00000003728	4.096912355239655e-35	2.4199863712403416e-262	Aque_Aqu2.1.23247-001;Slac_ENSLPGG00000013844	8.210853499627593e-119	4.511852272328979e-80	Aque_Aqu2.1.23245-001;Slac_ENSLPGG00000014386	2.527911622459719e-106	2.553000921593135e-10	Aque_Aqu2.1.24981-001;Slac_ENSLPGG00000009456	2.7217252995401606e-14	7.55873624614051e-61	Aque_Aqu2.1.33761-001;Slac_ENSLPGG00000009166	1.7677837593587218e-35	6.764553656032244e-94	Aque_Aqu2.1.41036-001;Slac_ENSLPGG00000009033	9.486629863621956e-12	5.114636344699137e-166
Aque_Aqu2.1.28816-001;Slac_ENSLPGG00000010719	1.0840523851845123e-95	0.0	Aque_Aqu2.1.12854-001;Slac_ENSLPGG00000000928	8.308052623456065e-109	1.2481151285348214e-98	Aque_Aqu2.1.34860-001;Slac_ENSLPGG00000010851	1.2852695968093314e-58	6.183679345929905e-121	Aque_Aqu2.1.32930-001;Slac_ENSLPGG00000028683	7.663138857997222e-90	0.0	Aque_Aqu2.1.37083-001;Slac_ENSLPGG00000007322	0.008633805380085605	2.140041993311982e-13	Aque_Aqu2.1.34848-001;Slac_ENSLPGG00000007243	6.8715691931382365e-31	2.635089124210055e-31	Aque_Aqu2.1.43482-001;Slac_ENSLPGG00000017003	1.9502722948097634e-26	4.297900760302106e-09	Aque_Aqu2.1.37137-001;Slac_ENSLPGG00000002171	1.643277675461539e-16	2.5730742542634384e-20	Aque_Aqu2.1.35571-001;Slac_ENSLPGG00000010608	1.320076733890646e-45	1.4294544322162747e-07	Aque_Aqu2.1.42031-001;Slac_ENSLPGG00000007479	1.4112285612521125e-30	0.00035814504713363167	Aque_Aqu2.1.19922-001;Slac_ENSLPGG00000025488	1.1973175788444056e-06	2.787079609083102e-204	Aque_Aqu2.1.40413-001;Slac_ENSLPGG00000002625	4.5608643156530816e-45	1.372699587625209e-296	Aque_Aqu2.1.23245-001;Slac_ENSLPGG00000013844	2.527911622459719e-106	4.511852272328979e-80	Aque_Aqu2.1.31381-001;Slac_ENSLPGG00000021402	4.790282318976761e-30	2.454971510320962e-13	Aque_Aqu2.1.23247-001;Slac_ENSLPGG00000014386	8.210853499627593e-119	1.493154584726633e-20	Aque_Aqu2.1.35500-001;Slac_ENSLPGG00000009116	3.736183748746556e-16	1.938637425975692e-130	Aque_Aqu2.1.31582-001;Slac_ENSLPGG00000004808	1.6825316580517566e-56	0.0
Aque_Aqu2.1.15787-001;Slac_ENSLPGG00000026812	7.592400004336438e-49	0.0	Aque_Aqu2.1.07543-001;Slac_ENSLPGG00000028683	5.249550863120593e-114	4.6676065439242157e-67	Aque_Aqu2.1.16620-001;Slac_ENSLPGG00000008927	3.397334660599216e-165	8.998981698858766e-15	Aque_Aqu2.1.22710-001;Slac_ENSLPGG00000017323	1.3243501395407459e-103	2.1995406651852497e-252	Aque_Aqu2.1.23245-001;Slac_ENSLPGG00000014386	1.0721586968651149e-13	2.359655314035277e-08	Aque_Aqu2.1.43788-001;Slac_ENSLPGG00000023276	1.2849197808890718e-08	2.5606162884543817e-13	Aque_Aqu2.1.21047-001;Slac_ENSLPGG00000021268	2.0042391223224744e-08	1.2014044555458935e-39	Aque_Aqu2.1.43482-001;Slac_ENSLPGG00000022080	1.9502722948097634e-26	0.00048494656273843115	Aque_Aqu2.1.40987-001;Slac_ENSLPGG00000023350	1.7343655135966122e-64	0.0009776894267064676	Aque_Aqu2.1.25858-001;Slac_ENSLPGG00000026194	5.683206485678387e-42	6.674291937003132e-10	Aque_Aqu2.1.19922-001;Slac_ENSLPGG00000019084	1.1973175788444056e-06	1.26640156087933e-195	Aque_Aqu2.1.35277-001;Slac_ENSLPGG00000026970	1.2977733922935712e-23	6.757154788096515e-72	Aque_Aqu2.1.28497-001;Slac_ENSLPGG00000023963	6.265744639493593e-06	1.9303084155892143e-88	Aque_Aqu2.1.31381-001;Slac_ENSLPGG00000022008	4.790282318976761e-30	5.8169367704063345e-09	Aque_Aqu2.1.08677-001;Slac_ENSLPGG00000015888	7.208488648075431e-16	3.8687716420603493e-174	Aque_Aqu2.1.31245-001;Slac_ENSLPGG00000030313	5.1330330161765e-10	4.801048661156323e-14	Aque_Aqu2.1.33761-001;Slac_ENSLPGG00000015198	6.68557162412341e-45	4.591205690629712e-20
Aque_Aqu2.1.18087-001;Slac_ENSLPGG00000024429	5.622543966129217e-113	3.251273390160915e-290	Aque_Aqu2.1.18692-001;Slac_ENSLPGG00000021862	1.8143969612667923e-88	3.8478475931374615e-122	Aque_Aqu2.1.40808-001;Slac_ENSLPGG00000011745	9.744230663720027e-132	2.2296427958089918e-07	Aque_Aqu2.1.43440-001;Slac_ENSLPGG00000008240	2.966613490803621e-57	5.664561914368785e-134	Aque_Aqu2.1.28488-001;Slac_ENSLPGG00000008750	2.222403657510612e-06	1.1861703663486179e-08	Aque_Aqu2.1.26998-001;Slac_ENSLPGG00000021520	3.197778486344573e-06	2.3251872846171974e-12	Aque_Aqu2.1.43480-001;Slac_ENSLPGG00000025032	2.724952229124618e-25	2.2405791819609652e-08	Aque_Aqu2.1.28944-001;Slac_ENSLPGG00000014432	3.6090163242932247e-32	3.695427495255932e-26	Aque_Aqu2.1.28076-001;Slac_ENSLPGG00000007945	1.8881257883275112e-48	0.0052285844651336595	Aque_Aqu2.1.27088-001;Slac_ENSLPGG00000022185	1.4101993139662687e-24	0.001315537537864379	Aque_Aqu2.1.19922-001;Slac_ENSLPGG00000017177	1.1973175788444056e-06	5.93110898396368e-142	Aque_Aqu2.1.23818-001;Slac_ENSLPGG00000019389	5.459313371962679e-87	8.064460759704122e-90	Aque_Aqu2.1.23247-001;Slac_ENSLPGG00000014386	8.210853499627593e-119	3.1119892541270805e-37	Aque_Aqu2.1.44221-001;Slac_ENSLPGG00000012949	5.994069235373014e-92	1.0083071826795984e-138	Aque_Aqu2.1.23245-001;Slac_ENSLPGG00000014386	2.527911622459719e-106	1.493154584726633e-20	Aque_Aqu2.1.39901-001;Slac_ENSLPGG00000024879	0.00010473551507641958	0.0	Aque_Aqu2.1.41302-001;Slac_ENSLPGG00000010615	7.995429630397048e-28	6.835112163503473e-257
Aque_Aqu2.1.33740-001;Slac_ENSLPGG00000011571	1.0543340401031923e-102	1.152196916578078e-230	Aque_Aqu2.1.32930-001;Slac_ENSLPGG00000028683	7.663138857997222e-90	4.6676065439242157e-67	Aque_Aqu2.1.32963-001;Slac_ENSLPGG00000006527	4.7320394813194234e-185	4.869959806013824e-11	Aque_Aqu2.1.18813-001;Slac_ENSLPGG00000028380	1.5941414811933208e-143	6.536389750916492e-246	Aque_Aqu2.1.37083-001;Slac_ENSLPGG00000014205	0.008633805380085605	0.0011929813151707969	Aque_Aqu2.1.37883-001;Slac_ENSLPGG00000019578	3.408056060331404e-43	0.0005401379704453665	Aque_Aqu2.1.41482-001;Slac_ENSLPGG00000021520	2.2364060071655327e-10	1.1192892414117911e-44	Aque_Aqu2.1.43480-001;Slac_ENSLPGG00000027461	2.724952229124618e-25	0.0007961822132458968	Aque_Aqu2.1.33503-001;Slac_ENSLPGG00000028142	7.66852101105505e-139	3.7139133484272695e-30	Aque_Aqu2.1.43984-001;Slac_ENSLPGG00000003719	5.614857868454323e-142	2.9232553204569993e-05	Aque_Aqu2.1.23389-001;Slac_ENSLPGG00000020866	1.181117757917774e-23	1.408090205453169e-51	Aque_Aqu2.1.31166-001;Slac_ENSLPGG00000021950	2.4677337861874384e-27	1.4391600060050444e-222	Aque_Aqu2.1.33604-001;Slac_ENSLPGG00000022231	0.00018672684408454628	1.486829244349914e-24	Aque_Aqu2.1.43995-001;Slac_ENSLPGG00000002394	1.2817282397478916e-13	3.132385281564667e-40	Aque_Aqu2.1.31381-001;Slac_ENSLPGG00000021402	4.790282318976761e-30	2.2504082942667657e-43	Aque_Aqu2.1.33761-001;Slac_ENSLPGG00000015198	1.7677837593587218e-35	4.591205690629712e-20	Aque_Aqu2.1.33761-001;Slac_ENSLPGG00000011374	6.68557162412341e-45	7.246167802767974e-21
Aque_Aqu2.1.21796-001;Slac_ENSLPGG00000020424	1.2188109824148507e-117	0.0	Aque_Aqu2.1.33636-001;Slac_ENSLPGG00000022969	1.2164548748428428e-123	3.793639182545986e-99	Aque_Aqu2.1.41064-001;Slac_ENSLPGG00000022135	3.157095835580321e-40	2.3149782412803644e-40	Aque_Aqu2.1.38191-001;Slac_ENSLPGG00000001288	5.740348681209968e-44	2.96892106482705e-44	Aque_Aqu2.1.24004-001;Slac_ENSLPGG00000020178	0.00015476934393270195	0.008497928600987774	Aque_Aqu2.1.28495-001;Slac_ENSLPGG00000009453	3.050594406121623e-25	6.590504302001542e-85	Aque_Aqu2.1.41049-001;Slac_ENSLPGG00000015888	1.7843460525969402e-71	1.414267117274712e-109	Aque_Aqu2.1.43788-001;Slac_ENSLPGG00000023276	1.2849197808890718e-08	0.0023187143386704493	Aque_Aqu2.1.39731-001;Slac_ENSLPGG00000009412	9.5044838879983e-52	9.536674912769787e-17	Aque_Aqu2.1.43615-001;Slac_ENSLPGG00000011962	3.565907780541023e-09	3.211008789355102e-10	Aque_Aqu2.1.23389-001;Slac_ENSLPGG00000010570	1.181117757917774e-23	2.0632134805623925e-53	Aque_Aqu2.1.22332-001;Slac_ENSLPGG00000013772	9.838828213524885e-12	1.2252823654104125e-130	Aque_Aqu2.1.23245-001;Slac_ENSLPGG00000014386	2.527911622459719e-106	3.1119892541270805e-37	Aque_Aqu2.1.38146-001;Slac_ENSLPGG00000012949	6.387586082111135e-11	1.0083071826795984e-138	Aque_Aqu2.1.31379-001;Slac_ENSLPGG00000022008	3.461111847443033e-18	2.2847279941433917e-49	Aque_Aqu2.1.18498-001;Slac_ENSLPGG00000003107	4.634718277164381e-14	4.2394431458955775e-16	Aque_Aqu2.1.43539-001;Slac_ENSLPGG00000020221	1.4534280963588581e-13	9.223249579944277e-53
Aque_Aqu2.1.37079-001;Slac_ENSLPGG00000014397	6.987535709667499e-114	0.0	Aque_Aqu2.1.21796-001;Slac_ENSLPGG00000020424	1.2188109824148507e-117	3.7212886296907746e-117	Aque_Aqu2.1.34476-001;Slac_ENSLPGG00000009693	1.1365096649262665e-143	6.907897829345426e-204	Aque_Aqu2.1.12854-001;Slac_ENSLPGG00000000928	8.308052623456065e-109	2.5124961031891197e-263	Aque_Aqu2.1.42203-001;Slac_ENSLPGG00000008996	3.150184887500491e-07	0.008928344700331103	Aque_Aqu2.1.29479-001;Slac_ENSLPGG00000001139	1.027025061779397e-11	1.4494333720685917e-24	Aque_Aqu2.1.37137-001;Slac_ENSLPGG00000016891	1.643277675461539e-16	1.1066745948069943e-10	Aque_Aqu2.1.28942-001;Slac_ENSLPGG00000014432	1.2138942124859158e-06	3.695427495255932e-26	Aque_Aqu2.1.28283-001;Slac_ENSLPGG00000005072	8.56665288335661e-23	6.293393060430815e-06	Aque_Aqu2.1.34861-001;Slac_ENSLPGG00000010067	1.5697310538016786e-20	2.4406389139278163e-21	Aque_Aqu2.1.23389-001;Slac_ENSLPGG00000022959	1.181117757917774e-23	1.783385765627898e-41	Aque_Aqu2.1.39626-001;Slac_ENSLPGG00000014289	3.934806432082639e-12	1.063593045223818e-144	Aque_Aqu2.1.28223-001;Slac_ENSLPGG00000018987	1.3844036382592803e-13	3.791882775025262e-229	Aque_Aqu2.1.24981-001;Slac_ENSLPGG00000009456	2.7217252995401606e-14	1.023988469791351e-09	Aque_Aqu2.1.41648-001;Slac_ENSLPGG00000020706	4.4179070679146695e-83	0.00019249484478877987	Aque_Aqu2.1.33761-001;Slac_ENSLPGG00000011374	1.7677837593587218e-35	7.246167802767974e-21	Aque_Aqu2.1.23244-001;Slac_ENSLPGG00000012828	0.0006147344884710201	0.0
