Scil_15;Slac_14	Scil_15;Slac_14_pval1	Scil_15;Slac_14_pval2	Scil_17;Slac_40	Scil_17;Slac_40_pval1	Scil_17;Slac_40_pval2	Scil_21;Slac_15	Scil_21;Slac_15_pval1	Scil_21;Slac_15_pval2	Scil_21;Slac_9	Scil_21;Slac_9_pval1	Scil_21;Slac_9_pval2	Scil_24;Slac_24	Scil_24;Slac_24_pval1	Scil_24;Slac_24_pval2	Scil_25;Slac_17	Scil_25;Slac_17_pval1	Scil_25;Slac_17_pval2	Scil_26;Slac_10	Scil_26;Slac_10_pval1	Scil_26;Slac_10_pval2	Scil_26;Slac_18	Scil_26;Slac_18_pval1	Scil_26;Slac_18_pval2	Scil_27;Slac_24	Scil_27;Slac_24_pval1	Scil_27;Slac_24_pval2	Scil_28;Slac_4	Scil_28;Slac_4_pval1	Scil_28;Slac_4_pval2
Scil_g7126;Slac_ENSLPGG00000002625	4.550324673133158e-154	1.372699587625209e-296	Scil_g7031;Slac_ENSLPGG00000001833	5.706445046493414e-140	3.2605975973162365e-30	Scil_g8135;Slac_ENSLPGG00000014506	1.6919501782107682e-97	1.5255096301183682e-54	Scil_g130;Slac_ENSLPGG00000015888	3.602006050929476e-46	0.0	Scil_g4335;Slac_ENSLPGG00000018987	2.8855770379476457e-94	2.6386254863590804e-208	Scil_g9010;Slac_ENSLPGG00000023963	1.2264590765501197e-29	1.9303084155892143e-88	Scil_g7428;Slac_ENSLPGG00000020343	6.035139808925412e-37	4.554183040904839e-122	Scil_g7428;Slac_ENSLPGG00000020343	6.035139808925412e-37	1.394075905156344e-194	Scil_g7883;Slac_ENSLPGG00000021520	7.832621607869524e-72	1.1192892414117911e-44	Scil_g6013;Slac_ENSLPGG00000000463	2.0535692665603484e-34	8.752860679216943e-18
Scil_g2367;Slac_ENSLPGG00000026079	7.672319809832575e-118	9.031003272821954e-99	Scil_g4223;Slac_ENSLPGG00000018987	8.368769958681126e-147	6.733704086712018e-08	Scil_g130;Slac_ENSLPGG00000015888	3.602006050929476e-46	0.0	Scil_g4792;Slac_ENSLPGG00000007730	2.1672041103820224e-120	0.0	Scil_g7883;Slac_ENSLPGG00000021520	1.162956500078495e-86	1.1192892414117911e-44	Scil_g2930;Slac_ENSLPGG00000023963	3.3176949352516434e-14	1.9303084155892143e-88	Scil_g4792;Slac_ENSLPGG00000018987	2.0581931075653316e-74	2.4652339748246525e-172	Scil_g4792;Slac_ENSLPGG00000018987	2.0581931075653316e-74	3.0882825093222114e-93	Scil_g13004;Slac_ENSLPGG00000018987	1.4319668162711407e-72	2.6386254863590804e-208	Scil_g2268;Slac_ENSLPGG00000005266	1.73729237579234e-16	1.7279918550208642e-49
Scil_g2367;Slac_ENSLPGG00000026970	7.672319809832575e-118	6.757154788096515e-72	Scil_g13004;Slac_ENSLPGG00000018987	2.471810523563691e-123	6.733704086712018e-08	Scil_g8135;Slac_ENSLPGG00000014782	1.6919501782107682e-97	4.0221730396915904e-85	Scil_g10508;Slac_ENSLPGG00000018391	6.773534454109065e-120	1.2564638542575937e-72	Scil_g20;Slac_ENSLPGG00000018987	3.034859832850301e-78	2.6386254863590804e-208	Scil_g1194;Slac_ENSLPGG00000022231	0.00012069039395124768	1.486829244349914e-24	Scil_g4792;Slac_ENSLPGG00000007730	2.0581931075653316e-74	2.5033167562237615e-138	Scil_g4792;Slac_ENSLPGG00000007730	2.0581931075653316e-74	3.6133844128804866e-70	Scil_g4223;Slac_ENSLPGG00000018987	1.8920182027213295e-72	2.6386254863590804e-208	Scil_g2679;Slac_ENSLPGG00000028207	8.564893387178771e-08	0.0004395951831638713
Scil_g4132;Slac_ENSLPGG00000021950	5.5570699386879124e-132	1.4391600060050444e-222	Scil_g1554;Slac_ENSLPGG00000016023	4.083977641237876e-149	3.6569770319029893e-06	Scil_g10508;Slac_ENSLPGG00000012949	6.773534454109065e-120	1.701605558563056e-277	Scil_g8135;Slac_ENSLPGG00000014782	1.6919501782107682e-97	5.526486443458363e-95	Scil_g13004;Slac_ENSLPGG00000018987	2.5514582754827525e-91	2.6386254863590804e-208	Scil_g1586;Slac_ENSLPGG00000022231	0.0006530911128548313	1.486829244349914e-24	Scil_g4792;Slac_ENSLPGG00000007525	2.0581931075653316e-74	5.8275722590133974e-15	Scil_g4792;Slac_ENSLPGG00000007525	2.0581931075653316e-74	1.0828951260361905e-08	Scil_g4335;Slac_ENSLPGG00000018987	3.007251507353725e-67	2.6386254863590804e-208	Scil_g6182;Slac_ENSLPGG00000004947	0.00425243105919548	1.323815998187698e-12
Scil_g8600;Slac_ENSLPGG00000026079	5.086624277160392e-43	9.031003272821954e-99	Scil_g6803;Slac_ENSLPGG00000012949	6.482115176981062e-71	4.996980595575526e-14	Scil_g13539;Slac_ENSLPGG00000015888	1.1454364321341173e-47	0.0	Scil_g10508;Slac_ENSLPGG00000012949	6.773534454109065e-120	0.0	Scil_g4223;Slac_ENSLPGG00000018987	1.5956933083580732e-91	2.6386254863590804e-208	Scil_g9010;Slac_ENSLPGG00000008750	1.2264590765501197e-29	8.530991638627806e-36	Scil_g8135;Slac_ENSLPGG00000014782	3.511803926883819e-51	9.151422886198967e-15	Scil_g8135;Slac_ENSLPGG00000014782	3.511803926883819e-51	1.0509840262664914e-07	Scil_g20;Slac_ENSLPGG00000018987	1.560667198226129e-53	2.6386254863590804e-208	Scil_g5104;Slac_ENSLPGG00000009116	1.425752592931045e-12	1.938637425975692e-130
Scil_g8600;Slac_ENSLPGG00000026970	5.086624277160392e-43	6.757154788096515e-72	Scil_g4335;Slac_ENSLPGG00000018987	1.5673504491633077e-64	6.733704086712018e-08	Scil_g4792;Slac_ENSLPGG00000018987	2.1672041103820224e-120	4.442906185241835e-129	Scil_g4792;Slac_ENSLPGG00000018987	2.1672041103820224e-120	8.336789136783278e-158	Scil_g2609;Slac_ENSLPGG00000018987	1.5111048112200333e-68	2.6386254863590804e-208	Scil_g6719;Slac_ENSLPGG00000018987	1.7693134985060617e-86	3.791882775025262e-229	Scil_g7728;Slac_ENSLPGG00000007104	1.5670923209971047e-08	1.0465684428971881e-58	Scil_g7728;Slac_ENSLPGG00000007104	1.5670923209971047e-08	1.4291906373326652e-41	Scil_g7031;Slac_ENSLPGG00000001833	3.3073374555540937e-72	2.2167866593897166e-223	Scil_g9919;Slac_ENSLPGG00000001013	0.004295479598859492	8.737797247574456e-205
Scil_g3890;Slac_ENSLPGG00000020028	8.523643662221874e-99	1.907786574303345e-70	Scil_g877;Slac_ENSLPGG00000012949	3.653274489127598e-64	4.996980595575526e-14	Scil_g4792;Slac_ENSLPGG00000007730	2.1672041103820224e-120	3.998399138806171e-213	Scil_g13539;Slac_ENSLPGG00000015888	1.1454364321341173e-47	0.0	Scil_g7031;Slac_ENSLPGG00000001833	1.046013475420371e-88	2.2167866593897166e-223	Scil_g9389;Slac_ENSLPGG00000022231	0.004809040713606628	1.486829244349914e-24	Scil_g13078;Slac_ENSLPGG00000014782	5.672535419232332e-10	9.151422886198967e-15	Scil_g10508;Slac_ENSLPGG00000012949	2.0611272151206765e-09	1.5193941358637149e-176	Scil_g2609;Slac_ENSLPGG00000018987	5.680645443935824e-44	2.6386254863590804e-208	Scil_g2679;Slac_ENSLPGG00000008029	8.564893387178771e-08	0.0007020116678489722
Scil_g11466;Slac_ENSLPGG00000020028	6.365945788462599e-97	1.907786574303345e-70	Scil_g4223;Slac_ENSLPGG00000007730	8.368769958681126e-147	1.6005189891447079e-06	Scil_g10508;Slac_ENSLPGG00000018391	6.773534454109065e-120	1.4325407164863737e-45	Scil_g8135;Slac_ENSLPGG00000014506	1.6919501782107682e-97	3.072845078965812e-33	Scil_g4929;Slac_ENSLPGG00000023276	9.60239209900516e-95	1.4295563297452558e-07	Scil_g2930;Slac_ENSLPGG00000008750	3.3176949352516434e-14	8.530991638627806e-36	Scil_g4792;Slac_ENSLPGG00000011839	2.0581931075653316e-74	0.0016410694167748663	Scil_g13279;Slac_ENSLPGG00000012949	2.3101575144059033e-19	1.5193941358637149e-176	Scil_g1157;Slac_ENSLPGG00000014506	1.1520825168030329e-29	1.1472672825183391e-41	Scil_g918;Slac_ENSLPGG00000021950	1.6748421492648936e-06	1.6975221878424882e-07
Scil_g2434;Slac_ENSLPGG00000012340	4.985682385220709e-44	0.0	Scil_g9786;Slac_ENSLPGG00000007134	7.945337304498997e-42	9.554026496564324e-05	Scil_g792;Slac_ENSLPGG00000001761	4.502169748278949e-85	1.3462692566009719e-65	Scil_g4792;Slac_ENSLPGG00000007525	2.1672041103820224e-120	2.4280532106859597e-36	Scil_g1061;Slac_ENSLPGG00000023276	1.0251660571293946e-93	1.4295563297452558e-07	Scil_g788;Slac_ENSLPGG00000003499	6.832732451063917e-50	1.357194598266658e-60	Scil_g13279;Slac_ENSLPGG00000012949	2.3101575144059033e-19	6.237655747045699e-217	Scil_g13078;Slac_ENSLPGG00000014782	5.672535419232332e-10	1.0509840262664914e-07	Scil_g1061;Slac_ENSLPGG00000023276	1.6531340316030627e-66	1.4295563297452558e-07	Scil_g4190;Slac_ENSLPGG00000009116	1.3452394519725615e-13	1.938637425975692e-130
Scil_g16;Slac_ENSLPGG00000012340	3.0780431385019944e-38	0.0	Scil_g13004;Slac_ENSLPGG00000007730	2.471810523563691e-123	1.6005189891447079e-06	Scil_g4792;Slac_ENSLPGG00000007525	2.1672041103820224e-120	3.5619051390972777e-23	Scil_g1027;Slac_ENSLPGG00000021127	2.2596925306718318e-64	0.00037730423206785676	Scil_g4929;Slac_ENSLPGG00000007322	9.60239209900516e-95	6.029827760382912e-40	Scil_g7598;Slac_ENSLPGG00000018326	1.654052207920732e-54	1.1462170793757774e-39	Scil_g13127;Slac_ENSLPGG00000012140	0.0022593774044782694	1.5860926588294295e-41	Scil_g13127;Slac_ENSLPGG00000012140	0.0022593774044782694	3.083781473194777e-35	Scil_g2493;Slac_ENSLPGG00000023276	8.396436553490569e-72	1.4295563297452558e-07	Scil_g176;Slac_ENSLPGG00000001013	0.0002427391272647263	8.737797247574456e-205
