Aque_Archaeo_1;Scil_19	Aque_Archaeo_1;Scil_19_pval1	Aque_Archaeo_1;Scil_19_pval2	Aque_Archaeo_1;Scil_24	Aque_Archaeo_1;Scil_24_pval1	Aque_Archaeo_1;Scil_24_pval2	Aque_Archaeo_1;Scil_27	Aque_Archaeo_1;Scil_27_pval1	Aque_Archaeo_1;Scil_27_pval2	Aque_Archaeo_1;Scil_32	Aque_Archaeo_1;Scil_32_pval1	Aque_Archaeo_1;Scil_32_pval2	Aque_Aspcinzin;Scil_28	Aque_Aspcinzin;Scil_28_pval1	Aque_Aspcinzin;Scil_28_pval2	Aque_Choanocytes_1;Scil_1	Aque_Choanocytes_1;Scil_1_pval1	Aque_Choanocytes_1;Scil_1_pval2	Aque_Choanocytes_2;Scil_1	Aque_Choanocytes_2;Scil_1_pval1	Aque_Choanocytes_2;Scil_1_pval2	Aque_Pinaco_1;Scil_15	Aque_Pinaco_1;Scil_15_pval1	Aque_Pinaco_1;Scil_15_pval2	Aque_Pinaco_1;Scil_21	Aque_Pinaco_1;Scil_21_pval1	Aque_Pinaco_1;Scil_21_pval2	Aque_Pinaco_1;Scil_25	Aque_Pinaco_1;Scil_25_pval1	Aque_Pinaco_1;Scil_25_pval2	Aque_Pinaco_1;Scil_30	Aque_Pinaco_1;Scil_30_pval1	Aque_Pinaco_1;Scil_30_pval2	Aque_Pinaco_2;Scil_15	Aque_Pinaco_2;Scil_15_pval1	Aque_Pinaco_2;Scil_15_pval2	Aque_Pinaco_2;Scil_19	Aque_Pinaco_2;Scil_19_pval1	Aque_Pinaco_2;Scil_19_pval2	Aque_Pinaco_2;Scil_24	Aque_Pinaco_2;Scil_24_pval1	Aque_Pinaco_2;Scil_24_pval2	Aque_Pinaco_2;Scil_27	Aque_Pinaco_2;Scil_27_pval1	Aque_Pinaco_2;Scil_27_pval2	Aque_Sperm;Scil_22	Aque_Sperm;Scil_22_pval1	Aque_Sperm;Scil_22_pval2
Aque_Aqu2.1.34247-001;Scil_g9420	5.995179413289e-67	1.1318386297750748e-155	Aque_Aqu2.1.43276-001;Scil_g4517	1.0182416073641277e-129	4.833548353276332e-67	Aque_Aqu2.1.28647-001;Scil_g9745	1.7976193812861958e-143	7.036545193911838e-73	Aque_Aqu2.1.26684-001;Scil_g1710	5.16651150424784e-114	2.3095564926811274e-35	Aque_Aqu2.1.42637-001;Scil_g7468	8.896760006528624e-05	4.3137798304003523e-57	Aque_Aqu2.1.37599-001;Scil_g537	1.1252913100245482e-175	1.1320739695669307e-166	Aque_Aqu2.1.37599-001;Scil_g537	4.0684665683260758e-143	1.1320739695669307e-166	Aque_Aqu2.1.39905-001;Scil_g2366	1.4006866036488385e-125	2.404803307656588e-168	Aque_Aqu2.1.38146-001;Scil_g10508	6.387586082111135e-11	6.773534454109065e-120	Aque_Aqu2.1.39906-001;Scil_g8310	5.695135212169059e-155	7.09985049785407e-11	Aque_Aqu2.1.37679-001;Scil_g7679	7.068023640570212e-24	2.150189781868642e-06	Aque_Aqu2.1.41248-001;Scil_g168	1.7758796050423134e-70	1.0347164903991265e-147	Aque_Aqu2.1.29951-001;Scil_g9420	1.9260650568679767e-29	1.1318386297750748e-155	Aque_Aqu2.1.43276-001;Scil_g4517	1.2417305666889384e-72	4.833548353276332e-67	Aque_Aqu2.1.34429-001;Scil_g10574	4.114553893179646e-74	1.0092797959529216e-75	Aque_Aqu2.1.39160-001;Scil_g12320	3.595877896775303e-08	0.0002587783562025851
Aque_Aqu2.1.29951-001;Scil_g9420	0.00022028134504872317	1.1318386297750748e-155	Aque_Aqu2.1.29951-001;Scil_g9420	0.00022028134504872317	2.61542842285498e-86	Aque_Aqu2.1.28647-001;Scil_g9721	1.7976193812861958e-143	9.75888753126917e-73	Aque_Aqu2.1.31038-001;Scil_g9420	1.0272479399297856e-48	1.4091974360039661e-33	Aque_Aqu2.1.19543-001;Scil_g5407	0.0002359014887084529	6.198193916748304e-13	Aque_Aqu2.1.36142-001;Scil_g11399	4.114280874411444e-54	1.546575633172773e-199	Aque_Aqu2.1.10425-001;Scil_g8416	4.63879348899057e-125	3.0005616773400286e-72	Aque_Aqu2.1.39906-001;Scil_g2367	5.695135212169059e-155	7.672319809832575e-118	Aque_Aqu2.1.41012-001;Scil_g10508	0.00027018571509218245	6.773534454109065e-120	Aque_Aqu2.1.21015-001;Scil_g7598	4.488784099627258e-96	1.654052207920732e-54	Aque_Aqu2.1.17340-001;Scil_g7679	2.534616707284264e-07	2.150189781868642e-06	Aque_Aqu2.1.33776-001;Scil_g2367	0.003989293491609929	7.672319809832575e-118	Aque_Aqu2.1.34429-001;Scil_g5447	4.114553893179646e-74	3.190862523694669e-160	Aque_Aqu2.1.14505-001;Scil_g4929	7.790561052606891e-22	9.60239209900516e-95	Aque_Aqu2.1.29951-001;Scil_g9420	1.9260650568679767e-29	9.439730549261824e-70	Aque_Aqu2.1.22704-001;Scil_g9957	1.4593636561806986e-08	9.647387254456962e-08
Aque_Aqu2.1.34429-001;Scil_g5447	7.854915848010625e-74	3.190862523694669e-160	Aque_Aqu2.1.43276-001;Scil_g2191	1.0182416073641277e-129	1.2017223918186125e-22	Aque_Aqu2.1.18813-001;Scil_g2393	1.5941414811933208e-143	8.000567264302671e-58	Aque_Aqu2.1.28647-001;Scil_g9745	1.7976193812861958e-143	8.363762318007075e-34	Aque_Aqu2.1.39723-001;Scil_g537	1.2205922770083687e-08	0.004161383952442335	Aque_Aqu2.1.36142-001;Scil_g11238	4.114280874411444e-54	1.5303060410408876e-110	Aque_Aqu2.1.31965-001;Scil_g8416	8.676398325265147e-133	3.0005616773400286e-72	Aque_Aqu2.1.39906-001;Scil_g8600	5.695135212169059e-155	5.086624277160392e-43	Aque_Aqu2.1.44221-001;Scil_g10508	5.994069235373014e-92	6.773534454109065e-120	Aque_Aqu2.1.21015-001;Scil_g5543	4.488784099627258e-96	1.9291177338406187e-15	Aque_Aqu2.1.21015-001;Scil_g12721	4.488784099627258e-96	2.7518111583598846e-25	Aque_Aqu2.1.41248-001;Scil_g13835	1.7758796050423134e-70	0.0010580287155102664	Aque_Aqu2.1.34247-001;Scil_g9420	1.71031195062505e-34	1.1318386297750748e-155	Aque_Aqu2.1.43276-001;Scil_g2191	1.2417305666889384e-72	1.2017223918186125e-22	Aque_Aqu2.1.34247-001;Scil_g9420	1.71031195062505e-34	9.439730549261824e-70	Aque_Aqu2.1.20539-001;Scil_g12320	8.283002901269206e-10	0.0002587783562025851
Aque_Aqu2.1.39740-001;Scil_g2822	3.486960784146766e-51	3.047913131118781e-47	Aque_Aqu2.1.34344-001;Scil_g7064	4.469710923167695e-16	7.495828822754004e-95	Aque_Aqu2.1.31038-001;Scil_g9420	1.0272479399297856e-48	9.439730549261824e-70	Aque_Aqu2.1.28647-001;Scil_g9721	1.7976193812861958e-143	6.982027113793083e-34				Aque_Aqu2.1.33559-001;Scil_g7993	8.571368772036795e-50	1.4979922799294725e-229	Aque_Aqu2.1.33559-001;Scil_g7993	4.711929758987128e-54	1.4979922799294725e-229	Aque_Aqu2.1.39906-001;Scil_g5478	5.695135212169059e-155	1.5061464715015508e-67	Aque_Aqu2.1.28223-001;Scil_g4792	1.3844036382592803e-13	2.1672041103820224e-120	Aque_Aqu2.1.28497-001;Scil_g9010	6.265744639493593e-06	1.2264590765501197e-29	Aque_Aqu2.1.33604-001;Scil_g11513	0.00018672684408454628	1.5447906406929764e-05	Aque_Aqu2.1.35277-001;Scil_g2367	3.452569879320617e-49	7.672319809832575e-118	Aque_Aqu2.1.34429-001;Scil_g10574	4.114553893179646e-74	9.100082086450254e-157	Aque_Aqu2.1.14505-001;Scil_g1061	7.790561052606891e-22	1.0251660571293946e-93	Aque_Aqu2.1.44221-001;Scil_g6803	1.0164839656097992e-72	4.0147325213091934e-71	Aque_Aqu2.1.33932-001;Scil_g9957	4.150714280325435e-05	9.647387254456962e-08
Aque_Aqu2.1.33693-001;Scil_g12599	2.272650030560976e-17	1.4530854336761406e-95	Aque_Aqu2.1.42569-001;Scil_g8107	2.5352856125127514e-06	1.3169257008428386e-78	Aque_Aqu2.1.34247-001;Scil_g9420	5.995179413289e-67	9.439730549261824e-70	Aque_Aqu2.1.24376-001;Scil_g2266	3.214491794611835e-10	7.362969360324233e-33				Aque_Aqu2.1.11170-001;Scil_g7471	7.985673239814531e-25	6.980756942552647e-53	Aque_Aqu2.1.33559-001;Scil_g7992	4.711929758987128e-54	2.2364116420560273e-30	Aque_Aqu2.1.35277-001;Scil_g2367	1.2977733922935712e-23	7.672319809832575e-118	Aque_Aqu2.1.38560-001;Scil_g10147	1.0497286366750963e-20	4.551182698597302e-95	Aque_Aqu2.1.28495-001;Scil_g9010	4.458325986516477e-24	1.2264590765501197e-29	Aque_Aqu2.1.41892-001;Scil_g49	5.2142493076430264e-14	7.260261228852569e-47	Aque_Aqu2.1.33774-001;Scil_g2367	7.084731489211164e-67	7.672319809832575e-118	Aque_Aqu2.1.14505-001;Scil_g1061	7.790561052606891e-22	5.0325548735226354e-151	Aque_Aqu2.1.29951-001;Scil_g9420	1.9260650568679767e-29	2.61542842285498e-86	Aque_Aqu2.1.34429-001;Scil_g5447	4.114553893179646e-74	7.771309364607116e-72	Aque_Aqu2.1.30870-001;Scil_g9880	6.504698888036333e-09	9.123963566962543e-11
Aque_Aqu2.1.26684-001;Scil_g1710	5.16651150424784e-114	2.628806610170429e-155	Aque_Aqu2.1.29076-001;Scil_g7064	1.6735204441251737e-27	7.495828822754004e-95	Aque_Aqu2.1.34429-001;Scil_g10574	7.854915848010625e-74	1.0092797959529216e-75	Aque_Aqu2.1.28570-001;Scil_g1710	6.837768357397875e-22	2.3095564926811274e-35				Aque_Aqu2.1.34134-001;Scil_g12516	1.331988036968737e-162	0.0018996243963378607	Aque_Aqu2.1.19199-001;Scil_g8416	2.3543543443084444e-88	3.0005616773400286e-72	Aque_Aqu2.1.40413-001;Scil_g7126	4.5608643156530816e-45	4.550324673133158e-154	Aque_Aqu2.1.38146-001;Scil_g10140	6.387586082111135e-11	5.963012473984281e-36	Aque_Aqu2.1.28497-001;Scil_g2930	6.265744639493593e-06	3.3176949352516434e-14	Aque_Aqu2.1.28223-001;Scil_g49	1.3844036382592803e-13	7.260261228852569e-47	Aque_Aqu2.1.33096-001;Scil_g2367	0.00032202667738230823	7.672319809832575e-118	Aque_Aqu2.1.44221-001;Scil_g877	1.0164839656097992e-72	2.0942530742981258e-154	Aque_Aqu2.1.44221-001;Scil_g6803	1.0164839656097992e-72	2.221893686373928e-86	Aque_Aqu2.1.44221-001;Scil_g877	1.0164839656097992e-72	3.436755750647432e-72	Aque_Aqu2.1.38447-001;Scil_g1806	2.961210012609584e-09	0.000594335099698613
Aque_Aqu2.1.28647-001;Scil_g9745	1.7976193812861958e-143	2.9903576246108086e-158	Aque_Aqu2.1.34247-001;Scil_g9420	5.995179413289e-67	2.61542842285498e-86	Aque_Aqu2.1.36280-001;Scil_g11065	3.288773730928107e-103	5.117482119491709e-71	Aque_Aqu2.1.39296-001;Scil_g8647	8.497757503283989e-55	2.3753328471789344e-08				Aque_Aqu2.1.26656-001;Scil_g11106	4.993104914564233e-137	5.625711319294789e-12	Aque_Aqu2.1.38752-001;Scil_g4821	1.5804020643111057e-187	4.196562415733154e-29	Aque_Aqu2.1.31166-001;Scil_g4132	2.4677337861874384e-27	5.5570699386879124e-132	Aque_Aqu2.1.43637-001;Scil_g13026	8.152574204947499e-32	4.83779984233148e-48	Aque_Aqu2.1.28495-001;Scil_g2930	4.458325986516477e-24	3.3176949352516434e-14	Aque_Aqu2.1.39906-001;Scil_g5478	5.695135212169059e-155	0.00042986270026524535	Aque_Aqu2.1.40413-001;Scil_g7126	1.0846582125047793e-30	4.550324673133158e-154	Aque_Aqu2.1.38430-001;Scil_g12599	2.785624219748749e-32	1.4530854336761406e-95	Aque_Aqu2.1.44221-001;Scil_g877	1.0164839656097992e-72	1.1371250482772108e-92	Aque_Aqu2.1.14505-001;Scil_g1061	7.790561052606891e-22	1.6531340316030627e-66	Aque_Aqu2.1.31010-001;Scil_g13676	1.5372000909834853e-06	0.0003092072799305785
Aque_Aqu2.1.28647-001;Scil_g9721	1.7976193812861958e-143	1.2653200187781413e-158	Aque_Aqu2.1.37816-001;Scil_g4517	5.351220243248752e-65	4.833548353276332e-67	Aque_Aqu2.1.37095-001;Scil_g6036	1.7138617390298075e-107	1.0858865140163846e-41	Aque_Aqu2.1.36280-001;Scil_g11065	3.288773730928107e-103	3.759957343833095e-33				Aque_Aqu2.1.33559-001;Scil_g7992	8.571368772036795e-50	2.2364116420560273e-30	Aque_Aqu2.1.36142-001;Scil_g11399	4.0505981920120795e-12	1.546575633172773e-199	Aque_Aqu2.1.37679-001;Scil_g13430	7.068023640570212e-24	5.4415909022841374e-14	Aque_Aqu2.1.29497-001;Scil_g8135	6.077919633614359e-57	1.6919501782107682e-97	Aque_Aqu2.1.35277-001;Scil_g8310	1.2977733922935712e-23	7.09985049785407e-11	Aque_Aqu2.1.33443-001;Scil_g49	4.986367745258103e-05	7.260261228852569e-47	Aque_Aqu2.1.31166-001;Scil_g4132	3.8034784135835386e-11	5.5570699386879124e-132	Aque_Aqu2.1.41302-001;Scil_g10741	1.593114344057822e-11	1.0707452493770196e-158	Aque_Aqu2.1.29076-001;Scil_g7064	3.633124956792878e-18	7.495828822754004e-95	Aque_Aqu2.1.29497-001;Scil_g1157	1.2112662309644303e-77	1.1520825168030329e-29	Aque_Aqu2.1.33761-001;Scil_g208	1.7677837593587218e-35	2.8004464112667096e-32
Aque_Aqu2.1.34429-001;Scil_g10574	7.854915848010625e-74	9.100082086450254e-157	Aque_Aqu2.1.44221-001;Scil_g6803	2.4142643864291954e-16	2.221893686373928e-86	Aque_Aqu2.1.26684-001;Scil_g1710	5.16651150424784e-114	3.602405986873582e-60	Aque_Aqu2.1.24541-001;Scil_g9008	2.344168441479099e-143	6.768924266551592e-17				Aque_Aqu2.1.37297-001;Scil_g11399	1.461101636464387e-07	1.546575633172773e-199	Aque_Aqu2.1.38750-001;Scil_g4821	4.160461261776937e-93	4.196562415733154e-29	Aque_Aqu2.1.26326-001;Scil_g6734	9.173280907484971e-09	6.522593975599372e-130	Aque_Aqu2.1.21015-001;Scil_g12721	4.488784099627258e-96	1.7835176393336055e-43	Aque_Aqu2.1.44139-001;Scil_g9010	0.0013345187120564206	1.2264590765501197e-29	Aque_Aqu2.1.41892-001;Scil_g6719	5.2142493076430264e-14	1.60094857404039e-42	Aque_Aqu2.1.35277-001;Scil_g8600	3.452569879320617e-49	5.086624277160392e-43	Aque_Aqu2.1.44221-001;Scil_g6803	1.0164839656097992e-72	8.511999104027974e-111	Aque_Aqu2.1.34344-001;Scil_g7064	2.149882173753952e-14	7.495828822754004e-95	Aque_Aqu2.1.39916-001;Scil_g2323	2.9667398630381824e-15	1.4074066131626783e-71	Aque_Aqu2.1.39160-001;Scil_g2576	3.595877896775303e-08	0.005683141959625487
Aque_Aqu2.1.25862-001;Scil_g9420	1.4164840831138878e-69	1.1318386297750748e-155	Aque_Aqu2.1.38435-001;Scil_g4517	3.2496804617101288e-21	4.833548353276332e-67	Aque_Aqu2.1.42605-001;Scil_g6036	9.509180868415106e-59	1.0858865140163846e-41	Aque_Aqu2.1.29496-001;Scil_g1157	1.2768054689113486e-36	7.676891407622203e-15				Aque_Aqu2.1.30110-001;Scil_g7471	2.308865816166031e-15	6.980756942552647e-53	Aque_Aqu2.1.41092-001;Scil_g7471	2.646540504612954e-90	6.980756942552647e-53	Aque_Aqu2.1.21015-001;Scil_g12721	4.488784099627258e-96	1.580144500595143e-150	Aque_Aqu2.1.28510-001;Scil_g1202	5.959189221181413e-33	2.9447355057656847e-90	Aque_Aqu2.1.28489-001;Scil_g9010	1.2639077541595553e-28	1.2264590765501197e-29	Aque_Aqu2.1.31166-001;Scil_g4132	2.4677337861874384e-27	4.3231578462610203e-07	Aque_Aqu2.1.39905-001;Scil_g2366	3.4174332022971364e-10	2.404803307656588e-168	Aque_Aqu2.1.14505-001;Scil_g4929	7.790561052606891e-22	2.6638120184522244e-128	Aque_Aqu2.1.34429-001;Scil_g10574	4.114553893179646e-74	1.003770721174451e-89	Aque_Aqu2.1.14505-001;Scil_g4929	7.790561052606891e-22	3.464830970332022e-64	Aque_Aqu2.1.33761-001;Scil_g3179	1.7677837593587218e-35	9.983549364601248e-23
