Aque_1;Scil_13	Aque_1;Scil_13_pval1	Aque_1;Scil_13_pval2	Aque_1;Scil_16	Aque_1;Scil_16_pval1	Aque_1;Scil_16_pval2	Aque_1;Scil_2	Aque_1;Scil_2_pval1	Aque_1;Scil_2_pval2	Aque_1;Scil_3	Aque_1;Scil_3_pval1	Aque_1;Scil_3_pval2	Aque_1;Scil_4	Aque_1;Scil_4_pval1	Aque_1;Scil_4_pval2	Aque_1;Scil_9	Aque_1;Scil_9_pval1	Aque_1;Scil_9_pval2	Aque_11;Scil_20	Aque_11;Scil_20_pval1	Aque_11;Scil_20_pval2	Aque_12;Scil_20	Aque_12;Scil_20_pval1	Aque_12;Scil_20_pval2	Aque_13;Scil_7	Aque_13;Scil_7_pval1	Aque_13;Scil_7_pval2	Aque_18;Scil_8	Aque_18;Scil_8_pval1	Aque_18;Scil_8_pval2	Aque_2;Scil_2	Aque_2;Scil_2_pval1	Aque_2;Scil_2_pval2	Aque_25;Scil_20	Aque_25;Scil_20_pval1	Aque_25;Scil_20_pval2	Aque_3;Scil_10	Aque_3;Scil_10_pval1	Aque_3;Scil_10_pval2	Aque_5;Scil_1	Aque_5;Scil_1_pval1	Aque_5;Scil_1_pval2	Aque_5;Scil_10	Aque_5;Scil_10_pval1	Aque_5;Scil_10_pval2	Aque_5;Scil_14	Aque_5;Scil_14_pval1	Aque_5;Scil_14_pval2	Aque_5;Scil_15	Aque_5;Scil_15_pval1	Aque_5;Scil_15_pval2	Aque_5;Scil_7	Aque_5;Scil_7_pval1	Aque_5;Scil_7_pval2	Aque_6;Scil_2	Aque_6;Scil_2_pval1	Aque_6;Scil_2_pval2	Aque_7;Scil_20	Aque_7;Scil_20_pval1	Aque_7;Scil_20_pval2	Aque_7;Scil_28	Aque_7;Scil_28_pval1	Aque_7;Scil_28_pval2	Aque_8;Scil_24	Aque_8;Scil_24_pval1	Aque_8;Scil_24_pval2
Aque_Aqu2.1.33559-001;Scil_g7993	1.5659798408390287e-55	9.1237022907603e-112				Aque_Aqu2.1.44140-001;Scil_g4190	1.8487465492662032e-83	0.0002708996576498364	Aque_Aqu2.1.44140-001;Scil_g4190	1.8487465492662032e-83	1.144193799153734e-05				Aque_Aqu2.1.31386-001;Scil_g6171	1.2521350964939077e-18	3.969788353826574e-18	Aque_Aqu2.1.39905-001;Scil_g2366	5.003477939769382e-31	9.948958101772902e-184	Aque_Aqu2.1.41248-001;Scil_g168	1.833997188568247e-77	2.470427113600158e-144	Aque_Aqu2.1.23385-001;Scil_g11542	3.5632825879681243e-13	3.468139167485649e-136				Aque_Aqu2.1.37599-001;Scil_g537	6.675190169877533e-67	3.05477312501736e-74	Aque_Aqu2.1.32636-001;Scil_g5618	5.456949644401736e-10	2.8212067228123534e-180	Aque_Aqu2.1.37079-001;Scil_g9293	1.883427367568046e-54	2.951490176649077e-162	Aque_Aqu2.1.09762-001;Scil_g3084	6.847337802628184e-60	2.6120693105835097e-195	Aque_Aqu2.1.40739-001;Scil_g2647	5.640772212415676e-65	2.9753120081427864e-165	Aque_Aqu2.1.09762-001;Scil_g3084	6.847337802628184e-60	8.399537177325028e-64	Aque_Aqu2.1.09762-001;Scil_g3084	6.847337802628184e-60	7.725851721343102e-82	Aque_Aqu2.1.30395-001;Scil_g3084	4.366519931586715e-06	2.445532027906918e-134	Aque_Aqu2.1.37599-001;Scil_g537	3.705326066074051e-66	3.05477312501736e-74	Aque_Aqu2.1.28223-001;Scil_g49	6.254528262419945e-10	2.825750548176598e-216	Aque_Aqu2.1.34429-001;Scil_g10557	4.8065667421742816e-20	1.7269930450844092e-107	Aque_Aqu2.1.34429-001;Scil_g5447	3.6935377012369854e-53	1.3508001499042785e-146
Aque_Aqu2.1.31965-001;Scil_g8416	3.313059058770841e-148	4.783676417388407e-48				Aque_Aqu2.1.33559-001;Scil_g7993	1.5659798408390287e-55	6.5400892906271005e-102	Aque_Aqu2.1.28489-001;Scil_g4190	4.7219274636790844e-05	1.144193799153734e-05				Aque_Aqu2.1.31388-001;Scil_g6171	3.885444055968841e-09	3.969788353826574e-18	Aque_Aqu2.1.44140-001;Scil_g4190	5.327619771700004e-10	1.4526739381398871e-05	Aque_Aqu2.1.34429-001;Scil_g10557	8.680466455780006e-30	7.877231881232365e-20	Aque_Aqu2.1.09762-001;Scil_g3084	1.378018074673001e-20	2.445532027906918e-134				Aque_Aqu2.1.44140-001;Scil_g4190	2.396471245842129e-22	0.0002708996576498364	Aque_Aqu2.1.42554-001;Scil_g7027	1.2865775728930818e-09	1.3530077347851668e-19	Aque_Aqu2.1.09762-001;Scil_g3084	7.171878832669825e-40	7.926059131332688e-151	Aque_Aqu2.1.33740-001;Scil_g9293	1.0980804431426508e-53	8.019716807373262e-220	Aque_Aqu2.1.37079-001;Scil_g9293	6.546838397706728e-61	2.951490176649077e-162	Aque_Aqu2.1.33740-001;Scil_g9293	1.0980804431426508e-53	1.1747218219988391e-73	Aque_Aqu2.1.23385-001;Scil_g11542	4.617687738213687e-30	2.926999617221759e-72	Aque_Aqu2.1.09762-001;Scil_g3084	6.847337802628184e-60	2.445532027906918e-134	Aque_Aqu2.1.44140-001;Scil_g4190	3.97039168613921e-19	0.0002708996576498364	Aque_Aqu2.1.41892-001;Scil_g49	4.663854846869599e-09	2.825750548176598e-216	Aque_Aqu2.1.20935-001;Scil_g13349	5.942836506313004e-07	0.00025339157745575547	Aque_Aqu2.1.09762-001;Scil_g3084	8.992604622419799e-25	1.4812881157245512e-117
Aque_Aqu2.1.10425-001;Scil_g8416	3.5461283229624624e-142	4.783676417388407e-48				Aque_Aqu2.1.28489-001;Scil_g4190	4.7219274636790844e-05	0.0002708996576498364	Aque_Aqu2.1.04817-001;Scil_g1572	1.7265754764394027e-15	8.979945461876805e-06				Aque_Aqu2.1.42574-001;Scil_g1335	9.693759254992383e-108	3.5231313123403525e-83	Aque_Aqu2.1.39671-001;Scil_g1581	3.082752114581188e-08	1.7908905131782413e-08	Aque_Aqu2.1.41892-001;Scil_g49	0.004225638536279294	2.825750548176598e-216	Aque_Aqu2.1.30395-001;Scil_g3084	0.0004460802901123445	2.445532027906918e-134				Aque_Aqu2.1.28489-001;Scil_g4190	1.198754445858972e-05	0.0002708996576498364	Aque_Aqu2.1.20356-001;Scil_g3529	1.6146546245658218e-09	2.0190343947258755e-67	Aque_Aqu2.1.33740-001;Scil_g9293	6.46411912084048e-22	2.951490176649077e-162	Aque_Aqu2.1.28647-001;Scil_g9720	1.0872990959086427e-71	5.957553511123687e-267	Aque_Aqu2.1.33740-001;Scil_g9293	1.0980804431426508e-53	2.951490176649077e-162	Aque_Aqu2.1.23385-001;Scil_g11542	4.617687738213687e-30	1.5936382233077245e-73	Aque_Aqu2.1.37079-001;Scil_g9293	6.546838397706728e-61	7.310752068739718e-87	Aque_Aqu2.1.23385-001;Scil_g11542	4.617687738213687e-30	3.468139167485649e-136	Aque_Aqu2.1.33559-001;Scil_g7993	4.4423224136139875e-12	6.5400892906271005e-102	Aque_Aqu2.1.42554-001;Scil_g7027	4.509002981485762e-08	1.3530077347851668e-19	Aque_Aqu2.1.34429-001;Scil_g1131	4.8065667421742816e-20	9.272275534947545e-14	Aque_Aqu2.1.23385-001;Scil_g11542	2.6845539772809242e-11	4.736145888689001e-145
Aque_Aqu2.1.44140-001;Scil_g4190	1.8487465492662032e-83	3.815393928831128e-10				Aque_Aqu2.1.10425-001;Scil_g8416	3.5461283229624624e-142	1.0990021965478772e-20							Aque_Aqu2.1.31965-001;Scil_g8416	3.313059058770841e-148	9.851573995106591e-48	Aque_Aqu2.1.43551-001;Scil_g6719	0.00044481558271852105	2.9062213286051093e-186	Aque_Aqu2.1.28223-001;Scil_g49	0.0004884506823151917	2.825750548176598e-216	Aque_Aqu2.1.37079-001;Scil_g9293	4.281078127361223e-33	1.848905501105324e-135				Aque_Aqu2.1.33559-001;Scil_g7993	8.729152424939692e-08	6.5400892906271005e-102	Aque_Aqu2.1.41248-001;Scil_g168	7.896260663532416e-05	2.470427113600158e-144	Aque_Aqu2.1.40739-001;Scil_g2647	1.039590396802529e-43	2.9753120081427864e-165	Aque_Aqu2.1.30395-001;Scil_g3084	4.366519931586715e-06	2.6120693105835097e-195	Aque_Aqu2.1.09762-001;Scil_g3084	6.847337802628184e-60	7.926059131332688e-151	Aque_Aqu2.1.28647-001;Scil_g9720	1.0872990959086427e-71	4.917109897313178e-87	Aque_Aqu2.1.33740-001;Scil_g9293	1.0980804431426508e-53	7.310752068739718e-87	Aque_Aqu2.1.33740-001;Scil_g9293	1.0980804431426508e-53	1.848905501105324e-135	Aque_Aqu2.1.36142-001;Scil_g11238	5.592947815776149e-16	3.226452208384378e-43	Aque_Aqu2.1.34429-001;Scil_g10557	4.8065667421742816e-20	7.877231881232365e-20	Aque_Aqu2.1.14505-001;Scil_g9294	2.063209095296014e-15	4.587162431913975e-14	Aque_Aqu2.1.23379-001;Scil_g11542	0.0001871697041864543	4.736145888689001e-145
Aque_Aqu2.1.19199-001;Scil_g8416	1.2360950369048334e-62	4.783676417388407e-48				Aque_Aqu2.1.31965-001;Scil_g8416	3.313059058770841e-148	1.0990021965478772e-20							Aque_Aqu2.1.10425-001;Scil_g8416	3.5461283229624624e-142	9.851573995106591e-48	Aque_Aqu2.1.41049-001;Scil_g13539	5.780155046985975e-72	3.2137585698642266e-123	Aque_Aqu2.1.42554-001;Scil_g7027	5.5310478069737495e-05	1.3530077347851668e-19	Aque_Aqu2.1.44138-001;Scil_g7102	8.620873617285868e-30	2.4460549544083734e-120				Aque_Aqu2.1.36142-001;Scil_g11399	1.1567291008003255e-12	1.5376864307926306e-108	Aque_Aqu2.1.37426-001;Scil_g307	0.0059342393929501195	1.0899903048270169e-41	Aque_Aqu2.1.28091-001;Scil_g3361	1.4407490794567334e-49	3.1694815546622253e-158	Aque_Aqu2.1.23385-001;Scil_g11542	4.617687738213687e-30	1.4216013686926433e-212	Aque_Aqu2.1.23385-001;Scil_g11542	4.617687738213687e-30	7.270949500975078e-169	Aque_Aqu2.1.33925-001;Scil_g8322	6.027927765517013e-60	6.078939338694174e-65	Aque_Aqu2.1.40908-001;Scil_g10622	5.5256955384119176e-61	1.0193537747219604e-64	Aque_Aqu2.1.38191-001;Scil_g1960	1.7868189428044097e-31	6.306552480614765e-130	Aque_Aqu2.1.36142-001;Scil_g11399	5.592947815776149e-16	1.5376864307926306e-108	Aque_Aqu2.1.33443-001;Scil_g49	0.0010375121140174422	2.825750548176598e-216	Aque_Aqu2.1.28223-001;Scil_g4792	6.254528262419945e-10	2.7860115620807477e-125	Aque_Aqu2.1.43341-001;Scil_g4752	1.0055487374100896e-20	4.951080527237749e-136
Aque_Aqu2.1.37599-001;Scil_g537	1.63157478762575e-69	2.67442436485276e-105				Aque_Aqu2.1.19199-001;Scil_g8416	1.2360950369048334e-62	1.0990021965478772e-20							Aque_Aqu2.1.44140-001;Scil_g4190	1.8487465492662032e-83	0.0036968285814102933	Aque_Aqu2.1.41049-001;Scil_g130	5.780155046985975e-72	3.038769567278182e-97	Aque_Aqu2.1.20356-001;Scil_g3529	4.071682733965616e-05	2.0190343947258755e-67	Aque_Aqu2.1.25682-001;Scil_g12596	5.085355273976047e-27	3.13015728695144e-135				Aque_Aqu2.1.36142-001;Scil_g11238	1.1567291008003255e-12	3.226452208384378e-43	Aque_Aqu2.1.40413-001;Scil_g7126	7.499260172011067e-08	2.191020141787556e-174	Aque_Aqu2.1.33925-001;Scil_g8322	2.4529777736828898e-55	9.667175800341685e-160	Aque_Aqu2.1.33925-001;Scil_g8322	6.027927765517013e-60	4.701934947101874e-195	Aque_Aqu2.1.24541-001;Scil_g5248	5.934327217092841e-72	2.327018957595338e-155	Aque_Aqu2.1.30395-001;Scil_g3084	4.366519931586715e-06	8.399537177325028e-64	Aque_Aqu2.1.23379-001;Scil_g11542	5.27987100999598e-13	2.926999617221759e-72	Aque_Aqu2.1.23379-001;Scil_g11542	5.27987100999598e-13	3.468139167485649e-136	Aque_Aqu2.1.37297-001;Scil_g11399	0.006397827873976981	1.5376864307926306e-108	Aque_Aqu2.1.28223-001;Scil_g6719	6.254528262419945e-10	2.9062213286051093e-186	Aque_Aqu2.1.37082-001;Scil_g9294	1.274641701062852e-24	4.587162431913975e-14	Aque_Aqu2.1.37079-001;Scil_g9293	1.2106449049857624e-19	2.4492817883719566e-122
Aque_Aqu2.1.28489-001;Scil_g4190	4.7219274636790844e-05	3.815393928831128e-10				Aque_Aqu2.1.37599-001;Scil_g537	1.63157478762575e-69	3.05477312501736e-74							Aque_Aqu2.1.19199-001;Scil_g8416	1.2360950369048334e-62	9.851573995106591e-48	Aque_Aqu2.1.42574-001;Scil_g1335	1.1351020304068534e-12	3.622368645794516e-22	Aque_Aqu2.1.42703-001;Scil_g307	1.1989501677863544e-07	1.0899903048270169e-41	Aque_Aqu2.1.42554-001;Scil_g7027	9.455809654106197e-07	7.358063080588875e-50				Aque_Aqu2.1.37297-001;Scil_g11238	0.0020815927292780877	3.226452208384378e-43	Aque_Aqu2.1.41049-001;Scil_g130	1.8915663056279136e-16	3.038769567278182e-97	Aque_Aqu2.1.22710-001;Scil_g8427	6.129360305886726e-50	1.1938737976081495e-134	Aque_Aqu2.1.37818-001;Scil_g5248	1.9445573766196906e-29	9.184157074467191e-224	Aque_Aqu2.1.44138-001;Scil_g7102	3.8562754919885587e-45	4.311525574319819e-162	Aque_Aqu2.1.37079-001;Scil_g9293	6.546838397706728e-61	1.1747218219988391e-73	Aque_Aqu2.1.28647-001;Scil_g9720	1.0872990959086427e-71	4.453700516522345e-101	Aque_Aqu2.1.40739-001;Scil_g2647	5.640772212415676e-65	1.4196895377201495e-139	Aque_Aqu2.1.37297-001;Scil_g11238	0.006397827873976981	3.226452208384378e-43	Aque_Aqu2.1.39905-001;Scil_g2366	2.8797178909130385e-72	9.948958101772902e-184	Aque_Aqu2.1.40997-001;Scil_g8299	2.5895788732488268e-61	9.695257346542339e-91	Aque_Aqu2.1.15787-001;Scil_g8438	6.917851797446876e-10	9.684420421181504e-139
Aque_Aqu2.1.04817-001;Scil_g1572	1.7265754764394027e-15	7.318279068449599e-26				Aque_Aqu2.1.04817-001;Scil_g1572	1.7265754764394027e-15	2.1762474594491185e-05							Aque_Aqu2.1.28489-001;Scil_g4190	4.7219274636790844e-05	0.0036968285814102933	Aque_Aqu2.1.21078-001;Scil_g119	3.897993245122727e-06	2.2662330447243323e-31	Aque_Aqu2.1.43276-001;Scil_g9800	3.446637853073255e-26	2.527768294461531e-33	Aque_Aqu2.1.23379-001;Scil_g11542	1.3812488084937502e-05	3.468139167485649e-136				Aque_Aqu2.1.37297-001;Scil_g11399	0.0020815927292780877	1.5376864307926306e-108	Aque_Aqu2.1.21015-001;Scil_g12721	5.2562555615845485e-06	8.54858194858048e-177	Aque_Aqu2.1.24263-001;Scil_g13234	1.5377307938598594e-50	3.7544851097034814e-139	Aque_Aqu2.1.43309-001;Scil_g2223	7.090314249955756e-76	6.0558203027828816e-179	Aque_Aqu2.1.42554-001;Scil_g7027	2.1096427148863303e-17	5.856199064788203e-62	Aque_Aqu2.1.38354-001;Scil_g2690	2.2134121108487764e-67	1.9728948142615564e-64	Aque_Aqu2.1.43309-001;Scil_g2223	7.090314249955756e-76	2.3349283062122266e-60	Aque_Aqu2.1.37079-001;Scil_g9293	6.546838397706728e-61	1.848905501105324e-135	Aque_Aqu2.1.19199-001;Scil_g8416	1.0333323846912495e-28	1.0990021965478772e-20	Aque_Aqu2.1.41892-001;Scil_g6719	4.663854846869599e-09	2.9062213286051093e-186	Aque_Aqu2.1.41892-001;Scil_g4792	4.663854846869599e-09	2.7860115620807477e-125	Aque_Aqu2.1.44118-001;Scil_g12540	1.3219197346976645e-19	8.45818804999482e-149
																		Aque_Aqu2.1.40997-001;Scil_g8299	3.347324097977092e-05	2.853727454281813e-12	Aque_Aqu2.1.21015-001;Scil_g12721	1.2326306898040926e-40	8.54858194858048e-177	Aque_Aqu2.1.28647-001;Scil_g9720	1.0641070001306679e-32	1.2868940109952086e-152				Aque_Aqu2.1.19199-001;Scil_g8416	1.7166839462159464e-24	1.0990021965478772e-20	Aque_Aqu2.1.41049-001;Scil_g13539	1.8915663056279136e-16	3.2137585698642266e-123	Aque_Aqu2.1.44138-001;Scil_g7102	2.982111446596636e-36	4.311525574319819e-162	Aque_Aqu2.1.25682-001;Scil_g12596	2.1894606762539334e-59	8.937540975185717e-204	Aque_Aqu2.1.25682-001;Scil_g12596	2.1894606762539334e-59	7.639374158264267e-168	Aque_Aqu2.1.42554-001;Scil_g7027	2.1096427148863303e-17	5.808073791866087e-19	Aque_Aqu2.1.38354-001;Scil_g2690	2.2134121108487764e-67	1.7007982058413797e-54	Aque_Aqu2.1.42554-001;Scil_g7027	2.1096427148863303e-17	7.358063080588875e-50	Aque_Aqu2.1.31965-001;Scil_g8416	1.8477728855855587e-10	1.0990021965478772e-20	Aque_Aqu2.1.33443-001;Scil_g6719	0.0010375121140174422	2.9062213286051093e-186	Aque_Aqu2.1.33443-001;Scil_g4792	0.0010375121140174422	2.7860115620807477e-125	Aque_Aqu2.1.12657-001;Scil_g9127	1.5922251146177386e-19	3.225771326129304e-148
																		Aque_Aqu2.1.41482-001;Scil_g5780	1.907355549909499e-12	8.075077859503192e-13	Aque_Aqu2.1.39919-001;Scil_g2615	4.0601287421825436e-17	1.2850429709161183e-25	Aque_Aqu2.1.40739-001;Scil_g2647	7.160530066872657e-25	1.4196895377201495e-139				Aque_Aqu2.1.31965-001;Scil_g8416	2.7918119301519336e-11	1.0990021965478772e-20	Aque_Aqu2.1.21015-001;Scil_g7598	5.2562555615845485e-06	1.0316136630632663e-56	Aque_Aqu2.1.44118-001;Scil_g12540	5.285370195828624e-55	9.886037713185308e-140	Aque_Aqu2.1.37079-001;Scil_g9293	6.546838397706728e-61	8.019716807373262e-220	Aque_Aqu2.1.33925-001;Scil_g8322	6.027927765517013e-60	9.667175800341685e-160	Aque_Aqu2.1.27559-001;Scil_g13584	1.2565950443028818e-30	2.1609373932730283e-69	Aque_Aqu2.1.30395-001;Scil_g3084	4.366519931586715e-06	7.725851721343102e-82	Aque_Aqu2.1.44138-001;Scil_g7102	3.8562754919885587e-45	2.4460549544083734e-120	Aque_Aqu2.1.10425-001;Scil_g8416	6.231529119456983e-06	1.0990021965478772e-20	Aque_Aqu2.1.39671-001;Scil_g1581	1.0833434816786865e-17	1.7908905131782413e-08	Aque_Aqu2.1.38146-001;Scil_g10508	8.853113191081923e-07	3.851059575050027e-121	Aque_Aqu2.1.38354-001;Scil_g2690	1.4197474623425531e-18	3.3994163992846197e-146
